YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,CORDOBA-Capital,1902/02/21,757,2.3,31,-2,32,22,48,SE,1,C,2,,,,,,,,,,,,,
1902,2,22,CORDOBA-Capital,1902/02/22,760,3,24,-7,26,20,83,NW,1,SK,3,,,,,,,,,,,,,
1902,2,23,CORDOBA-Capital,1902/02/23,760,0,33,9,33,17,30,SE,1,K,1,,,,,,,,,,,,,
1902,2,24,CORDOBA-Capital,1902/02/24,757,-3,33,0,34,15,25,NE,1,,0,,,,,,,,,,,,,
1902,2,25,CORDOBA-Capital,1902/02/25,754,-3,33,0,35,16,30,NE,1,KS,2,,,,,,,,,,,,,
1902,2,26,CORDOBA-Capital,1902/02/26,759.5,5.5,19,-14,30,19,72,SW,2,NK,3,,,,,,,,,,,,,
1902,2,27,CORDOBA-Capital,1902/02/27,754,-5.5,29,10,30,14,52,NW,1,KS,2,,,,,,,,,,,,,
1902,2,28,CORDOBA-Capital,1902/02/28,761,7,18,-11,18,12,71,NE,2,SK,3,,,,,,,,,,,,,
1902,3,1,CORDOBA-Capital,1902/03/01,761,0,25,7,25,12,61,NE,1,K,2,,,,,,,,,,,,,
1902,3,2,CORDOBA-Capital,1902/03/02,755.5,-5.5,31,6,31,16,48,NE,2,K,1,,,,,,,,,,,,,
1902,3,3,CORDOBA-Capital,1902/03/03,757,1.5,29,-2,30,17,52,N,1,C,1,,,,,,,,,,,,,
1902,3,4,CORDOBA-Capital,1902/03/04,752.5,-4.5,35,6,36,18,42,E,2,K,1,,,,,,,,,,,,,
1902,3,5,CORDOBA-Capital,1902/03/05,760,7.5,23,-12,23,17,66,S,1,KS,3,,,,,,,,,,,,,
1902,3,6,CORDOBA-Capital,1902/03/06,757.5,-2.5,28,5,29,17,63,NE,1,K,2,,,,,,,,,,,,,
1902,3,7,CORDOBA-Capital,1902/03/07,760.5,3,24,-4,25,19,83,SE,1,K,3,,,,,,,,,,,,,
1902,3,8,CORDOBA-Capital,1902/03/08,760.5,0,25,1,26,18,68,NE,1,KS,2,,,,,,,,,,,,,
1902,3,9,CORDOBA-Capital,1902/03/09,760,-0.5,26,1,28,18,62,NE,1,KN,2,,,,,,,,,,,,,
1902,3,10,CORDOBA-Capital,1902/03/10,758,-2,28,2,29,20,63,NE,1,K,2,,,,,,,,,,,,,
1902,3,12,CORDOBA-Capital,1902/03/12,756.5,3,20,-8,22,17,91,SE,1,N,3,,,,,,,,,,,,,
1902,3,13,CORDOBA-Capital,1902/03/13,758.5,2,28,8,29,15,39,NE,1,,0,,,,,,,,,,,,,
1902,3,14,CORDOBA-Capital,1902/03/14,760,1.5,30,2,30,13,56,NE,1,K,1,,,,,,,,,,,,,
1902,3,15,CORDOBA-Capital,1902/03/15,759.5,-0.5,30,0,30,13,30,N,2,,0,,,,,,,,,,,,,
1902,3,16,CORDOBA-Capital,1902/03/16,757.5,-2,30,0,30,16,36,NE,2,,0,,,,,,,,,,,,,
1902,3,19,CORDOBA-Capital,1902/03/19,760.5,7,24,-8,27,17,60,S,2,KS,2,,,,,,,,,,,,,
1902,3,21,CORDOBA-Capital,1902/03/21,759.5,-7.5,29,8,29,14,46,N,2,K,1,,,,,,,,,,,,,
1902,3,22,CORDOBA-Capital,1902/03/22,759,-0.5,33,4,33,17,39,N,2,K,1,,,,,,,,,,,,,
1902,3,23,CORDOBA-Capital,1902/03/23,759,0,33,0,33,17,34,N,2,K,1,,,,,,,,,,,,,
1902,3,24,CORDOBA-Capital,1902/03/24,756.5,-2.5,34,1,34,21,36,NE,2,K,2,,,,,,,,,,,,,
1902,3,25,CORDOBA-Capital,1902/03/25,755.5,-1,27,7,33,20,69,NE,1,N,3,,,,,,,,,,,,,
1902,3,26,CORDOBA-Capital,1902/03/26,763.5,8,17,-10,20,16,90,S,2,N,3,,,,,,,,,,,,,
1902,3,27,CORDOBA-Capital,1902/03/27,763,-0.5,16,-1,17,13,79,SE,1,N,3,,,,,,,,,,,,,
