YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,CORRIENTES-Capital,1902/02/21,754.5,-0.4,37,0,37,23,30,SW,2,K,1,,,,,,,,,,,,,
1902,2,22,CORRIENTES-Capital,1902/02/22,754.5,0,37,0,37,24,35,SE,2,K,2,,,,,,,,,,,,,
1902,2,23,CORRIENTES-Capital,1902/02/23,757.5,3,36,-1,36,24,33,S,2,K,2,,,,,,,,,,,,,
1902,2,24,CORRIENTES-Capital,1902/02/24,751.1,-0.4,36,0,36,21,38,SW,2,K,2,,,,,,,,,,,,,
1902,2,25,CORRIENTES-Capital,1902/02/25,756,-1.1,37,1,37,23,35,SE,2,K,1,,,,,,,,,,,,,
1902,2,26,CORRIENTES-Capital,1902/02/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,27,CORRIENTES-Capital,1902/02/27,755.4,,26,,25,22,76,NW,,N,3,,,,,,,,,,,,,
1902,2,28,CORRIENTES-Capital,1902/02/28,755.6,0.2,26,0,26,20,84,S,2,N,3,,,,,,,,,,,,,
1902,3,1,CORRIENTES-Capital,1902/03/01,759.4,3.8,31,5,32,22,48,E,3,K,1,,,,,,,,,,,,,
1902,3,2,CORRIENTES-Capital,1902/03/02,756.9,-2.5,32,1,32,21,49,E,2,K,2,,,,,,,,,,,,,
1902,3,3,CORRIENTES-Capital,1902/03/03,756.2,-0.7,33,1,33,23,67,NE,1,K,1,,,,,,,,,,,,,
1902,3,4,CORRIENTES-Capital,1902/03/04,754.5,-1.7,35,2,35,23,42,NE,2,K,1,,,,,,,,,,,,,
1902,3,5,CORRIENTES-Capital,1902/03/05,755.3,0.8,30,-5,34,25,71,N,1,N,3,,,,,,,,,,,,,
1902,3,6,CORRIENTES-Capital,1902/03/06,757.9,2.6,32,2,32,23,51,,0,K,2,,,,,,,,,,,,,
1902,3,7,CORRIENTES-Capital,1902/03/07,756.5,-1.4,34,2,35,22,45,,0,K,2,,,,,,,,,,,,,
1902,3,8,CORRIENTES-Capital,1902/03/08,757.5,1,35,1,35,23,42,N,1,K,2,,,,,,,,,,,,,
1902,3,9,CORRIENTES-Capital,1902/03/09,758.7,1.2,33,-2,33,21,44,SW,2,K,2,,,,,,,,,,,,,
