YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"Cabo Blanco",1902/02/21,,,17,-2,23,4,80,N,3,,0,,,,,,,,,,,,,
1902,2,22,"Cabo Blanco",1902/02/22,,,20,3,26,9,55,N,1,C,1,,,,,,,,,,,,,
1902,2,23,"Cabo Blanco",1902/02/23,,,26,6,27,8,30,NW,2,C,1,,,,,,,,,,,,,
1902,2,24,"Cabo Blanco",1902/02/24,,,21,-5,28,12,65,W,3,N,2,,,,,,,,,,,,,
1902,2,25,"Cabo Blanco",1902/02/25,,,16,-5,21,3,50,NW,3,C,2,,,,,,,,,,,,,
1902,2,26,"Cabo Blanco",1902/02/26,,,18,2,19,-2,36,NW,3,K,2,,,,,,,,,,,,,
1902,2,27,"Cabo Blanco",1902/02/27,,,17,-1,20,5,18,W,3,K,2,,,,,,,,,,,,,
1902,2,28,"Cabo Blanco",1902/02/28,,,12,-3,15,3,88,SW,3,K,2,,,,,,,,,,,,,
1902,3,1,"Cabo Blanco",1902/03/01,,,13,1,17,-2,66,S,2,K,1,,,,,,,,,,,,,
1902,3,2,"Cabo Blanco",1902/03/02,,,11,-2,14,3,63,NE,2,N,3,,,,,,,,,,,,,
1902,3,3,"Cabo Blanco",1902/03/03,,,19,8,20,0,46,NE,2,,0,,,,,,,,,,,,,
1902,3,4,"Cabo Blanco",1902/03/04,,,7,-12,11,6,71,SW,4,N,1,,,,,,,,,,,,,
1902,3,5,"Cabo Blanco",1902/03/05,,,18,11,19,-4,41,S,2,K,1,,,,,,,,,,,,,
1902,3,6,"Cabo Blanco",1902/03/06,,,15,-3,19,5,68,E,1,K,3,,,,,,,,,,,,,
1902,3,7,"Cabo Blanco",1902/03/07,,,13,-2,16,9,77,SE,1,K,2,,,,,,,,,,,,,
1902,3,8,"Cabo Blanco",1902/03/08,,,13,0,16,9,66,E,1,K,2,,,,,,,,,,,,,
1902,3,9,"Cabo Blanco",1902/03/09,,,13,0,17,9,77,NE,2,,0,,,,,,,,,,,,,
1902,3,10,"Cabo Blanco",1902/03/10,,,14,1,17,6,78,SE,2,K,1,,,,,,,,,,,,,
1902,3,12,"Cabo Blanco",1902/03/12,,,12,-1,13,9,88,E,3,N,3,,,,,,,,,,,,,
1902,3,13,"Cabo Blanco",1902/03/13,,,15,3,17,7,58,S,3,K,1,,,,,,,,,,,,,
1902,3,14,"Cabo Blanco",1902/03/14,,,15,0,17,2,68,N,2,K,1,,,,,,,,,,,,,
1902,3,15,"Cabo Blanco",1902/03/15,,,23,8,26,8,44,NE,2,C,1,,,,,,,,,,,,,
1902,3,16,"Cabo Blanco",1902/03/16,,,25,-2,28,4,28,W,2,,0,,,,,,,,,,,,,
1902,3,19,"Cabo Blanco",1902/03/19,,,12,-7,19,-1,65,SW,3,K,3,,,,,,,,,,,,,
1902,3,21,"Cabo Blanco",1902/03/21,,,25,-12,25,7,47,NW,1,K,2,,,,,,,,,,,,,
1902,3,22,"Cabo Blanco",1902/03/22,,,23,-2,25,6,37,W,2,,0,,,,,,,,,,,,,
1902,3,23,"Cabo Blanco",1902/03/23,,,19,-4,20,5,63,NE,2,K,1,,,,,,,,,,,,,
1902,3,24,"Cabo Blanco",1902/03/24,,,23,4,25,5,12,SW,3,K,2,,,,,,,,,,,,,
1902,3,25,"Cabo Blanco",1902/03/25,,,16,-7,20,5,41,S,2,,0,,,,,,,,,,,,,
1902,3,26,"Cabo Blanco",1902/03/26,,,17,1,18,3,52,NW,3,,0,,,,,,,,,,,,,
1902,3,27,"Cabo Blanco",1902/03/27,,,19,2,12,0,63,SE,1,,0,,,,,,,,,,,,,
1902,3,30,"Cabo Blanco",1902/03/30,,,22,-4,27,7,43,,0,C,1,,,,,,,,,,,,,
