YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"Cabo Raso",1902/02/21,,,20,1,22,5,72,N,3,K,2,,,,,,,,,,,,,
1902,2,22,"Cabo Raso",1902/02/22,,,19,-1,23,5,63,NW,1,S,2,,,,,,,,,,,,,
1902,2,23,"Cabo Raso",1902/02/23,,,22,2,32,7,52,SW,1,C,1,,,,,,,,,,,,,
1902,2,24,"Cabo Raso",1902/02/24,,,21,-2,29,5,65,N,1,C,2,,,,,,,,,,,,,
1902,2,25,"Cabo Raso",1902/02/25,,,19,-2,23,6,54,NW,3,,0,,,,,,,,,,,,,
1902,2,26,"Cabo Raso",1902/02/26,,,19,0,22,4,38,W,3,S,3,,,,,,,,,,,,,
1902,2,27,"Cabo Raso",1902/02/27,,,17,-2,21,3,43,S,1,K,3,,,,,,,,,,,,,
1902,2,28,"Cabo Raso",1902/02/28,,,16,-1,18,5,50,SW,3,C,2,,,,,,,,,,,,,
1902,3,1,"Cabo Raso",1902/03/01,,,15,-1,18,2,48,S,2,C,2,,,,,,,,,,,,,
1902,3,2,"Cabo Raso",1902/03/02,,,17,2,18,5,80,N,3,K,2,,,,,,,,,,,,,
1902,3,3,"Cabo Raso",1902/03/03,,,19,2,21,7,72,E,1,K,1,,,,,,,,,,,,,
1902,3,4,"Cabo Raso",1902/03/04,,,,,21,6,43,SW,3,K,2,,,,,,,,,,,,,
1902,3,5,"Cabo Raso",1902/03/05,,,16,,20,4,59,NE,2,K,1,,,,,,,,,,,,,
1902,3,6,"Cabo Raso",1902/03/06,,,16,0,21,4,69,S,2,K,1,,,,,,,,,,,,,
1902,3,7,"Cabo Raso",1902/03/07,,,16,0,18,5,59,NE,2,S,3,,,,,,,,,,,,,
1902,3,8,"Cabo Raso",1902/03/08,,,11,-5,18,5,87,NE,2,N,3,,,,,,,,,,,,,
