YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Camarones,1902/02/21,757.9,-1,21,2,22,9,91,N,2,S,1,,,,,,,,,,,,,
1902,2,22,Camarones,1902/02/22,757.7,-0.2,21,0,26,14,57,,0,S,3,,,,,,,,,,,,,
1902,2,23,Camarones,1902/02/23,753.6,-4.1,33,,33,15,25,S,2,S,1,,,,,,,,,,,,,
1902,2,24,Camarones,1902/02/24,748.4,-5.2,32,-1,34,18,86,W,2,S,2,,,,,,,,,,,,,
1902,2,25,Camarones,1902/02/25,755.4,7,23,-9,24,11,83,W,2,C,1,,,,,,,,,,,,,
1902,2,26,Camarones,1902/02/26,753.8,-1.6,19,-4,21,10,81,SW,2,S,2,,,,,,,,,,,,,
1902,2,27,Camarones,1902/02/27,750.9,-2.9,18,-1,19,9,90,S,3,K,2,,,,,,,,,,,,,
1902,2,28,Camarones,1902/02/28,755.4,4.5,16,-1,16,8,89,S,3,C,2,,,,,,,,,,,,,
1902,3,1,Camarones,1902/03/01,761.8,6.4,16,0,17,6,89,,0,C,2,,,,,,,,,,,,,
1902,3,2,Camarones,1902/03/02,755.5,-6.3,18,2,19,8,90,N,3,K,2,,,,,,,,,,,,,
1902,3,3,Camarones,1902/03/03,753,-2.5,20,2,25,12,100,N,2,C,1,,,,,,,,,,,,,
1902,3,4,Camarones,1902/03/04,754.3,1.3,16,-4,18,11,79,SE,3,S,1,,,,,,,,,,,,,
1902,3,5,Camarones,1902/03/05,760.3,6,18,2,23,8,100,N,1,C,1,,,,,,,,,,,,,
1902,3,6,Camarones,1902/03/06,761,0.7,19,1,23,9,90,SE,2,C,2,,,,,,,,,,,,,
1902,3,7,Camarones,1902/03/07,764.8,3.8,13,-6,15,10,100,E,2,N,3,,,,,,,,,,,,,
1902,3,8,Camarones,1902/03/08,768,3.2,12,-1,14,8,100,SE,2,N,2,,,,,,,,,,,,,
1902,3,9,Camarones,1902/03/09,766.7,-0.2,16,4,17,7,89,N,2,C,1,,,,,,,,,,,,,
1902,3,10,Camarones,1902/03/10,758.4,-8.3,20,4,21,8,91,SE,2,S,2,,,,,,,,,,,,,
1902,3,12,Camarones,1902/03/12,759,-5.4,12,-1,13,11,100,NE,2,N,3,,,,,,,,,,,,,
1902,3,13,Camarones,1902/03/13,755.2,-3.8,16,4,19,10,89,S,3,S,2,,,,,,,,,,,,,
1902,3,14,Camarones,1902/03/14,757,1.8,18,2,20,8,90,N,1,C,2,,,,,,,,,,,,,
1902,3,15,Camarones,1902/03/15,753.4,-3.6,23,5,25,10,,SW,4,S,2,,,,,,,,,,,,,
1902,3,16,Camarones,1902/03/16,753.4,0,23,0,26,13,91,SE,2,C,1,,,,,,,,,,,,,
1902,3,19,Camarones,1902/03/19,761.4,14.9,15,-6,19,11,,S,3,C,1,,,,,,,,,,,,,
1902,3,21,Camarones,1902/03/21,752.4,-6,26,7,27,15,84,S,1,C,2,,,,,,,,,,,,,
1902,3,22,Camarones,1902/03/22,757.5,5.1,23,-3,24,14,74,,0,S,2,,,,,,,,,,,,,
1902,3,23,Camarones,1902/03/23,755.2,-2.3,26,3,27,11,76,SW,1,C,2,,,,,,,,,,,,,
1902,3,24,Camarones,1902/03/24,754.4,-0.8,23,-3,24,12,83,SW,3,C,2,,,,,,,,,,,,,
1902,3,25,Camarones,1902/03/25,765,10.6,17,-6,18,12,90,SE,,C,2,,,,,,,,,,,,,
1902,3,26,Camarones,1902/03/26,768.1,3.1,21,-4,21,4,82,W,1,,0,,,,,,,,,,,,,
1902,3,27,Camarones,1902/03/27,763.4,-4.7,20,-1,22,8,91,S,2,,0,,,,,,,,,,,,,
1902,3,30,Camarones,1902/03/30,753.1,-7.2,28,-2,31,6,85,S,1,,0,,,,,,,,,,,,,
1902,3,31,Camarones,1902/03/31,748.2,-4.9,29,1,29,8,85,N,1,,0,,,,,,,,,,,,,
1902,4,2,Camarones,1902/04/02,752.7,1.9,20,1,23,9,72,SW,2,S,2,,,,,,,,,,,,,
1902,4,3,Camarones,1902/04/03,763,10.3,21,1,21,5,,NW,1,,0,,,,,,,,,,,,,
1902,4,4,Camarones,1902/04/04,755.4,-7.6,24,3,24,7,60,W,2,C,1,,,,,,,,,,,,,
1902,4,5,Camarones,1902/04/05,765.4,10,16,-8,19,12,79,E,2,C,1,,,,,,,,,,,,,
1902,4,6,Camarones,1902/04/06,756.1,-9.3,27,11,28,10,63,NW,2,K,2,,,,,,,,,,,,,
1902,4,7,Camarones,1902/04/07,748.2,-7.9,26,-1,27,15,48,W,3,K,2,,,,,,,,,,,,,
1902,4,8,Camarones,1902/04/08,757.2,9,15,-11,16,7,69,N,2,K,3,,,,,,,,,,,,,
1902,4,9,Camarones,1902/04/09,757.4,0.2,14,-1,15,10,89,S,3,N,2,,,,,,,,,,,,,
1902,4,10,Camarones,1902/04/10,754.2,-3.2,17,3,18,4,70,N,1,C,1,,,,,,,,,,,,,
1902,4,12,Camarones,1902/04/12,743.8,-7,19,-3,21,9,54,N,2,S,2,,,,,,,,,,,,,
1902,4,13,Camarones,1902/04/13,747.7,3.9,18,-1,19,7,36,SW,3,S,2,,,,,,,,,,,,,
1902,4,14,Camarones,1902/04/14,744.7,-3,21,3,23,10,41,SW,2,K,2,,,,,,,,,,,,,
1902,4,16,Camarones,1902/04/16,755.2,-6.1,22,6,23,9,43,SW,2,S,1,,,,,,,,,,,,,
1902,4,19,Camarones,1902/04/19,745.1,-6.2,24,4,24,7,39,SW,2,S,3,,,,,,,,,,,,,
1902,4,20,Camarones,1902/04/20,746.2,1.1,20,-4,22,12,40,W,2,S,2,,,,,,,,,,,,,
1902,4,24,Camarones,1902/04/24,753.5,1.3,12,-14,14,9,65,S,3,K,3,,,,,,,,,,,,,
1902,4,26,Camarones,1902/04/26,765.9,-0.5,13,-1,16,4,88,,0,K,2,,,,,,,,,,,,,
1902,4,27,Camarones,1902/04/27,758.9,-7,14,1,16,4,89,,0,S,3,,,,,,,,,,,,,
1902,4,29,Camarones,1902/04/29,759.5,-1.9,17,2,19,8,61,W,1,C,1,,,,,,,,,,,,,
1902,5,3,Camarones,1902/05/03,749.7,-1.6,11,-3,12,10,100,S,3,N,3,,,,,,,,,,,,,
1902,5,4,Camarones,1902/05/04,762.2,13.7,10,-1,12,7,74,SE,1,N,3,,,,,,,,,,,,,
1902,5,6,Camarones,1902/05/06,763.9,-4.6,12,2,13,9,100,N,1,N,3,,,,,,,,,,,,,
1902,5,8,Camarones,1902/05/08,760.7,0,11,1,11,9,87,E,2,N,3,,,,,,,,,,,,,
1902,5,16,Camarones,1902/05/16,749.8,-5.4,16,3,17,8,59,W,2,C,1,,,,,,,,,,,,,
1902,5,17,Camarones,1902/05/17,754.8,5,12,-4,12,6,54,S,2,,0,,,,,,,,,,,,,
