YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Carcarañá,1902/02/21,756.7,0.3,35,-1,37,21,32,SE,1,K,2,,,,,,,,,,,,,
1902,2,22,Carcarañá,1902/02/22,758.1,1.4,33,-2,34,19,39,S,1,K,2,,,,,,,,,,,,,
1902,2,23,Carcarañá,1902/02/23,759.8,0.3,33,0,35,18,34,SE,2,K,1,,,,,,,,,,,,,
1902,2,24,Carcarañá,1902/02/24,758.7,-1.1,35,2,36,14,16,E,1,,0,,,,,,,,,,,,,
1902,2,25,Carcarañá,1902/02/25,755.6,-3.1,36,1,37,16,25,NE,2,KN,2,,,,,,,,,,,,,
1902,2,26,Carcarañá,1902/02/26,754.9,-0.7,31,-5,35,23,48,S,3,KN,2,,,,,,,,,,,,,
1902,2,27,Carcarañá,1902/02/27,755.4,0.5,29,-2,30,15,52,S,1,SK,2,,,,,,,,,,,,,
1902,2,28,Carcarañá,1902/02/28,759.7,4.3,22,-7,22,16,66,,0,NK,2,,,,,,,,,,,,,
1902,3,1,Carcarañá,1902/03/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,2,Carcarañá,1902/03/02,756.6,,33,,33,15,30,NE,2,K,1,,,,,,,,,,,,,
1902,3,3,Carcarañá,1902/03/03,756.8,0.2,30,-3,31,17,47,NW,1,KN,1,,,,,,,,,,,,,
1902,3,4,Carcarañá,1902/03/04,753.8,-3,37,7,38,15,30,NW,1,K,2,,,,,,,,,,,,,
1902,3,5,Carcarañá,1902/03/05,758.9,5.1,24,-13,25,19,75,SE,2,KN,2,,,,,,,,,,,,,
1902,3,6,Carcarañá,1902/03/06,758.6,-0.3,28,4,29,19,63,SE,1,K,2,,,,,,,,,,,,,
1902,3,7,Carcarañá,1902/03/07,760,1.4,27,-1,29,,63,SE,1,K,2,,,,,,,,,,,,,
1902,3,8,Carcarañá,1902/03/08,760.9,0.9,25,-2,25,18,68,E,1,S,2,,,,,,,,,,,,,
1902,3,9,Carcarañá,1902/03/09,759.9,-1,29,4,30,15,46,E,1,K,2,,,,,,,,,,,,,
1902,3,10,Carcarañá,1902/03/10,759.6,-0.3,31,2,32,18,42,NE,2,CK,2,,,,,,,,,,,,,
1902,3,12,Carcarañá,1902/03/12,753.9,-1.8,20,-11,27,17,91,NW,1,NK,3,,,,,,,,,,,,,
1902,3,13,Carcarañá,1902/03/13,758.2,4.3,26,6,26,13,55,SW,1,K,1,,,,,,,,,,,,,
1902,3,14,Carcarañá,1902/03/14,761.5,3.3,28,2,29,13,44,N,1,K,1,,,,,,,,,,,,,
1902,3,15,Carcarañá,1902/03/15,760.6,-0.9,31,3,32,17,48,N,2,K,1,,,,,,,,,,,,,
1902,3,16,Carcarañá,1902/03/16,760,-0.6,31,0,32,16,37,N,2,,0,,,,,,,,,,,,,
1902,3,19,Carcarañá,1902/03/19,758.8,3.4,29,-4,30,19,29,SE,2,KN,1,,,,,,,,,,,,,
1902,3,21,Carcarañá,1902/03/21,761.7,-5.3,28,5,28,9,39,N,2,,0,,,,,,,,,,,,,
1902,3,22,Carcarañá,1902/03/22,760.9,-0.8,34,6,35,15,,N,1,K,1,,,,,,,,,,,,,
1902,3,23,Carcarañá,1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,Carcarañá,1902/03/24,759.2,,36,,36,17,33,N,2,CK,1,,,,,,,,,,,,,
1902,3,25,Carcarañá,1902/03/25,756.1,-3.1,36,0,37,19,33,N,2,K,2,,,,,,,,,,,,,
1902,3,26,Carcarañá,1902/03/26,761.4,5.3,20,-16,23,19,81,S,2,N,3,,,,,,,,,,,,,
1902,3,27,Carcarañá,1902/03/27,761.6,0.2,18,-2,20,14,90,SE,2,N,3,,,,,,,,,,,,,
1902,3,30,Carcarañá,1902/03/30,761.7,-5,23,1,23,9,83,NE,1,K,2,,,,,,,,,,,,,
1902,3,31,Carcarañá,1902/03/31,755.9,-5.8,25,2,27,11,54,N,1,NK,2,,,,,,,,,,,,,
1902,4,2,Carcarañá,1902/04/02,759.8,3.1,28,6,28,12,44,NE,2,K,1,,,,,,,,,,,,,
1902,4,3,Carcarañá,1902/04/03,762.5,2.7,29,1,29,15,46,NE,2,KN,2,,,,,,,,,,,,,
1902,4,4,Carcarañá,1902/04/04,758.2,-4.3,28,-1,29,16,51,E,1,KN,2,,,,,,,,,,,,,
1902,4,5,Carcarañá,1902/04/05,759.5,1.3,24,-4,25,15,67,SW,2,KN,2,,,,,,,,,,,,,
1902,4,6,Carcarañá,1902/04/06,761,1.5,25,1,25,17,54,SE,1,KN,2,,,,,,,,,,,,,
1902,4,7,Carcarañá,1902/04/07,759.5,-1.5,25,0,26,12,54,SE,1,K,2,,,,,,,,,,,,,
1902,4,8,Carcarañá,1902/04/08,758.6,-0.9,23,-2,24,14,74,E,1,KN,2,,,,,,,,,,,,,
1902,4,9,Carcarañá,1902/04/09,758.7,0.1,28,5,28,13,51,NW,1,NK,2,,,,,,,,,,,,,
1902,4,10,Carcarañá,1902/04/10,759.6,0.9,23,-5,23,12,44,SE,1,KN,2,,,,,,,,,,,,,
1902,4,12,Carcarañá,1902/04/12,759,3.2,19,-8,20,15,81,,0,KN,3,,,,,,,,,,,,,
1902,4,13,Carcarañá,1902/04/13,760.2,1.2,23,4,23,11,74,SE,1,K,1,,,,,,,,,,,,,
1902,4,14,Carcarañá,1902/04/14,758.7,-1.5,27,4,27,13,63,N,2,K,1,,,,,,,,,,,,,
1902,4,16,Carcarañá,1902/04/16,759.2,-0.3,21,-7,22,18,91,E,2,N,3,,,,,,,,,,,,,
1902,4,19,Carcarañá,1902/04/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,20,Carcarañá,1902/04/20,755.6,,28,,29,14,63,N,1,K,1,,,,,,,,,,,,,
