YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"Cañada Verde",1902/02/21,739.5,3.6,27,-9,36,17,69,,0,N,2,,,,,,,,,,,,,
1902,2,22,"Cañada Verde",1902/02/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,23,"Cañada Verde",1902/02/23,760.9,,35,,35,18,32,,0,K,1,,,,,,,,,,,,,
1902,2,24,"Cañada Verde",1902/02/24,756.5,4.4,35,0,36,17,32,N,1,,0,,,,,,,,,,,,,
1902,2,25,"Cañada Verde",1902/02/25,755.1,-1.4,36,1,36,18,38,N,1,K,1,,,,,,,,,,,,,
1902,2,26,"Cañada Verde",1902/02/26,760.4,5.3,22,-14,37,15,58,N,1,K,2,,,,,,,,,,,,,
1902,2,27,"Cañada Verde",1902/02/27,758.5,-1.9,22,0,24,11,58,N,1,S,2,,,,,,,,,,,,,
1902,2,28,"Cañada Verde",1902/02/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,1,"Cañada Verde",1902/03/01,760.7,,28,,27,10,51,N,2,K,1,,,,,,,,,,,,,
1902,3,2,"Cañada Verde",1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,"Cañada Verde",1902/03/03,755.3,,29,,32,10,64,NE,2,K,1,,,,,,,,,,,,,
1902,3,4,"Cañada Verde",1902/03/04,757.4,2.1,28,-1,31,18,51,SW,2,K,1,,,,,,,,,,,,,
1902,3,5,"Cañada Verde",1902/03/05,761.9,4.5,26,-2,28,10,63,SE,1,S,2,,,,,,,,,,,,,
1902,3,6,"Cañada Verde",1902/03/06,760.1,-1.8,23,-3,26,11,83,W,1,S,3,,,,,,,,,,,,,
1902,3,7,"Cañada Verde",1902/03/07,761,0.9,24,1,26,16,62,E,1,K,1,,,,,,,,,,,,,
1902,3,8,"Cañada Verde",1902/03/08,762.9,1.9,28,4,26,16,70,N,1,K,2,,,,,,,,,,,,,
1902,3,9,"Cañada Verde",1902/03/09,762,-0.9,27,-1,29,16,69,N,1,K,3,,,,,,,,,,,,,
1902,3,10,"Cañada Verde",1902/03/10,761.3,-0.7,27,0,30,10,63,NE,1,K,1,,,,,,,,,,,,,
1902,3,12,"Cañada Verde",1902/03/12,757.2,1.6,24,4,23,17,67,W,1,K,2,,,,,,,,,,,,,
1902,3,13,"Cañada Verde",1902/03/13,760.2,3.1,25,1,28,13,47,W,1,K,1,,,,,,,,,,,,,
1902,3,14,"Cañada Verde",1902/03/14,761.7,1.5,28,3,27,11,51,,0,C,1,,,,,,,,,,,,,
1902,3,15,"Cañada Verde",1902/03/15,759.2,-2.5,29,1,31,10,78,NE,1,C,1,,,,,,,,,,,,,
1902,3,16,"Cañada Verde",1902/03/16,757.3,-1.9,31,2,31,14,48,NE,1,C,1,,,,,,,,,,,,,
1902,3,19,"Cañada Verde",1902/03/19,762.2,6.3,25,-4,30,10,34,SW,1,S,2,,,,,,,,,,,,,
1902,3,21,"Cañada Verde",1902/03/21,759.6,-6.8,29,6,29,15,58,N,1,,0,,,,,,,,,,,,,
1902,3,22,"Cañada Verde",1902/03/22,758.4,-1.2,34,5,35,15,67,N,1,K,1,,,,,,,,,,,,,
1902,3,23,"Cañada Verde",1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,"Cañada Verde",1902/03/24,756.4,-2.4,35,2,36,15,86,E,1,K,1,,,,,,,,,,,,,
1902,3,25,"Cañada Verde",1902/03/25,755.9,-0.5,31,-4,34,21,85,N,1,K,1,,,,,,,,,,,,,
1902,3,26,"Cañada Verde",1902/03/26,758,4.2,17,-15,36,12,89,W,2,N,3,,,,,,,,,,,,,
