YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Chilecito,1902/02/21,758.3,7.2,29,0,34,18,52,,0,K,1,,,,,,,,,,,,,
1902,2,22,Chilecito,1902/02/22,760.9,2.6,21,-8,31,20,73,E,1,N,2,,,,,,,,,,,,,
1902,2,23,Chilecito,1902/02/23,760.2,-0.7,34,1.3,34,17,27,W,1,N,3,,,,,,,,,,,,,
1902,2,24,Chilecito,1902/02/24,755.4,-4.8,36,2,36,20,21,S,1,C,1,,,,,,,,,,,,,
1902,2,25,Chilecito,1902/02/25,753.8,-1.6,34,-2,36,20,27,S,1,K,1,,,,,,,,,,,,,
1902,2,26,Chilecito,1902/02/26,754.4,0.6,31,-3,37,21,32,NW,1,K,2,,,,,,,,,,,,,
1902,2,27,Chilecito,1902/02/27,752.9,-1.5,33,2,33,16,34,,0,,0,,,,,,,,,,,,,
1902,2,28,Chilecito,1902/02/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,1,Chilecito,1902/03/01,757.6,,30,,30,15,41,S,1,K,2,,,,,,,,,,,,,
1902,3,2,Chilecito,1902/03/02,753.5,-4.1,34,4,34,16,31,,0,,0,,,,,,,,,,,,,
1902,3,3,Chilecito,1902/03/03,753.4,-0.1,34,0,35,20,31,S,1,K,1,,,,,,,,,,,,,
1902,3,4,Chilecito,1902/03/04,754,0.6,36,2,36,21,25,SW,2,,,,,,,,,,,,,,,
1902,3,5,Chilecito,1902/03/05,757.2,3.2,29,-7,37,20,46,S,1,K,2,,,,,,,,,,,,,
1902,3,6,Chilecito,1902/03/06,756.3,-0.9,32,3,31,19,43,,0,C,1,,,,,,,,,,,,,
1902,3,7,Chilecito,1902/03/07,755.9,-0.4,33,1,33,21,39,S,1,K,2,,,,,,,,,,,,,
1902,3,8,Chilecito,1902/03/08,758,2.1,30,-3,33,18,47,,0,K,2,,,,,,,,,,,,,
1902,3,9,Chilecito,1902/03/09,758,0,30,0,32,18,47,SE,1,K,1,,,,,,,,,,,,,
1902,3,10,Chilecito,1902/03/10,756.1,-1.9,31,1,33,18,48,SE,3,K,1,,,,,,,,,,,,,
1902,3,12,Chilecito,1902/03/12,752.8,0.2,30,-5,36,20,53,SW,1,,0,,,,,,,,,,,,,
1902,3,13,Chilecito,1902/03/13,757.5,4.7,30,0,30,19,41,S,1,K,1,,,,,,,,,,,,,
1902,3,14,Chilecito,1902/03/14,758.5,1,31,1,34,19,48,,0,K,1,,,,,,,,,,,,,
1902,3,15,Chilecito,1902/03/15,754.2,-4.3,34,3,35,18,31,SW,1,K,1,,,,,,,,,,,,,
1902,3,16,Chilecito,1902/03/16,756.2,2,35,1,35,17,62,SW,1,,0,,,,,,,,,,,,,
1902,3,19,Chilecito,1902/03/19,755.1,3.1,35,0,36,20,28,,0,K,1,,,,,,,,,,,,,
1902,3,21,Chilecito,1902/03/21,756.6,-9.5,26,7,23,15,55,,0,C,1,,,,,,,,,,,,,
1902,3,22,Chilecito,1902/03/22,757.3,0.7,35,9,37,16,28,,0,,0,,,,,,,,,,,,,
1902,3,23,Chilecito,1902/03/23,757.8,0.5,35,0,32,18,28,S,1,K,1,,,,,,,,,,,,,
1902,3,24,Chilecito,1902/03/24,754.7,-3.1,35,0,35,18,24,,0,,0,,,,,,,,,,,,,
1902,3,25,Chilecito,1902/03/25,754.1,-0.6,32,-3,35,18,33,,0,K,1,,,,,,,,,,,,,
1902,3,26,Chilecito,1902/03/26,764.1,10,16,-16,34,15,59,S,1,N,3,,,,,,,,,,,,,
1902,3,27,Chilecito,1902/03/27,761.5,-2.6,15,-1,15,12,89,S,1,N,3,,,,,,,,,,,,,
1902,3,30,Chilecito,1902/03/30,760.3,-7.9,18,4,18,11,80,,0,K,2,,,,,,,,,,,,,
1902,3,31,Chilecito,1902/03/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,2,Chilecito,1902/04/02,756.6,0.9,28,0,26,11,44,,0,K,1,,,,,,,,,,,,,
1902,4,3,Chilecito,1902/04/03,760.1,3.5,25,-3,28,16,54,SW,1,K,2,,,,,,,,,,,,,
1902,4,4,Chilecito,1902/04/04,759.3,-0.8,23,-2,28,16,66,,3,K,1,,,,,,,,,,,,,
1902,4,5,Chilecito,1902/04/05,761.9,2.6,26,3,23,15,48,,0,K,2,,,,,,,,,,,,,
1902,4,6,Chilecito,1902/04/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,7,Chilecito,1902/04/07,758.8,,26,,28,12,48,S,1,,0,,,,,,,,,,,,,
1902,4,8,Chilecito,1902/04/08,757.5,-1.3,27,1,27,13,43,,0,K,2,,,,,,,,,,,,,
1902,4,9,Chilecito,1902/04/09,758.3,0.8,26,-1,27,12,48,S,3,C,1,,,,,,,,,,,,,
1902,4,10,Chilecito,1902/04/10,755.7,-2.6,29,3,28,19,40,S,1,C,1,,,,,,,,,,,,,
1902,4,12,Chilecito,1902/04/12,756.7,4.4,29,2,29,17,34,S,1,,0,,,,,,,,,,,,,
1902,4,13,Chilecito,1902/04/13,756.3,-0.4,30,1,30,13,36,,0,,0,,,,,,,,,,,,,
1902,4,14,Chilecito,1902/04/14,757.2,0.9,29,-1,30,13,40,S,1,,0,,,,,,,,,,,,,
1902,4,16,Chilecito,1902/04/16,757,-4.7,26,0,30,17,69,,0,K,1,,,,,,,,,,,,,
1902,4,19,Chilecito,1902/04/19,757.7,-1.8,30,1,30,17,48,,0,K,1,,,,,,,,,,,,,
1902,4,20,Chilecito,1902/04/20,754.3,-3.4,31,1,31,17,42,,0,,0,,,,,,,,,,,,,
1902,4,24,Chilecito,1902/04/24,756.3,-4,25,0,25,9,40,SW,1,S,1,,,,,,,,,,,,,
1902,4,26,Chilecito,1902/04/26,762.3,2.4,23,0,24,14,52,,0,K,1,,,,,,,,,,,,,
1902,4,27,Chilecito,1902/04/27,760.2,-5.1,25,2,24,12,47,S,1,C,1,,,,,,,,,,,,,
1902,4,29,Chilecito,1902/04/29,760.5,,27,5,29,13,43,S,1,,,,,,,,,,,,,,,
1902,5,3,Chilecito,1902/05/03,752.8,-0.9,28,2,32,13,39,SE,2,C,1,,,,,,,,,,,,,
1902,5,4,Chilecito,1902/05/04,756.1,3.3,31,3,31,13,27,,0,,0,,,,,,,,,,,,,
1902,5,6,Chilecito,1902/05/06,758.2,-2.6,25,-1,26,12,40,S,1,C,1,,,,,,,,,,,,,
1902,5,8,Chilecito,1902/05/08,756,1.2,25,0,26,17,47,S,2,K,1,,,,,,,,,,,,,
1902,5,16,Chilecito,1902/05/16,766.9,2.7,16,-2,18,8,50,S,1,K,1,,,,,,,,,,,,,
1902,5,17,Chilecito,1902/05/17,760,-6.9,18,2,23,6,53,S,1,,0,,,,,,,,,,,,,
1902,5,18,Chilecito,1902/05/18,761.2,1.2,23,5,26,6,37,S,1,,0,,,,,,,,,,,,,
1902,5,19,Chilecito,1902/05/19,760.7,-0.5,23,0,24,5,31,S,1,,0,,,,,,,,,,,,,
1902,5,20,Chilecito,1902/05/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,21,Chilecito,1902/05/21,758.2,,27,,27,7,20,,0,,0,,,,,,,,,,,,,
1902,5,22,Chilecito,1902/05/22,758.7,0.5,28,1,28,8,27,,0,,0,,,,,,,,,,,,,
1902,5,23,Chilecito,1902/05/23,757,-1.7,30,2,28,11,21,S,1,,0,,,,,,,,,,,,,
1902,5,24,Chilecito,1902/05/24,754.1,-2.9,32,2,32,8,19,,0,C,1,,,,,,,,,,,,,
1902,5,25,Chilecito,1902/05/25,752.8,-1.3,32,0,32,14,19,,0,,0,,,,,,,,,,,,,
1902,5,26,Chilecito,1902/05/26,755.6,2.8,24,-8,31,8,33,S,1,K,1,,,,,,,,,,,,,
1902,5,27,Chilecito,1902/05/27,754.3,-0.7,25,1,26,10,40,SW,1,C,1,,,,,,,,,,,,,
1902,5,28,Chilecito,1902/05/28,761.1,8.8,15,-10,25,10,48,S,1,K,1,,,,,,,,,,,,,
1902,5,29,Chilecito,1902/05/29,763.6,0.5,17,2,17,4,90,S,1,C,1,,,,,,,,,,,,,
1902,5,30,Chilecito,1902/05/30,759.3,-4.3,15,2,15,1,39,S,1,K,2,,,,,,,,,,,,,
1902,5,31,Chilecito,1902/05/31,759,-0.3,21,6,23,4,,S,1,C,1,,,,,,,,,,,,,
1902,6,1,Chilecito,1902/06/01,753.8,-5.2,26,5,17,5,30,S,1,K,1,,,,,,,,,,,,,
1902,6,2,Chilecito,1902/06/02,751.3,-2.5,30,4,30,8,16,S,1,C,1,,,,,,,,,,,,,
1902,6,3,Chilecito,1902/06/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,4,Chilecito,1902/06/04,764.6,,14,,20,3,28,S,1,,0,,,,,,,,,,,,,
1902,6,5,Chilecito,1902/06/05,763.1,-1.3,17,3,17,1,34,S,1,,0,,,,,,,,,,,,,
1902,6,6,Chilecito,1902/06/06,,,12,-5,18,1,43,,0,K,1,,,,,,,,,,,,,
1902,6,7,Chilecito,1902/06/07,763.5,,13,1,19,4,77,S,2,C,1,,,,,,,,,,,,,
1902,6,8,Chilecito,1902/06/08,761.6,-3.9,16,3,19,3,41,,0,K,2,,,,,,,,,,,,,
1902,6,9,Chilecito,1902/06/09,765,3.4,13,3,17,4,77,S,1,K,2,,,,,,,,,,,,,
1902,6,10,Chilecito,1902/06/10,755,-10,19,6,19,4,30,S,1,K,1,,,,,,,,,,,,,
1902,6,11,Chilecito,1902/06/11,756.7,1.7,23,4,23,9,25,SW,2,K,1,,,,,,,,,,,,,
1902,6,12,Chilecito,1902/06/12,762,5.3,20,-3,25,7,40,S,1,,0,,,,,,,,,,,,,
1902,6,13,Chilecito,1902/06/13,761.2,-0.8,21,1,21,5,34,S,1,C,1,,,,,,,,,,,,,
1902,6,14,Chilecito,1902/06/14,761.2,-0.8,21,1,21,5,34,S,1,C,1,,,,,,,,,,,,,
1902,6,15,Chilecito,1902/06/15,754.2,-7,21,0,20,5,49,,0,K,1,,,,,,,,,,,,,
1902,6,16,Chilecito,1902/06/16,750.3,-3.9,23,2,22,5,31,S,1,,0,,,,,,,,,,,,,
1902,6,17,Chilecito,1902/06/17,753.8,3.5,22,-1,23,9,50,SW,3,K,1,,,,,,,,,,,,,
1902,6,18,Chilecito,1902/06/18,756.5,2.7,17,-5,22,8,52,SW,3,K,1,,,,,,,,,,,,,
1902,6,19,Chilecito,1902/06/19,762.4,5.9,16,-1,17,5,50,S,2,,0,,,,,,,,,,,,,
1902,6,20,Chilecito,1902/06/20,765.8,3.4,15,-1,16,7,48,S,1,,,,,,,,,,,,,,,
1902,6,21,Chilecito,1902/06/21,763.1,-2.7,13,-2,16,5,55,S,1,C,1,,,,,,,,,,,,,
1902,6,22,Chilecito,1902/06/22,767.4,4.3,12,-1,15,6,65,S,1,K,1,,,,,,,,,,,,,
1902,6,23,Chilecito,1902/06/23,766,-1.4,16,4,16,5,50,,0,,0,,,,,,,,,,,,,
1902,6,24,Chilecito,1902/06/24,763.6,-2.4,17,1,20,2,52,S,1,,0,,,,,,,,,,,,,
1902,6,25,Chilecito,1902/06/25,,,19,2,20,4,46,S,1,,0,,,,,,,,,,,,,
1902,6,26,Chilecito,1902/06/26,759.4,,20,1,23,5,55,S,1,,0,,,,,,,,,,,,,
1902,6,27,Chilecito,1902/06/27,759.6,0.2,22,2,23,11,50,S,1,K,1,,,,,,,,,,,,,
1902,6,28,Chilecito,1902/06/28,771.9,12.3,9,-13,22,7,86,W,1,N,2,,,,,,,,,,,,,
