YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Concepcion-TUCUMAN,1902/02/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,22,Concepcion-TUCUMAN,1902/02/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,23,Concepcion-TUCUMAN,1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,Concepcion-TUCUMAN,1902/02/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,25,Concepcion-TUCUMAN,1902/02/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,26,Concepcion-TUCUMAN,1902/02/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,27,Concepcion-TUCUMAN,1902/02/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,28,Concepcion-TUCUMAN,1902/02/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,1,Concepcion-TUCUMAN,1902/03/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,2,Concepcion-TUCUMAN,1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,Concepcion-TUCUMAN,1902/03/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,4,Concepcion-TUCUMAN,1902/03/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,5,Concepcion-TUCUMAN,1902/03/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,6,Concepcion-TUCUMAN,1902/03/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,7,Concepcion-TUCUMAN,1902/03/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,8,Concepcion-TUCUMAN,1902/03/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,9,Concepcion-TUCUMAN,1902/03/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,10,Concepcion-TUCUMAN,1902/03/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,12,Concepcion-TUCUMAN,1902/03/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,13,Concepcion-TUCUMAN,1902/03/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,14,Concepcion-TUCUMAN,1902/03/14,,,22,1,27,22,100,,0,C,1,,,,,,,,,,,,,
1902,3,15,Concepcion-TUCUMAN,1902/03/15,,,21,-1,31,20,91,S,1,S,2,,,,,,,,,,,,,
1902,3,16,Concepcion-TUCUMAN,1902/03/16,,,21,0,29,21,82,,0,C,1,,,,,,,,,,,,,
1902,3,19,Concepcion-TUCUMAN,1902/03/19,,,32,3,34,22,33,,0,N,2,,,,,,,,,,,,,
1902,3,21,Concepcion-TUCUMAN,1902/03/21,,,,,,,,,,,,,,,,,,,,,,,,
