YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Concordia,1902/02/21,,,25,,26,16,61,NE,2,KS,1,,,,,,,,,,,,,
1902,2,22,Concordia,1902/02/22,,,26,1,27,15,55,NE,1,CK,1,,,,,,,,,,,,,
1902,2,23,Concordia,1902/02/23,,,27,1,28,15,49,NE,1,CK,1,,,,,,,,,,,,,
1902,2,24,Concordia,1902/02/24,,,20,-6,25,17,81,S,1,KS,2,,,,,,,,,,,,,
1902,2,25,Concordia,1902/02/25,760.4,,24,4,24,14,60,NE,2,KS,1,,,,,,,,,,,,,
1902,2,26,Concordia,1902/02/26,758.9,-1.3,28,3,28,19,25,N,1,,0,,,,,,,,,,,,,
1902,2,27,Concordia,1902/02/27,760.8,0.8,24,-3,26,19,83,NE,1,KN,3,,,,,,,,,,,,,
1902,2,28,Concordia,1902/02/28,761.6,-1.6,27,1,27,16,56,N,2,KS,1,,,,,,,,,,,,,
1902,3,1,Concordia,1902/03/01,758.9,-2.7,28,1,29,16,63,N,1,KS,2,,,,,,,,,,,,,
1902,3,2,Concordia,1902/03/02,764.4,-2.8,23,1,30,14,52,N,2,,0,,,,,,,,,,,,,
1902,3,3,Concordia,1902/03/03,765.9,0.9,25,0,26,14,92,E,1,KS,1,,,,,,,,,,,,,
1902,3,4,Concordia,1902/03/04,764.4,-1.5,26,1,26,14,55,NE,1,KS,2,,,,,,,,,,,,,
1902,3,5,Concordia,1902/03/05,764.9,-0.5,23,-3,27,13,59,NE,2,KS,2,,,,,,,,,,,,,
1902,3,6,Concordia,1902/03/06,756,-2.9,27,0,27,17,63,N,3,KS,2,,,,,,,,,,,,,
1902,3,7,Concordia,1902/03/07,761.6,5.6,28,28,28,17,63,E,1,K,1,,,,,,,,,,,,,
1902,3,8,Concordia,1902/03/08,762.5,-0.2,23,-1,25,18,83,N,1,SK,2,,,,,,,,,,,,,
