YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Conesa,1902/02/21,,,17,,21,9,100,E,1,NK,3,,,,,,,,,,,,,
1902,2,22,Conesa,1902/02/22,,,15,-2,17,7,58,S,3,K,2,,,,,,,,,,,,,
1902,2,23,Conesa,1902/02/23,,,20,5,21,3,55,W,2,,0,,,,,,,,,,,,,
1902,2,24,Conesa,1902/02/24,,,26,3,26,6,36,NE,3,C,3,,,,,,,,,,,,,
1902,2,25,Conesa,1902/02/25,,,19,-4,22,9,46,W,2,,0,,,,,,,,,,,,,
1902,2,26,Conesa,1902/02/26,,,23,4,24,6,51,W,2,C,1,,,,,,,,,,,,,
1902,2,27,Conesa,1902/02/27,,,20,1,22,7,55,W,1,C,2,,,,,,,,,,,,,
1902,2,28,Conesa,1902/02/28,,,23,2,23,7,31,W,2,C,2,,,,,,,,,,,,,
1902,3,1,Conesa,1902/03/01,,,23,0,25,7,37,,,K,3,,,,,,,,,,,,,
1902,3,2,Conesa,1902/03/02,,,25,3,25,12,40,N,2,C,1,,,,,,,,,,,,,
1902,3,3,Conesa,1902/03/03,,,20,3,22,14,64,SE,2,K,2,,,,,,,,,,,,,
1902,3,4,Conesa,1902/03/04,,,23,3,24,13,66,S,1,N,3,,,,,,,,,,,,,
1902,3,5,Conesa,1902/03/05,,,25,2,26,13,54,SW,1,C,1,,,,,,,,,,,,,
1902,3,6,Conesa,1902/03/06,,,18,-7,25,11,71,W,3,C,1,,,,,,,,,,,,,
1902,3,7,Conesa,1902/03/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,8,Conesa,1902/03/08,,,11,-7,13,10,100,E,3,N,3,,,,,,,,,,,,,
1902,3,9,Conesa,1902/03/09,,,13,-1,14,10,100,,0,N,3,,,,,,,,,,,,,
1902,3,10,Conesa,1902/03/10,,,17,3,18,4,34,W,3,S,1,,,,,,,,,,,,,
1902,3,12,Conesa,1902/03/12,,,18,1,19,9,44,W,2,C,2,,,,,,,,,,,,,
1902,3,13,Conesa,1902/03/13,,,14,-4,18,4,67,W,3,S,2,,,,,,,,,,,,,
1902,3,14,Conesa,1902/03/14,,,23,9,23,10,31,W,2,S,2,,,,,,,,,,,,,
1902,3,15,Conesa,1902/03/15,,,16,-7,23,6,69,N,2,S,3,,,,,,,,,,,,,
1902,3,16,Conesa,1902/03/16,,,20,4,21,7,55,W,2,S,2,,,,,,,,,,,,,
1902,3,19,Conesa,1902/03/19,,,16,-4,17,10,89,,0,N,3,,,,,,,,,,,,,
1902,3,21,Conesa,1902/03/21,,,21,5,22,12,57,,0,K,2,,,,,,,,,,,,,
1902,3,22,Conesa,1902/03/22,,,17,-4,21,11,61,,0,N,3,,,,,,,,,,,,,
1902,3,23,Conesa,1902/03/23,,,16,-1,20,11,79,W,2,N,3,,,,,,,,,,,,,
1902,3,24,Conesa,1902/03/24,,,16,0,16,9,79,W,2,C,1,,,,,,,,,,,,,
1902,3,25,Conesa,1902/03/25,,,14,-2,17,4,89,W,3,C,1,,,,,,,,,,,,,
1902,3,26,Conesa,1902/03/26,,,15,1,15,-2,78,W,3,,0,,,,,,,,,,,,,
1902,3,27,Conesa,1902/03/27,,,15,0,16,3,21,W,3,S,2,,,,,,,,,,,,,
1902,3,30,Conesa,1902/03/30,,,14,-1,15,3,57,W,3,N,3,,,,,,,,,,,,,
1902,3,31,Conesa,1902/03/31,,,11,-3,11,6,87,N,2,N,3,,,,,,,,,,,,,
1902,4,2,Conesa,1902/04/02,,,19,5,23,8,63,,0,K,2,,,,,,,,,,,,,
1902,4,3,Conesa,1902/04/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,4,Conesa,1902/04/04,,,12,-6,14,-2,33,W,2,C,1,,,,,,,,,,,,,
1902,4,5,Conesa,1902/04/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,6,Conesa,1902/04/06,,,15,2,15,2,29,W,3,C,1,,,,,,,,,,,,,
1902,4,7,Conesa,1902/04/07,,,13,-2,15,-2,35,W,3,S,3,,,,,,,,,,,,,
1902,4,8,Conesa,1902/04/08,,,6,-7,7,-3,28,W,2,C,1,,,,,,,,,,,,,
1902,4,9,Conesa,1902/04/09,,,11,5,13,-3,41,,0,,0,,,,,,,,,,,,,
1902,4,10,Conesa,1902/04/10,,,8,-3,8,-4,34,N,2,K,2,,,,,,,,,,,,,
1902,4,12,Conesa,1902/04/12,,,8,0,8,5,100,N,2,N,3,,,,,,,,,,,,,
1902,4,13,Conesa,1902/04/13,,,15,7,16,0,48,W,1,C,1,,,,,,,,,,,,,
1902,4,14,Conesa,1902/04/14,,,9,-6,9,1,61,W,2,K,2,,,,,,,,,,,,,
1902,4,16,Conesa,1902/04/16,,,7,-2,9,4,85,E,2,N,3,,,,,,,,,,,,,
1902,4,19,Conesa,1902/04/19,,,7,-2,9,4,85,E,2,N,3,,,,,,,,,,,,,
1902,4,20,Conesa,1902/04/20,,,15,6,16,9,89,,0,K,2,,,,,,,,,,,,,
1902,4,24,Conesa,1902/04/24,,,18,3,18,3,71,,0,C,1,,,,,,,,,,,,,
1902,4,26,Conesa,1902/04/26,,,10,-8,11,9,100,S,2,N,3,,,,,,,,,,,,,
1902,4,27,Conesa,1902/04/27,,,12,2,14,3,76,,0,,0,,,,,,,,,,,,,
1902,4,29,Conesa,1902/04/29,,,9,-3,14,5,80,,0,N,3,,,,,,,,,,,,,
1902,5,3,Conesa,1902/05/03,,,10,1,12,2,50,E,2,K,2,,,,,,,,,,,,,
1902,5,4,Conesa,1902/05/04,,,7,-3,7,3,85,N,3,N,3,,,,,,,,,,,,,
1902,5,6,Conesa,1902/05/06,,,10,3,11,6,86,E,2,K,3,,,,,,,,,,,,,
1902,5,8,Conesa,1902/05/08,,,7,-3,9,3,85,N,3,N,3,,,,,,,,,,,,,
1902,5,16,Conesa,1902/05/16,,,15,8,16,6,78,N,3,K,3,,,,,,,,,,,,,
1902,5,17,Conesa,1902/05/17,,,14,-1,14,12,78,N,2,N,3,,,,,,,,,,,,,
1902,5,18,Conesa,1902/05/18,,,14,0,16,8,78,W,2,S,2,,,,,,,,,,,,,
1902,5,19,Conesa,1902/05/19,,,10,-4,11,7,100,,0,N,3,,,,,,,,,,,,,
1902,5,20,Conesa,1902/05/20,,,13,3,14,1,55,,0,,0,,,,,,,,,,,,,
1902,5,21,Conesa,1902/05/21,,,8,-5,9,3,86,N,2,N,3,,,,,,,,,,,,,
1902,5,22,Conesa,1902/05/22,,,12,4,13,7,65,N,3,N,3,,,,,,,,,,,,,
1902,5,23,Conesa,1902/05/23,,,12,0,13,5,54,W,2,C,1,,,,,,,,,,,,,
1902,5,24,Conesa,1902/05/24,,,12,0,13,-1,65,,0,,0,,,,,,,,,,,,,
1902,5,25,Conesa,1902/05/25,,,10,-2,11,3,62,NW,3,K,2,,,,,,,,,,,,,
1902,5,26,Conesa,1902/05/26,,,12,2,12,3,76,W,2,SK,3,,,,,,,,,,,,,
1902,5,27,Conesa,1902/05/27,,,13,1,15,-1,66,N,2,S,2,,,,,,,,,,,,,
1902,5,28,Conesa,1902/05/28,,,12,-1,12,5,76,NW,2,K,2,,,,,,,,,,,,,
1902,5,29,Conesa,1902/05/29,,,11,-1,11,6,75,W,2,K,3,,,,,,,,,,,,,
1902,5,30,Conesa,1902/05/30,,,14,3,16,5,47,W,3,C,1,,,,,,,,,,,,,
1902,5,31,Conesa,1902/05/31,,,10,-4,10,4,74,W,2,N,3,,,,,,,,,,,,,
1902,6,1,Conesa,1902/06/01,,,9,-1,12,-1,86,W,1,,0,,,,,,,,,,,,,
1902,6,2,Conesa,1902/06/02,,,7,-2,8,-2,71,E,2,C,1,,,,,,,,,,,,,
1902,6,3,Conesa,1902/06/03,,,6,-1,8,3,100,E,2,N,3,,,,,,,,,,,,,
1902,6,4,Conesa,1902/06/04,,,9,3,10,5,100,E,2,N,3,,,,,,,,,,,,,
1902,6,5,Conesa,1902/06/05,,,7,2,8,0,44,W,3,C,1,,,,,,,,,,,,,
