YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Curuzú-Cuatiá,1902/02/21,754.6,-0.3,35,-1,38,23,57,SE,1,KN,2,,,,,,,,,,,,,
1902,2,22,Curuzú-Cuatiá,1902/02/22,755.7,1.1,36,1,38,27,38,SE,3,CN,2,,,,,,,,,,,,,
1902,2,23,Curuzú-Cuatiá,1902/02/23,758.5,2.8,39,3,41,23,33,E,2,CK,1,,,,,,,,,,,,,
1902,2,24,Curuzú-Cuatiá,1902/02/24,756.8,-1.7,36,-3,37,24,38,SE,2,K,1,,,,,,,,,,,,,
1902,2,25,Curuzú-Cuatiá,1902/02/25,756.8,0,36,0,37,24,38,SE,1,K,1,,,,,,,,,,,,,
1902,2,26,Curuzú-Cuatiá,1902/02/26,753.1,-3.7,36,0,39,27,75,NE,1,S,3,,,,,,,,,,,,,
1902,2,27,Curuzú-Cuatiá,1902/02/27,753.3,0.2,29,-7,31,21,64,E,1,NK,3,,,,,,,,,,,,,
1902,2,28,Curuzú-Cuatiá,1902/02/28,755.7,2.4,35,6,39,25,46,SE,2,KN,1,,,,,,,,,,,,,
1902,3,1,Curuzú-Cuatiá,1902/03/01,759.1,3.4,33,-2,34,23,34,E,3,,0,,,,,,,,,,,,,
1902,3,2,Curuzú-Cuatiá,1902/03/02,757.1,-2,34,1,35,27,22,E,3,,0,,,,,,,,,,,,,
1902,3,3,Curuzú-Cuatiá,1902/03/03,756.7,-0.4,35,1,37,27,37,E,1,CK,1,,,,,,,,,,,,,
1902,3,4,Curuzú-Cuatiá,1902/03/04,755.1,-1.6,36,1,38,26,38,E,2,KS,1,,,,,,,,,,,,,
1902,3,5,Curuzú-Cuatiá,1902/03/05,756.6,1.5,36,0,40,25,33,S,3,KN,3,,,,,,,,,,,,,
1902,3,6,Curuzú-Cuatiá,1902/03/06,756.7,0.1,36,0,38,23,33,S,2,K,1,,,,,,,,,,,,,
1902,3,7,Curuzú-Cuatiá,1902/03/07,756.5,-0.2,37,1,38,28,30,S,3,KN,2,,,,,,,,,,,,,
1902,3,8,Curuzú-Cuatiá,1902/03/08,757.6,1.1,36,-1,38,26,38,SE,2,KN,1,,,,,,,,,,,,,
