YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"Dique San Roque",1902/02/21,,,28,-3,30,21,57,,0,KC,1,,,,,,,,,,,,,
1902,2,22,"Dique San Roque",1902/02/22,,,23,-5,24,20,74,,0,SK,2,,,,,,,,,,,,,
1902,2,23,"Dique San Roque",1902/02/23,,,30,7,32,18,36,,0,K,1,,,,,,,,,,,,,
1902,2,24,"Dique San Roque",1902/02/24,,,32,2,33,17,43,,0,K,1,,,,,,,,,,,,,
1902,2,25,"Dique San Roque",1902/02/25,,,31,-1,33,18,32,NE,1,KS,2,,,,,,,,,,,,,
1902,2,26,"Dique San Roque",1902/02/26,,,20,-11,28,20,91,,0,NK,3,,,,,,,,,,,,,
1902,2,27,"Dique San Roque",1902/02/27,,,25,5,27,16,61,NW,1,KS,2,,,,,,,,,,,,,
1902,2,28,"Dique San Roque",1902/02/28,,,17,-8,18,12,80,,0,SK,2,,,,,,,,,,,,,
1902,3,1,"Dique San Roque",1902/03/01,,,22,5,22,12,66,,0,K,1,,,,,,,,,,,,,
1902,3,2,"Dique San Roque",1902/03/02,,,22,0,28,18,82,NE,2,K,1,,,,,,,,,,,,,
1902,3,3,"Dique San Roque",1902/03/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,4,"Dique San Roque",1902/03/04,,,32,,33,18,49,N,1,K,1,,,,,,,,,,,,,
1902,3,5,"Dique San Roque",1902/03/05,,,20,-12,21,18,81,,0,KS,2,,,,,,,,,,,,,
1902,3,6,"Dique San Roque",1902/03/06,,,26,6,28,18,69,NE,2,K,1,,,,,,,,,,,,,
1902,3,7,"Dique San Roque",1902/03/07,,,23,-3,24,18,74,,0,K,1,,,,,,,,,,,,,
1902,3,8,"Dique San Roque",1902/03/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,9,"Dique San Roque",1902/03/09,,,25,,26,17,68,NE,1,KN,1,,,,,,,,,,,,,
1902,3,10,"Dique San Roque",1902/03/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,12,"Dique San Roque",1902/03/12,,,19,-7,21,18,90,,0,N,3,,,,,,,,,,,,,
1902,3,13,"Dique San Roque",1902/03/13,,,24,5,26,16,46,N,1,K,1,,,,,,,,,,,,,
1902,3,14,"Dique San Roque",1902/03/14,,,27,3,27,15,49,N,1,K,1,,,,,,,,,,,,,
1902,3,15,"Dique San Roque",1902/03/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,16,"Dique San Roque",1902/03/16,,,28,,29,15,27,N,2,K,1,,,,,,,,,,,,,
1902,3,19,"Dique San Roque",1902/03/19,,,21,-8,27,18,73,S,2,KS,2,,,,,,,,,,,,,
1902,3,21,"Dique San Roque",1902/03/21,,,25,5,26,14,54,N,3,,0,,,,,,,,,,,,,
1902,3,22,"Dique San Roque",1902/03/22,,,29,4,30,16,46,N,1,K,1,,,,,,,,,,,,,
1902,3,23,"Dique San Roque",1902/03/23,,,30,1,30,17,41,N,1,K,1,,,,,,,,,,,,,
1902,3,24,"Dique San Roque",1902/03/24,,,30,0,30,19,65,NE,3,K,1,,,,,,,,,,,,,
1902,3,25,"Dique San Roque",1902/03/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,26,"Dique San Roque",1902/03/26,,,18,,20,18,90,S,1,N,3,,,,,,,,,,,,,
1902,3,27,"Dique San Roque",1902/03/27,,,15,-3,17,13,89,,0,N,3,,,,,,,,,,,,,
1902,3,30,"Dique San Roque",1902/03/30,,,18,1,20,12,62,N,2,K,1,,,,,,,,,,,,,
1902,3,31,"Dique San Roque",1902/03/31,,,21,3,22,14,49,N,2,K,1,,,,,,,,,,,,,
1902,4,2,"Dique San Roque",1902/04/02,,,23,1,24,12,66,NE,1,K,1,,,,,,,,,,,,,
1902,4,3,"Dique San Roque",1902/04/03,,,22,-1,23,16,66,N,1,K,1,,,,,,,,,,,,,
1902,4,4,"Dique San Roque",1902/04/04,,,22,0,24,15,58,,0,K,2,,,,,,,,,,,,,
1902,4,5,"Dique San Roque",1902/04/05,,,23,1,24,12,59,N,1,K,1,,,,,,,,,,,,,
1902,4,6,"Dique San Roque",1902/04/06,,,22,-1,24,12,50,,0,K,1,,,,,,,,,,,,,
1902,4,7,"Dique San Roque",1902/04/07,,,21,-1,21,12,65,E,1,K,1,,,,,,,,,,,,,
1902,4,8,"Dique San Roque",1902/04/08,,,22,1,23,12,66,NE,2,C,2,,,,,,,,,,,,,
