YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Dolores,1902/02/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,22,Dolores,1902/02/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,23,Dolores,1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,Dolores,1902/02/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,25,Dolores,1902/02/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,26,Dolores,1902/02/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,27,Dolores,1902/02/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,28,Dolores,1902/02/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,1,Dolores,1902/03/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,2,Dolores,1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,Dolores,1902/03/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,4,Dolores,1902/03/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,5,Dolores,1902/03/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,6,Dolores,1902/03/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,7,Dolores,1902/03/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,8,Dolores,1902/03/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,9,Dolores,1902/03/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,10,Dolores,1902/03/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,12,Dolores,1902/03/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,13,Dolores,1902/03/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,14,Dolores,1902/03/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,15,Dolores,1902/03/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,16,Dolores,1902/03/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,19,Dolores,1902/03/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,21,Dolores,1902/03/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,22,Dolores,1902/03/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,23,Dolores,1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,Dolores,1902/03/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,25,Dolores,1902/03/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,26,Dolores,1902/03/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,27,Dolores,1902/03/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,30,Dolores,1902/03/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,31,Dolores,1902/03/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,2,Dolores,1902/04/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,3,Dolores,1902/04/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,4,Dolores,1902/04/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,5,Dolores,1902/04/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,6,Dolores,1902/04/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,7,Dolores,1902/04/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,8,Dolores,1902/04/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,9,Dolores,1902/04/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,10,Dolores,1902/04/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,12,Dolores,1902/04/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,13,Dolores,1902/04/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,14,Dolores,1902/04/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,16,Dolores,1902/04/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,19,Dolores,1902/04/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,20,Dolores,1902/04/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,24,Dolores,1902/04/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,26,Dolores,1902/04/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,27,Dolores,1902/04/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,29,Dolores,1902/04/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,3,Dolores,1902/05/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,4,Dolores,1902/05/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,6,Dolores,1902/05/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,8,Dolores,1902/05/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,16,Dolores,1902/05/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,17,Dolores,1902/05/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,18,Dolores,1902/05/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,19,Dolores,1902/05/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,20,Dolores,1902/05/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,21,Dolores,1902/05/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,22,Dolores,1902/05/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,23,Dolores,1902/05/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,24,Dolores,1902/05/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,25,Dolores,1902/05/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,26,Dolores,1902/05/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,27,Dolores,1902/05/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,28,Dolores,1902/05/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,29,Dolores,1902/05/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,30,Dolores,1902/05/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,31,Dolores,1902/05/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,1,Dolores,1902/06/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,2,Dolores,1902/06/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,3,Dolores,1902/06/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,4,Dolores,1902/06/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,5,Dolores,1902/06/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,6,Dolores,1902/06/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,7,Dolores,1902/06/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,8,Dolores,1902/06/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,9,Dolores,1902/06/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,10,Dolores,1902/06/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,11,Dolores,1902/06/11,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,12,Dolores,1902/06/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,13,Dolores,1902/06/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,14,Dolores,1902/06/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,15,Dolores,1902/06/15,,,,,,,,,,,,,,,,,,,,,,,,
