YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"Dos Pozos",1902/02/21,,,25,2,26,6,54,E,2,C,1,,,,,,,,,,,,,
1902,2,22,"Dos Pozos",1902/02/22,,,21,-4,25,10,57,SE,2,K,2,,,,,,,,,,,,,
1902,2,23,"Dos Pozos",1902/02/23,,,31,10,32,10,48,SW,2,C,1,,,,,,,,,,,,,
1902,2,24,"Dos Pozos",1902/02/24,,,30,-1,34,10,78,NW,2,S,1,,,,,,,,,,,,,
1902,2,25,"Dos Pozos",1902/02/25,,,21,-9,25,5,49,NW,2,S,1,,,,,,,,,,,,,
1902,2,26,"Dos Pozos",1902/02/26,,,19,-2,20,5,38,W,2,K,2,,,,,,,,,,,,,
1902,2,27,"Dos Pozos",1902/02/27,,,19,0,21,5,46,NW,2,K,2,,,,,,,,,,,,,
1902,2,28,"Dos Pozos",1902/02/28,,,16,-3,21,5,24,SW,2,K,2,,,,,,,,,,,,,
1902,3,1,"Dos Pozos",1902/03/01,,,15,-1,18,-1,48,S,3,K,2,,,,,,,,,,,,,
1902,3,2,"Dos Pozos",1902/03/02,,,18,3,19,5,71,NE,3,KN,2,,,,,,,,,,,,,
1902,3,3,"Dos Pozos",1902/03/03,,,24,6,25,8,33,NW,2,KN,1,,,,,,,,,,,,,
1902,3,4,"Dos Pozos",1902/03/04,,,16,-8,18,7,39,SW,3,K,1,,,,,,,,,,,,,
1902,3,5,"Dos Pozos",1902/03/05,,,22,6,22,2,21,W,2,K,1,,,,,,,,,,,,,
1902,3,6,"Dos Pozos",1902/03/06,,,17,-5,23,3,80,E,2,KN,2,,,,,,,,,,,,,
1902,3,7,"Dos Pozos",1902/03/07,,,14,-3,16,5,78,E,2,NK,2,,,,,,,,,,,,,
1902,3,8,"Dos Pozos",1902/03/08,,,9,-5,12,6,100,S,2,N,3,,,,,,,,,,,,,
1902,3,9,"Dos Pozos",1902/03/09,,,15,6,15,4,68,NE,2,N,2,,,,,,,,,,,,,
1902,3,10,"Dos Pozos",1902/03/10,,,21,6,22,5,65,,0,KN,2,,,,,,,,,,,,,
1902,3,12,"Dos Pozos",1902/03/12,,,10,-2,11,6,100,E,2,N,3,,,,,,,,,,,,,
1902,3,13,"Dos Pozos",1902/03/13,,,19,9,20,6,63,S,2,KN,3,,,,,,,,,,,,,
1902,3,14,"Dos Pozos",1902/03/14,,,21,2,21,3,41,SW,2,CS,2,,,,,,,,,,,,,
1902,3,15,"Dos Pozos",1902/03/15,,,23,2,23,7,44,W,2,SC,2,,,,,,,,,,,,,
1902,3,16,"Dos Pozos",1902/03/16,,,22,-1,24,9,43,SW,2,KS,2,,,,,,,,,,,,,
1902,3,19,"Dos Pozos",1902/03/19,,,17,-2,18,6,43,NW,3,S,1,,,,,,,,,,,,,
1902,3,21,"Dos Pozos",1902/03/21,,,22,-1,26,10,43,NW,2,N,3,,,,,,,,,,,,,
1902,3,22,"Dos Pozos",1902/03/22,,,20,-2,21,11,40,SW,2,S,2,,,,,,,,,,,,,
1902,3,23,"Dos Pozos",1902/03/23,,,27,7,29,10,55,NW,1,KS,2,,,,,,,,,,,,,
1902,3,24,"Dos Pozos",1902/03/24,,,22,-5,23,11,22,W,3,CS,2,,,,,,,,,,,,,
1902,3,25,"Dos Pozos",1902/03/25,,,16,-6,19,6,59,SE,2,KC,2,,,,,,,,,,,,,
1902,3,26,"Dos Pozos",1902/03/26,,,17,1,18,3,43,NW,2,,0,,,,,,,,,,,,,
1902,3,27,"Dos Pozos",1902/03/27,,,19,2,23,3,54,NE,2,,0,,,,,,,,,,,,,
1902,3,30,"Dos Pozos",1902/03/30,,,30,3,30,7,25,W,2,,0,,,,,,,,,,,,,
1902,3,31,"Dos Pozos",1902/03/31,,,23,-7,24,4,44,SE,1,K,1,,,,,,,,,,,,,
1902,4,2,"Dos Pozos",1902/04/02,,,21,1,,2,,NE,2,KN,2,,,,,,,,,,,,,
1902,4,3,"Dos Pozos",1902/04/03,,,21,0,22,2,27,NW,2,S,1,,,,,,,,,,,,,
1902,4,4,"Dos Pozos",1902/04/04,,,23,2,24,4,25,NW,2,,0,,,,,,,,,,,,,
1902,4,5,"Dos Pozos",1902/04/05,,,17,-6,18,7,43,SE,1,C,1,,,,,,,,,,,,,
1902,4,6,"Dos Pozos",1902/04/06,,,26,9,27,6,30,NW,1,NK,3,,,,,,,,,,,,,
1902,4,7,"Dos Pozos",1902/04/07,,,23,-3,24,7,31,NW,2,KN,2,,,,,,,,,,,,,
1902,4,8,"Dos Pozos",1902/04/08,,,14,-9,15,2,67,NE,1,NK,3,,,,,,,,,,,,,
1902,4,9,"Dos Pozos",1902/04/09,,,13,-1,14,2,77,S,2,K,2,,,,,,,,,,,,,
1902,4,10,"Dos Pozos",1902/04/10,,,17,4,18,2,34,W,1,CS,1,,,,,,,,,,,,,
1902,4,12,"Dos Pozos",1902/04/12,,,19,0,20,2,46,N,2,N,3,,,,,,,,,,,,,
1902,4,13,"Dos Pozos",1902/04/13,,,17,-2,18,3,34,W,2,C,2,,,,,,,,,,,,,
1902,4,14,"Dos Pozos",1902/04/14,,,21,4,22,3,34,NW,2,CK,1,,,,,,,,,,,,,
1902,4,16,"Dos Pozos",1902/04/16,,,21,7,22,3,41,,,NK,2,,,,,,,,,,,,,
1902,4,19,"Dos Pozos",1902/04/19,,,21,1,22,2,41,NW,2,K,1,,,,,,,,,,,,,
1902,4,20,"Dos Pozos",1902/04/20,,,20,-1,21,7,40,NW,3,SK,2,,,,,,,,,,,,,
1902,4,24,"Dos Pozos",1902/04/24,,,14,-13,,11,47,SW,1,KN,3,,,,,,,,,,,,,
1902,4,26,"Dos Pozos",1902/04/26,,,12,-2,,4,76,,0,KS,1,,,,,,,,,,,,,
1902,4,27,"Dos Pozos",1902/04/27,,,13,1,,4,100,NE,1,N,3,,,,,,,,,,,,,
