YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"ENTRE RIOS-Delicias",1902/02/21,757.3,1,35,0,37,21,32,S,2,K,2,,,,,,,,,,,,,
1902,2,22,"ENTRE RIOS-Delicias",1902/02/22,757.9,0.6,33,-2,37,20,25,S,2,SK,1,,,,,,,,,,,,,
1902,2,23,"ENTRE RIOS-Delicias",1902/02/23,760.9,3,34,1,35,19,31,S,2,K,2,,,,,,,,,,,,,
1902,2,24,"ENTRE RIOS-Delicias",1902/02/24,759.3,-1.6,36,2,37,16,17,SE,1,S,1,,,,,,,,,,,,,
1902,2,25,"ENTRE RIOS-Delicias",1902/02/25,757,-2.3,37,1,38,18,22,NE,1,KC,2,,,,,,,,,,,,,
1902,2,26,"ENTRE RIOS-Delicias",1902/02/26,753.2,-3.8,35,-2,38,23,37,,,SK,3,,,,,,,,,,,,,
1902,2,27,"ENTRE RIOS-Delicias",1902/02/27,755.3,2.1,30,-5,36,17,41,SE,1,K,2,,,,,,,,,,,,,
1902,2,28,"ENTRE RIOS-Delicias",1902/02/28,759.8,4.5,21,-9,31,15,82,S,2,K,3,,,,,,,,,,,,,
1902,3,1,"ENTRE RIOS-Delicias",1902/03/01,759.4,-0.4,30,9,32,17,41,E,1,K,2,,,,,,,,,,,,,
1902,3,2,"ENTRE RIOS-Delicias",1902/03/02,758.3,-1.1,34,4,35,18,22,NE,2,S,1,,,,,,,,,,,,,
1902,3,3,"ENTRE RIOS-Delicias",1902/03/03,757.6,-0.7,34,0,35,17,31,NE,1,K,1,,,,,,,,,,,,,
1902,3,4,"ENTRE RIOS-Delicias",1902/03/04,754.8,-2.8,36,2,38,20,31,N,1,K,1,,,,,,,,,,,,,
1902,3,5,"ENTRE RIOS-Delicias",1902/03/05,758.2,3.4,31,-5,38,20,42,E,2,,,,,,,,,,,,,,,
1902,3,6,"ENTRE RIOS-Delicias",1902/03/06,757.9,-0.3,34,1,34,19,36,S,1,K,1,,,,,,,,,,,,,
1902,3,7,"ENTRE RIOS-Delicias",1902/03/07,760.5,2.6,28,-6,35,20,57,S,1,K,3,,,,,,,,,,,,,
1902,3,8,"ENTRE RIOS-Delicias",1902/03/08,761.5,1,25,-3,30,18,76,SE,1,K,2,,,,,,,,,,,,,
1902,3,9,"ENTRE RIOS-Delicias",1902/03/09,760.5,-1,32,7,33,16,38,E,1,K,1,,,,,,,,,,,,,
1902,3,10,"ENTRE RIOS-Delicias",1902/03/10,760.2,-0.3,33,1,34,17,39,NE,4,K,1,,,,,,,,,,,,,
1902,3,12,"ENTRE RIOS-Delicias",1902/03/12,755.7,0,19,-14,36,18,100,SE,2,K,3,,,,,,,,,,,,,
1902,3,13,"ENTRE RIOS-Delicias",1902/03/13,759,3.3,26,7,27,16,55,SW,2,K,1,,,,,,,,,,,,,
1902,3,14,"ENTRE RIOS-Delicias",1902/03/14,762.6,3.6,29,3,29,16,40,SW,2,K,1,,,,,,,,,,,,,
1902,3,15,"ENTRE RIOS-Delicias",1902/03/15,762.3,-0.3,31,2,32,17,42,N,2,K,1,,,,,,,,,,,,,
1902,3,16,"ENTRE RIOS-Delicias",1902/03/16,761.9,-0.4,31,0,32,16,27,N,2,S,1,,,,,,,,,,,,,
1902,3,19,"ENTRE RIOS-Delicias",1902/03/19,758.3,1.6,32,-1,34,23,49,SW,1,K,3,,,,,,,,,,,,,
1902,3,21,"ENTRE RIOS-Delicias",1902/03/21,763.3,-3.7,28,4,28,11,44,N,1,S,1,,,,,,,,,,,,,
1902,3,22,"ENTRE RIOS-Delicias",1902/03/22,762.2,-1.1,33,5,34,15,34,N,1,SK,2,,,,,,,,,,,,,
1902,3,23,"ENTRE RIOS-Delicias",1902/03/23,761.9,-0.3,33,0,35,18,39,N,1,KC,1,,,,,,,,,,,,,
1902,3,24,"ENTRE RIOS-Delicias",1902/03/24,760.3,-1.6,35,2,35,19,28,N,2,S,1,,,,,,,,,,,,,
1902,3,25,"ENTRE RIOS-Delicias",1902/03/25,757.7,-2.6,35,0,36,21,32,N,2,K,1,,,,,,,,,,,,,
1902,3,26,"ENTRE RIOS-Delicias",1902/03/26,761,3.3,21,-14,36,19,91,S,2,K,3,,,,,,,,,,,,,
1902,3,27,"ENTRE RIOS-Delicias",1902/03/27,761,0,19,-2,21,15,90,S,2,K,3,,,,,,,,,,,,,
1902,3,30,"ENTRE RIOS-Delicias",1902/03/30,762.6,-3.6,22,2,24,13,74,NE,1,K,2,,,,,,,,,,,,,
1902,3,31,"ENTRE RIOS-Delicias",1902/03/31,756.6,-6,26,4,27,13,48,N,2,K,2,,,,,,,,,,,,,
1902,4,2,"ENTRE RIOS-Delicias",1902/04/02,760.4,3.2,27,4,28,15,56,N,1,K,1,,,,,,,,,,,,,
1902,4,3,"ENTRE RIOS-Delicias",1902/04/03,763.2,2.8,23,-4,28,15,74,E,1,K,2,,,,,,,,,,,,,
1902,4,4,"ENTRE RIOS-Delicias",1902/04/04,759.3,-3.9,28,5,30,16,57,E,1,K,2,,,,,,,,,,,,,
1902,4,5,"ENTRE RIOS-Delicias",1902/04/05,760.1,0.8,24,-4,29,16,67,SW,2,K,1,,,,,,,,,,,,,
1902,4,6,"ENTRE RIOS-Delicias",1902/04/06,761.1,1,24,0,25,17,60,S,2,K,2,,,,,,,,,,,,,
1902,4,7,"ENTRE RIOS-Delicias",1902/04/07,759.8,-1.3,23,-1,25,12,66,SE,2,K,3,,,,,,,,,,,,,
1902,4,8,"ENTRE RIOS-Delicias",1902/04/08,759.1,-0.7,25,2,26,11,61,SE,1,K,2,,,,,,,,,,,,,
1902,4,9,"ENTRE RIOS-Delicias",1902/04/09,759.9,0.8,27,2,28,15,56,,,CK,2,,,,,,,,,,,,,
1902,4,10,"ENTRE RIOS-Delicias",1902/04/10,759.8,-0.1,27,0,29,15,49,N,1,KC,2,,,,,,,,,,,,,
1902,4,12,"ENTRE RIOS-Delicias",1902/04/12,759.5,2.4,21,-3,25,15,73,SE,1,K,3,,,,,,,,,,,,,
1902,4,13,"ENTRE RIOS-Delicias",1902/04/13,760.9,1.4,23,2,24,12,66,S,1,K,2,,,,,,,,,,,,,
