YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Esperanza,1902/02/21,756.3,1.1,35,-3,36,20,32,S,2,K,1,,,,,,,,,,,,,
1902,2,22,Esperanza,1902/02/22,757.4,1.1,34,-1,34,21,27,S,2,K,1,,,,,,,,,,,,,
1902,2,23,Esperanza,1902/02/23,760.4,3,33,-1,33,19,30,SE,2,K,1,,,,,,,,,,,,,
1902,2,24,Esperanza,1902/02/24,758.9,-1.5,37,4,37,15,43,E,1,,0,,,,,,,,,,,,,
1902,2,25,Esperanza,1902/02/25,755.7,-3.2,38,1,39,18,24,NE,1,CS,1,,,,,,,,,,,,,
1902,2,26,Esperanza,1902/02/26,752.8,-2.9,33,-5,39,23,39,SW,3,KN,3,,,,,,,,,,,,,
1902,2,27,Esperanza,1902/02/27,754.8,2,31,-2,31,16,48,SE,1,K,1,,,,,,,,,,,,,
1902,2,28,Esperanza,1902/02/28,759.1,4.3,20,-11,24,14,72,SE,2,N,3,,,,,,,,,,,,,
1902,3,1,Esperanza,1902/03/01,760.7,1.6,31,11,31,16,37,SE,1,K,1,,,,,,,,,,,,,
1902,3,2,Esperanza,1902/03/02,757.8,-2.9,34,3,34,18,27,NE,2,,0,,,,,,,,,,,,,
1902,3,3,Esperanza,1902/03/03,757.2,-0.6,35,1,35,17,32,E,1,,0,,,,,,,,,,,,,
1902,3,4,Esperanza,1902/03/04,754.2,-3,40,5,40,18,65,NE,2,K,1,,,,,,,,,,,,,
1902,3,5,Esperanza,1902/03/05,758.5,4.3,30,-10,31,22,47,E,1,SK,3,,,,,,,,,,,,,
1902,3,6,Esperanza,1902/03/06,757.6,-0.9,34,4,34,19,36,S,1,K,1,,,,,,,,,,,,,
1902,3,7,Esperanza,1902/03/07,760,2.4,26,-8,27,21,69,SE,1,K,3,,,,,,,,,,,,,
1902,3,8,Esperanza,1902/03/08,761,1,23,-3,24,19,83,,0,KN,3,,,,,,,,,,,,,
1902,3,9,Esperanza,1902/03/09,760,-1,31,8,33,19,42,E,1,K,1,,,,,,,,,,,,,
1902,3,10,Esperanza,1902/03/10,759.7,-0.3,35,4,35,18,32,N,1,K,1,,,,,,,,,,,,,
1902,3,12,Esperanza,1902/03/12,755.5,-1.2,20,-12,27,18,91,E,1,N,3,,,,,,,,,,,,,
1902,3,13,Esperanza,1902/03/13,760.5,5,26,6,27,17,48,S,2,K,1,,,,,,,,,,,,,
1902,3,14,Esperanza,1902/03/14,762.2,1.7,32,6,32,13,33,W,1,K,1,,,,,,,,,,,,,
1902,3,15,Esperanza,1902/03/15,761.8,-0.4,34,2,34,17,31,NW,2,K,1,,,,,,,,,,,,,
1902,3,16,Esperanza,1902/03/16,760.8,-1,33,-1,34,16,25,N,3,,0,,,,,,,,,,,,,
1902,3,19,Esperanza,1902/03/19,758,2.5,36,0,36,22,28,NW,2,NK,2,,,,,,,,,,,,,
1902,3,21,Esperanza,1902/03/21,762.7,-4,31,6,32,12,37,NE,1,,0,,,,,,,,,,,,,
1902,3,22,Esperanza,1902/03/22,761.8,-0.9,36,5,37,15,25,NE,1,,0,,,,,,,,,,,,,
1902,3,23,Esperanza,1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,Esperanza,1902/03/24,758.7,,37,,38,19,26,N,1,K,1,,,,,,,,,,,,,
1902,3,25,Esperanza,1902/03/25,756.8,-1.9,31,-6,38,22,53,NE,2,K,1,,,,,,,,,,,,,
1902,3,26,Esperanza,1902/03/26,760.2,3.4,21,-12,29,19,100,S,2,N,3,,,,,,,,,,,,,
1902,3,27,Esperanza,1902/03/27,761.1,0.9,19,-2,20,16,90,S,2,N,3,,,,,,,,,,,,,
1902,3,30,Esperanza,1902/03/30,762.5,-4.4,23,2,23,12,59,,0,K,2,,,,,,,,,,,,,
1902,3,31,Esperanza,1902/03/31,756.6,-5.9,28,5,28,14,44,NE,2,K,2,,,,,,,,,,,,,
1902,4,2,Esperanza,1902/04/02,760.5,2.9,27,5,27,14,56,E,2,K,1,,,,,,,,,,,,,
1902,4,3,Esperanza,1902/04/03,763.2,2.7,23,-4,23,17,74,E,1,NK,3,,,,,,,,,,,,,
1902,4,4,Esperanza,1902/04/04,758.9,-4.3,29,6,29,16,52,,0,K,1,,,,,,,,,,,,,
1902,4,5,Esperanza,1902/04/05,760.4,1.5,25,-4,25,16,61,SW,2,K,1,,,,,,,,,,,,,
1902,4,6,Esperanza,1902/04/06,760.4,0,24,-1,24,18,60,S,2,K,2,,,,,,,,,,,,,
1902,4,7,Esperanza,1902/04/07,,,23,-1,24,16,66,S,2,N,3,,,,,,,,,,,,,
1902,4,8,Esperanza,1902/04/08,759,,27,4,27,13,56,E,1,K,1,,,,,,,,,,,,,
1902,4,9,Esperanza,1902/04/09,759.4,0.4,29,2,30,14,46,,0,K,2,,,,,,,,,,,,,
1902,4,10,Esperanza,1902/04/10,759.4,0,28,-1,30,14,44,NE,2,K,2,,,,,,,,,,,,,
1902,4,12,Esperanza,1902/04/12,759.2,2.3,21,-5,21,14,73,,0,NK,3,,,,,,,,,,,,,
1902,4,13,Esperanza,1902/04/13,761.1,1.9,24,3,24,12,60,SE,2,NK,1,,,,,,,,,,,,,
1902,4,14,Esperanza,1902/04/14,760,-1.1,28,4,29,15,57,N,1,,0,,,,,,,,,,,,,
1902,4,16,Esperanza,1902/04/16,758.8,-0.8,27,-2,27,20,77,NE,1,KN,2,,,,,,,,,,,,,
1902,4,19,Esperanza,1902/04/19,760.9,-1,26,-1,28,15,69,N,1,K,1,,,,,,,,,,,,,
1902,4,20,Esperanza,1902/04/20,756.8,-4.1,20,2,29,17,63,N,2,K,1,,,,,,,,,,,,,
1902,4,24,Esperanza,1902/04/24,762.4,-4.2,24,2,24,9,46,N,3,,0,,,,,,,,,,,,,
1902,4,26,Esperanza,1902/04/26,764.1,0.8,28,2,29,13,44,,0,C,1,,,,,,,,,,,,,
1902,4,27,Esperanza,1902/04/27,763.5,-0.6,28,0,29,14,51,N,1,K,1,,,,,,,,,,,,,
1902,4,29,Esperanza,1902/04/29,764,-0.4,27,-2,27,14,49,NE,2,K,1,,,,,,,,,,,,,
1902,5,3,Esperanza,1902/05/03,753.9,-3.1,26,-2,28,17,48,N,2,KN,3,,,,,,,,,,,,,
1902,5,4,Esperanza,1902/05/04,759.4,5.5,29,3,29,12,46,SE,2,CS,1,,,,,,,,,,,,,
1902,5,6,Esperanza,1902/05/06,759.9,-1,25,-3,25,19,76,NE,1,N,3,,,,,,,,,,,,,
1902,5,8,Esperanza,1902/05/08,755,-1.7,27,7,28,19,69,,0,K,2,,,,,,,,,,,,,
1902,5,16,Esperanza,1902/05/16,765.5,-0.3,19,-1,19,7,54,SE,2,CK,3,,,,,,,,,,,,,
1902,5,17,Esperanza,1902/05/17,762.5,-3,20,1,20,11,64,SE,1,K,1,,,,,,,,,,,,,
1902,5,18,Esperanza,1902/05/18,763,0.5,22,2,23,6,58,N,1,,0,,,,,,,,,,,,,
1902,5,19,Esperanza,1902/05/19,761,-2,25,3,25,9,54,NW,2,,0,,,,,,,,,,,,,
1902,5,20,Esperanza,1902/05/20,,,26,1,27,12,55,N,1,,0,,,,,,,,,,,,,
1902,5,21,Esperanza,1902/05/21,759.4,,26,0,26,13,61,NE,1,C,1,,,,,,,,,,,,,
1902,5,22,Esperanza,1902/05/22,760.4,1,27,1,28,15,63,NE,1,,0,,,,,,,,,,,,,
1902,5,23,Esperanza,1902/05/23,759.8,-0.6,25,-2,26,15,68,N,2,C,1,,,,,,,,,,,,,
1902,5,24,Esperanza,1902/05/24,757.6,-2.2,27,2,27,15,56,N,2,,0,,,,,,,,,,,,,
1902,5,25,Esperanza,1902/05/25,758.8,1.2,25,-2,26,19,76,NW,2,C,2,,,,,,,,,,,,,
1902,5,26,Esperanza,1902/05/26,755.8,-3,30,5,30,19,53,NW,2,CK,2,,,,,,,,,,,,,
1902,5,27,Esperanza,1902/05/27,753.8,-2,21,-9,21,15,82,W,1,K,3,,,,,,,,,,,,,
1902,5,28,Esperanza,1902/05/28,764.9,11.1,14,-7,16,9,47,SE,1,K,2,,,,,,,,,,,,,
1902,5,29,Esperanza,1902/05/29,763.1,-1.8,17,3,17,10,43,S,1,C,1,,,,,,,,,,,,,
1902,5,30,Esperanza,1902/05/30,761.3,-1.8,15,-2,16,2,68,NE,2,SK,3,,,,,,,,,,,,,
1902,5,31,Esperanza,1902/05/31,760.3,-1,22,7,23,7,66,N,1,CK,2,,,,,,,,,,,,,
1902,6,1,Esperanza,1902/06/01,756.1,-4.2,22,0,23,10,74,N,2,KN,3,,,,,,,,,,,,,
1902,6,2,Esperanza,1902/06/02,750.8,-5.3,24,2,25,16,67,N,3,C,1,,,,,,,,,,,,,
1902,6,3,Esperanza,1902/06/03,759.9,9.1,16,-8,17,11,41,S,2,K,3,,,,,,,,,,,,,
1902,6,4,Esperanza,1902/06/04,762.7,2.8,15,-1,15,10,58,SE,2,C,1,,,,,,,,,,,,,
1902,6,5,Esperanza,1902/06/05,764.7,2,19,4,19,1,38,,0,S,1,,,,,,,,,,,,,
1902,6,6,Esperanza,1902/06/06,762.4,-2.3,18,-1,18,-1,44,,0,C,2,,,,,,,,,,,,,
1902,6,7,Esperanza,1902/06/07,762.4,0,16,-2,17,5,50,S,2,,0,,,,,,,,,,,,,
1902,6,8,Esperanza,1902/06/08,764,1.6,17,1,17,-2,43,N,2,SK,1,,,,,,,,,,,,,
1902,6,9,Esperanza,1902/06/09,764.9,0.9,17,0,17,4,52,E,1,C,2,,,,,,,,,,,,,
1902,6,10,Esperanza,1902/06/10,756.2,-8.7,20,3,20,5,72,NE,2,SK,3,,,,,,,,,,,,,
1902,6,11,Esperanza,1902/06/11,756.7,0.5,19,-1,20,15,72,S,3,SK,2,,,,,,,,,,,,,
1902,6,12,Esperanza,1902/06/12,762,5.3,19,0,19,6,63,NE,1,C,1,,,,,,,,,,,,,
1902,6,13,Esperanza,1902/06/13,763.6,1.6,20,1,20,7,64,NE,2,C,1,,,,,,,,,,,,,
1902,6,14,Esperanza,1902/06/14,763,1.6,20,1,20,7,64,NE,2,C,1,,,,,,,,,,,,,
1902,6,15,Esperanza,1902/06/15,755.5,-6.5,29,8,29,16,68,N,2,CK,3,,,,,,,,,,,,,
1902,6,16,Esperanza,1902/06/16,751.6,-3.9,27,-2,28,19,63,N,2,C,2,,,,,,,,,,,,,
1902,6,17,Esperanza,1902/06/17,749.9,-1.7,29,2,29,18,46,N,2,K,1,,,,,,,,,,,,,
1902,6,18,Esperanza,1902/06/18,756.8,6.9,14,-15,21,13,89,S,2,N,3,,,,,,,,,,,,,
1902,6,19,Esperanza,1902/06/19,762.4,5.6,17,3,17,9,61,SE,2,,0,,,,,,,,,,,,,
1902,6,20,Esperanza,1902/06/20,766.2,3.8,16,-1,16,5,59,SE,1,K,2,,,,,,,,,,,,,
1902,6,21,Esperanza,1902/06/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,22,Esperanza,1902/06/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,23,Esperanza,1902/06/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,24,Esperanza,1902/06/24,765.5,,21,,21,9,73,E,2,K,1,,,,,,,,,,,,,
1902,6,25,Esperanza,1902/06/25,761.2,-4.3,20,1,20,12,91,NE,2,K,2,,,,,,,,,,,,,
1902,6,26,Esperanza,1902/06/26,759.4,-1.8,29,9,29,19,58,NE,2,K,1,,,,,,,,,,,,,
1902,6,27,Esperanza,1902/06/27,760,0.6,28,-1,30,19,57,NE,2,K,2,,,,,,,,,,,,,
1902,6,28,Esperanza,1902/06/28,765.8,5.8,20,-8,21,13,72,SW,1,K,2,,,,,,,,,,,,,
1902,6,29,Esperanza,1902/06/29,762.3,-3.5,24,4,24,14,39,NE,2,,0,,,,,,,,,,,,,
1902,6,30,Esperanza,1902/06/30,761.1,-1.2,21,-3,23,13,65,NW,1,K,3,,,,,,,,,,,,,
