YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Esquina,1902/02/21,755.2,0.7,36,-1,36,22,38,SW,1,K,1,,,,,,,,,,,,,
1902,2,22,Esquina,1902/02/22,755.7,0.5,35,-1,35,22,46,S,2,K,1,,,,,,,,,,,,,
1902,2,23,Esquina,1902/02/23,759.9,3.8,34,-1,34,21,45,S,2,K,1,,,,,,,,,,,,,
1902,2,24,Esquina,1902/02/24,757.7,-1.8,35,1,36,19,36,S,1,,0,,,,,,,,,,,,,
1902,2,25,Esquina,1902/02/25,755.7,-2,38,3,38,20,40,N,1,,0,,,,,,,,,,,,,
1902,2,26,Esquina,1902/02/26,752.9,-2.8,33,-5,38,22,55,S,1,N,12,,,,,,,,,,,,,
1902,2,27,Esquina,1902/02/27,754.3,1.4,31,-2,31,20,33,S,1,K,2,,,,,,,,,,,,,
1902,2,28,Esquina,1902/02/28,755.8,0.5,32,1,33,20,49,S,2,K,2,,,,,,,,,,,,,
1902,3,1,Esquina,1902/03/01,759.8,4,33,1,33,18,39,SE,1,K,1,,,,,,,,,,,,,
1902,3,2,Esquina,1902/03/02,756.7,-3.1,35,2,35,19,32,E,2,,0,,,,,,,,,,,,,
1902,3,3,Esquina,1902/03/03,759.1,2.4,35,0,36,21,46,NE,1,K,1,,,,,,,,,,,,,
1902,3,4,Esquina,1902/03/04,754.3,-4.8,37,2,37,22,48,NW,1,K,1,,,,,,,,,,,,,
1902,3,5,Esquina,1902/03/05,757.9,3.6,31,-5,35,25,69,S,3,N,3,,,,,,,,,,,,,
1902,3,6,Esquina,1902/03/06,756.9,-1,33,4,35,21,57,E,1,K,1,,,,,,,,,,,,,
1902,3,7,Esquina,1902/03/07,757.9,1,33,-2,35,23,55,S,2,K,2,,,,,,,,,,,,,
1902,3,8,Esquina,1902/03/08,759.1,1.2,31,-2,33,22,53,S,1,N,3,,,,,,,,,,,,,
1902,3,9,Esquina,1902/03/09,760.1,1,32,1,32,19,51,S,1,K,1,,,,,,,,,,,,,
1902,3,10,Esquina,1902/03/10,759.5,1.2,34,3,34,20,45,NE,1,K,1,,,,,,,,,,,,,
1902,3,12,Esquina,1902/03/12,754.9,-0.2,28,-7,35,21,51,S,3,K,3,,,,,,,,,,,,,
1902,3,13,Esquina,1902/03/13,759.1,4.2,26,-2,26,19,69,SE,1,C,1,,,,,,,,,,,,,
1902,3,14,Esquina,1902/03/14,763.1,4,31,5,31,18,59,NE,1,K,1,,,,,,,,,,,,,
1902,3,15,Esquina,1902/03/15,763,-0.1,31,0,31,20,59,NE,1,K,1,,,,,,,,,,,,,
1902,3,16,Esquina,1902/03/16,761.1,-1.9,32,1,32,17,38,N,1,,0,,,,,,,,,,,,,
1902,3,19,Esquina,1902/03/19,758.8,2,29,-4,32,22,78,,0,N,3,,,,,,,,,,,,,
1902,3,21,Esquina,1902/03/21,762.8,-1.8,32,6,32,14,43,N,1,,0,,,,,,,,,,,,,
1902,3,22,Esquina,1902/03/22,762.4,-0.4,32,0,32,16,54,N,1,,,,,,,,,,,,,,,
1902,3,23,Esquina,1902/03/23,761.9,-0.5,33,1,34,20,61,N,1,K,1,,,,,,,,,,,,,
1902,3,24,Esquina,1902/03/24,760.2,-1.7,35,2,35,19,51,N,1,K,1,,,,,,,,,,,,,
1902,3,25,Esquina,1902/03/25,756.8,-3.4,36,1,36,21,42,N,1,K,1,,,,,,,,,,,,,
1902,3,26,Esquina,1902/03/26,757.9,1.1,32,-4,32,25,54,N,1,K,2,,,,,,,,,,,,,
1902,3,27,Esquina,1902/03/27,759,1.1,21,-11,25,20,100,S,2,N,3,,,,,,,,,,,,,
1902,3,30,Esquina,1902/03/30,762,-3.4,25,3,26,13,68,SE,1,K,2,,,,,,,,,,,,,
1902,3,31,Esquina,1902/03/31,756.6,-5.4,28,3,29,15,63,E,1,C,2,,,,,,,,,,,,,
1902,4,2,Esquina,1902/04/02,760.9,4.3,27,3,27,16,63,E,1,K,1,,,,,,,,,,,,,
1902,4,3,Esquina,1902/04/03,761.1,0.2,21,-6,23,19,100,S,1,N,3,,,,,,,,,,,,,
1902,4,4,Esquina,1902/04/04,759.4,-1.7,26,5,27,16,84,E,1,K,2,,,,,,,,,,,,,
1902,4,5,Esquina,1902/04/05,759.7,0.3,26,0,26,18,76,NE,1,K,1,,,,,,,,,,,,,
1902,4,6,Esquina,1902/04/06,760.6,0.9,23,-3,23,18,91,SW,2,N,2,,,,,,,,,,,,,
1902,4,7,Esquina,1902/04/07,759.3,-1.3,22,-1,22,16,74,S,1,N,3,,,,,,,,,,,,,
1902,4,8,Esquina,1902/04/08,759.4,0.1,26,4,26,17,62,SE,1,K,2,,,,,,,,,,,,,
1902,4,9,Esquina,1902/04/09,760.2,0.8,27,1,27,16,69,NE,1,K,1,,,,,,,,,,,,,
1902,4,10,Esquina,1902/04/10,760,0,28,3,28,16,57,NE,,C,2,,,,,,,,,,,,,
1902,4,12,Esquina,1902/04/12,758.8,1,19,-8,23,16,100,NE,1,N,2,,,,,,,,,,,,,
