YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"Estacion Pereyra",1902/02/21,757.6,0.7,29,-3,30,15,64,NE,1,S,1,,,,,,,,,,,,,
1902,2,22,"Estacion Pereyra",1902/02/22,757,-0.6,29,0,30,14,58,S,1,NK,1,,,,,,,,,,,,,
1902,2,23,"Estacion Pereyra",1902/02/23,,,30,1,31,8,25,S,1,,0,,,,,,,,,,,,,
1902,2,24,"Estacion Pereyra",1902/02/24,758.9,,32,2,33,9,33,NW,1,,0,,,,,,,,,,,,,
1902,2,25,"Estacion Pereyra",1902/02/25,757.3,-1.6,35,3,35,14,36,NW,1,CK,1,,,,,,,,,,,,,
1902,2,26,"Estacion Pereyra",1902/02/26,755.4,-1.9,25,-10,29,17,38,S,1,N,1,,,,,,,,,,,,,
1902,2,27,"Estacion Pereyra",1902/02/27,,,28,3,29,9,51,NE,1,S,1,,,,,,,,,,,,,
1902,2,28,"Estacion Pereyra",1902/02/28,759,,26,-2,26,8,42,E,1,NK,1,,,,,,,,,,,,,
1902,3,1,"Estacion Pereyra",1902/03/01,,,29,3,31,6,34,NE,1,,0,,,,,,,,,,,,,
1902,3,2,"Estacion Pereyra",1902/03/02,758.8,,30,1,31,11,36,NE,1,CK,1,,,,,,,,,,,,,
1902,3,3,"Estacion Pereyra",1902/03/03,758.1,-0.7,31,-1,31,11,42,N,1,KS,1,,,,,,,,,,,,,
1902,3,4,"Estacion Pereyra",1902/03/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,5,"Estacion Pereyra",1902/03/05,,,,,,,,,1,,,,,,,,,,,,,,,
1902,3,6,"Estacion Pereyra",1902/03/06,758.9,-0.4,22,0,24,11,74,SE,1,N,1,,,,,,,,,,,,,
1902,3,7,"Estacion Pereyra",1902/03/07,760.8,1.9,23,1,24,11,66,SW,1,KS,1,,,,,,,,,,,,,
1902,3,8,"Estacion Pereyra",1902/03/08,762.3,1.5,25,2,26,9,54,NE,1,KN,1,,,,,,,,,,,,,
1902,3,9,"Estacion Pereyra",1902/03/09,761.2,-1.1,27,2,28,11,36,N,1,KN,1,,,,,,,,,,,,,
1902,3,10,"Estacion Pereyra",1902/03/10,761.9,0.7,24,-3,28,9,60,NE,1,KN,1,,,,,,,,,,,,,
1902,3,12,"Estacion Pereyra",1902/03/12,752.9,-6.5,20,-2,21,10,91,SE,1,N,1,,,,,,,,,,,,,
1902,3,13,"Estacion Pereyra",1902/03/13,755.2,0.3,26,6,27,10,48,NW,1,K,1,,,,,,,,,,,,,
1902,3,14,"Estacion Pereyra",1902/03/14,758.7,5.5,28,2,28,5,33,S,1,K,1,,,,,,,,,,,,,
1902,3,15,"Estacion Pereyra",1902/03/15,762.3,3.6,27,-1,28,7,49,NW,1,K,1,,,,,,,,,,,,,
1902,3,16,"Estacion Pereyra",1902/03/16,764,-1.3,31,4,31,11,48,NW,1,K,1,,,,,,,,,,,,,
1902,3,19,"Estacion Pereyra",1902/03/19,759.2,2.3,27,-3,29,12,37,S,1,NK,1,,,,,,,,,,,,,
1902,3,21,"Estacion Pereyra",1902/03/21,763.7,-2.6,24,2,25,5,46,NW,1,,0,,,,,,,,,,,,,
1902,3,22,"Estacion Pereyra",1902/03/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,23,"Estacion Pereyra",1902/03/23,762,,33,,31,12,44,NW,1,C,1,,,,,,,,,,,,,
1902,3,24,"Estacion Pereyra",1902/03/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,25,"Estacion Pereyra",1902/03/25,757.7,,34,,34,13,45,N,1,K,0,,,,,,,,,,,,,
1902,3,26,"Estacion Pereyra",1902/03/26,760,2.3,17,-17,20,13,100,SE,1,N,2,,,,,,,,,,,,,
1902,3,27,"Estacion Pereyra",1902/03/27,761.5,1.5,21,4,23,9,73,SE,1,N,1,,,,,,,,,,,,,
1902,3,30,"Estacion Pereyra",1902/03/30,763.7,-3.1,21,0,25,12,65,N,1,K,1,,,,,,,,,,,,,
1902,3,31,"Estacion Pereyra",1902/03/31,757.5,-6.2,26,5,27,8,42,,0,CK,1,,,,,,,,,,,,,
1902,4,2,"Estacion Pereyra",1902/04/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,3,"Estacion Pereyra",1902/04/03,763.9,,28,,20,8,51,,0,CK,1,,,,,,,,,,,,,
1902,4,4,"Estacion Pereyra",1902/04/04,761.4,-2.5,25,-3,26,10,54,E,1,CK,1,,,,,,,,,,,,,
1902,4,5,"Estacion Pereyra",1902/04/05,759.5,-1.9,20,-5,22,13,81,,0,N,1,,,,,,,,,,,,,
1902,4,6,"Estacion Pereyra",1902/04/06,761.7,2.2,24,4,24,12,60,SE,1,CK,1,,,,,,,,,,,,,
1902,4,7,"Estacion Pereyra",1902/04/07,759.8,-1.9,23,-1,24,9,74,SE,1,N,2,,,,,,,,,,,,,
1902,4,8,"Estacion Pereyra",1902/04/08,759.4,-0.4,26,3,26,13,62,NE,1,S,1,,,,,,,,,,,,,
1902,4,9,"Estacion Pereyra",1902/04/09,758.6,-0.8,25,-1,25,11,76,N,1,KN,1,,,,,,,,,,,,,
1902,4,10,"Estacion Pereyra",1902/04/10,760.5,1.6,17,-8,24,3,70,,0,N,1,,,,,,,,,,,,,
1902,4,12,"Estacion Pereyra",1902/04/12,758.5,0.8,21,-1,22,7,73,,0,S,1,,,,,,,,,,,,,
1902,4,13,"Estacion Pereyra",1902/04/13,760,1.5,22,1,22,8,73,N,1,S,1,,,,,,,,,,,,,
1902,4,14,"Estacion Pereyra",1902/04/14,761.3,1.3,25,3,25,3,68,N,1,,0,,,,,,,,,,,,,
1902,4,16,"Estacion Pereyra",1902/04/16,761.7,1.1,21,-3,21,8,73,SE,1,N,1,,,,,,,,,,,,,
1902,4,19,"Estacion Pereyra",1902/04/19,760.6,-1,26,1,26,4,69,NW,1,K,1,,,,,,,,,,,,,
1902,4,20,"Estacion Pereyra",1902/04/20,756.5,-4.1,27,1,28,11,77,N,1,K,1,,,,,,,,,,,,,
1902,4,24,"Estacion Pereyra",1902/04/24,764.7,-1.5,23,2,23,7,59,NW,1,C,1,,,,,,,,,,,,,
1902,4,26,"Estacion Pereyra",1902/04/26,765.4,-0.2,25,0,26,10,61,,0,KN,1,,,,,,,,,,,,,
1902,4,27,"Estacion Pereyra",1902/04/27,764.8,-0.6,24,-1,25,13,60,,0,KN,1,,,,,,,,,,,,,
1902,4,29,"Estacion Pereyra",1902/04/29,764.3,,25,,25,7,54,N,1,,0,,,,,,,,,,,,,
1902,5,3,"Estacion Pereyra",1902/05/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,4,"Estacion Pereyra",1902/05/04,760.9,,23,,24,5,59,,0,C,1,,,,,,,,,,,,,
1902,5,6,"Estacion Pereyra",1902/05/06,763.4,-2,18,1,18,9,90,SE,1,N,1,,,,,,,,,,,,,
1902,5,8,"Estacion Pereyra",1902/05/08,755.4,,17,,19,12,100,N,1,N,1,,,,,,,,,,,,,
1902,5,16,"Estacion Pereyra",1902/05/16,766.3,-0.3,18,1,20,1,62,,0,C,1,,,,,,,,,,,,,
1902,5,17,"Estacion Pereyra",1902/05/17,761.3,-3,21,3,22,2,57,NW,1,,0,,,,,,,,,,,,,
1902,5,18,"Estacion Pereyra",1902/05/18,760.6,-0.7,17,-4,18,1,80,NE,1,N,2,,,,,,,,,,,,,
1902,5,19,"Estacion Pereyra",1902/05/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,20,"Estacion Pereyra",1902/05/20,759,,23,,24,7,74,NW,1,CK,1,,,,,,,,,,,,,
