YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Goya,1902/02/21,755.8,0.5,35,1,35,23,37,S,1,C,1,,,,,,,,,,,,,
1902,2,22,Goya,1902/02/22,756.3,0.5,35,0,36,24,42,S,1,C,1,,,,,,,,,,,,,
1902,2,23,Goya,1902/02/23,759.8,3.5,34,-1,36,24,36,SE,2,C,1,,,,,,,,,,,,,
1902,2,24,Goya,1902/02/24,757.4,-2.4,34,0,36,19,36,S,1,,0,,,,,,,,,,,,,
1902,2,25,Goya,1902/02/25,756.8,-0.6,35,1,35,23,37,NE,1,CS,1,,,,,,,,,,,,,
1902,2,26,Goya,1902/02/26,754.3,-2.5,34,-1,36,25,56,NW,1,C,,,,,,,,,,,,,,
1902,2,27,Goya,1902/02/27,755.4,1.1,27,-7,28,22,77,N,1,N,3,,,,,,,,,,,,,
1902,2,28,Goya,1902/02/28,755.5,0.1,33,6,33,21,39,SE,2,C,1,,,,,,,,,,,,,
1902,3,1,Goya,1902/03/01,758,2.5,33,0,33,21,34,SE,1,N,2,,,,,,,,,,,,,
1902,3,2,Goya,1902/03/02,757,-1,33,0,33,21,39,NE,2,,0,,,,,,,,,,,,,
1902,3,3,Goya,1902/03/03,758.9,1.9,34,1,34,22,45,NE,2,C,2,,,,,,,,,,,,,
1902,3,4,Goya,1902/03/04,755.3,-3.6,35,1,35,25,51,NW,1,C,1,,,,,,,,,,,,,
1902,3,5,Goya,1902/03/05,755.7,2.4,31,-5,37,27,53,SE,3,N,3,,,,,,,,,,,,,
1902,3,6,Goya,1902/03/06,757.5,-1.8,32,1,35,,49,NW,1,,0,,,,,,,,,,,,,
1902,3,7,Goya,1902/03/07,757.4,-0.1,34,2,35,25,45,SE,2,N,2,,,,,,,,,,,,,
1902,3,8,Goya,1902/03/08,759,1.6,30,-4,34,24,65,S,2,N,3,,,,,,,,,,,,,
1902,3,9,Goya,1902/03/09,758.3,-0.7,31,1,31,21,48,SE,1,,0,,,,,,,,,,,,,
1902,3,10,Goya,1902/03/10,759.6,-0.5,32,0,32,21,43,NE,1,,0,,,,,,,,,,,,,
1902,3,12,Goya,1902/03/12,753.8,-2.2,34,2,35,24,31,N,1,N,2,,,,,,,,,,,,,
1902,3,13,Goya,1902/03/13,758.6,4.8,25,-9,25,19,68,S,1,,0,,,,,,,,,,,,,
1902,3,14,Goya,1902/03/14,762.6,4,28,3,28,20,51,S,1,,0,,,,,,,,,,,,,
1902,3,15,Goya,1902/03/15,763,0.4,28,0,29,20,57,NW,1,,0,,,,,,,,,,,,,
