YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Gualeguay,1902/02/21,755.1,-1.8,34,-2,35,,67,S,2,,,,,,,,,,,,,,,
1902,2,22,Gualeguay,1902/02/22,758.9,3.8,31,-3,32,,59,S,2,,,,,,,,,,,,,,,
1902,2,23,Gualeguay,1902/02/23,759.3,0.4,33,2,34,,55,SE,2,,,,,,,,,,,,,,,
1902,2,24,Gualeguay,1902/02/24,757.9,-1.4,35,2,36,,51,SE,1,,,,,,,,,,,,,,,
1902,2,25,Gualeguay,1902/02/25,756.7,-3.2,37,2,38,,58,NE,2,,,,,,,,,,,,,,,
1902,2,26,Gualeguay,1902/02/26,754.4,-2.3,29,-8,30,,38,S,3,,,,,,,,,,,,,,,
1902,2,27,Gualeguay,1902/02/27,756.5,2.1,30,1,31,,59,S,1,,,,,,,,,,,,,,,
1902,2,28,Gualeguay,1902/02/28,757.9,1.4,22,-8,23,,91,,0,,,,,,,,,,,,,,,
1902,3,1,Gualeguay,1902/03/01,759.9,2,32,10,35,,43,E,1,,,,,,,,,,,,,,,
1902,3,2,Gualeguay,1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,Gualeguay,1902/03/03,756.5,,35,,37,,51,SE,1,,,,,,,,,,,,,,,
1902,3,4,Gualeguay,1902/03/04,755.4,-1.1,38,3,40,,54,NW,1,,,,,,,,,,,,,,,
1902,3,5,Gualeguay,1902/03/05,758.3,2.9,26,-12,29,,84,E,1,,,,,,,,,,,,,,,
1902,3,6,Gualeguay,1902/03/06,757.2,-1.1,30,4,30,,85,SE,2,,,,,,,,,,,,,,,
1902,3,7,Gualeguay,1902/03/07,760.3,3.1,28,-2,30,,77,SE,2,,,,,,,,,,,,,,,
1902,3,8,Gualeguay,1902/03/08,761.2,0.9,28,0,30,,70,SE,1,,,,,,,,,,,,,,,
1902,3,9,Gualeguay,1902/03/09,760.9,-0.3,32,4,33,,66,E,2,,,,,,,,,,,,,,,
1902,3,10,Gualeguay,1902/03/10,760,-0.9,32,0,36,,60,SE,2,,,,,,,,,,,,,,,
1902,3,12,Gualeguay,1902/03/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,13,Gualeguay,1902/03/13,755.4,,27,,28,,77,W,2,,,,,,,,,,,,,,,
1902,3,14,Gualeguay,1902/03/14,762.2,6.8,29,2,30,,71,SW,2,,,,,,,,,,,,,,,
