YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"La Carlota",1902/02/21,,,30,-7,31,20,71,S,2,N,2,,,,,,,,,,,,,
1902,2,22,"La Carlota",1902/02/22,,,27,-7,30,20,84,SW,2,N,2,,,,,,,,,,,,,
1902,2,23,"La Carlota",1902/02/23,,,34,7,34,18,51,E,1,K,1,,,,,,,,,,,,,
1902,2,24,"La Carlota",1902/02/24,,,36,2,36,17,33,N,1,,0,,,,,,,,,,,,,
1902,2,25,"La Carlota",1902/02/25,,,37,1,38,14,26,N,1,S,2,,,,,,,,,,,,,
1902,2,26,"La Carlota",1902/02/26,,,19,-18,21,19,100,SW,1,N,3,,,,,,,,,,,,,
1902,2,27,"La Carlota",1902/02/27,,,20,1,23,12,81,S,2,N,3,,,,,,,,,,,,,
1902,2,28,"La Carlota",1902/02/28,,,17,-3,17,13,90,,0,N,3,,,,,,,,,,,,,
1902,3,1,"La Carlota",1902/03/01,,,27,10,28,11,63,N,1,S,1,,,,,,,,,,,,,
1902,3,2,"La Carlota",1902/03/02,,,32,5,33,18,49,N,2,K,1,,,,,,,,,,,,,
1902,3,3,"La Carlota",1902/03/03,,,29,-3,29,17,58,SW,2,N,3,,,,,,,,,,,,,
1902,3,4,"La Carlota",1902/03/04,,,35,6,37,17,42,NW,1,K,2,,,,,,,,,,,,,
1902,3,5,"La Carlota",1902/03/05,,,23,-12,22,17,83,,0,N,3,,,,,,,,,,,,,
1902,3,6,"La Carlota",1902/03/06,,,27,4,27,19,69,NW,1,N,2,,,,,,,,,,,,,
1902,3,7,"La Carlota",1902/03/07,,,26,-1,26,18,78,SE,1,N,2,,,,,,,,,,,,,
1902,3,8,"La Carlota",1902/03/08,,,25,-1,25,18,76,NE,1,N,2,,,,,,,,,,,,,
1902,3,9,"La Carlota",1902/03/09,,,30,5,30,15,53,NE,1,K,2,,,,,,,,,,,,,
1902,3,10,"La Carlota",1902/03/10,,,23,-7,26,17,91,,0,N,3,,,,,,,,,,,,,
1902,3,12,"La Carlota",1902/03/12,,,22,2,23,17,82,S,1,N,2,,,,,,,,,,,,,
1902,3,13,"La Carlota",1902/03/13,,,27,5,27,14,49,S,1,K,2,,,,,,,,,,,,,
1902,3,14,"La Carlota",1902/03/14,,,29,2,31,14,52,W,1,K,2,,,,,,,,,,,,,
1902,3,15,"La Carlota",1902/03/15,,,30,1,31,14,53,N,2,,0,,,,,,,,,,,,,
1902,3,16,"La Carlota",1902/03/16,,,29,-1,31,14,46,N,3,,0,,,,,,,,,,,,,
1902,3,19,"La Carlota",1902/03/19,,,25,-6,25,19,47,SE,2,N,1,,,,,,,,,,,,,
1902,3,21,"La Carlota",1902/03/21,,,29,-7,29,10,52,N,2,,0,,,,,,,,,,,,,
1902,3,22,"La Carlota",1902/03/22,,,33,4,34,15,50,N,3,K,1,,,,,,,,,,,,,
1902,3,23,"La Carlota",1902/03/23,,,35,2,35,15,37,SW,2,,0,,,,,,,,,,,,,
1902,3,24,"La Carlota",1902/03/24,,,34,-1,34,16,51,N,3,K,1,,,,,,,,,,,,,
1902,3,25,"La Carlota",1902/03/25,,,34,0,35,16,56,N,1,N,1,,,,,,,,,,,,,
1902,3,26,"La Carlota",1902/03/26,,,16,-18,,,89,SW,2,N,3,,,,,,,,,,,,,
1902,3,27,"La Carlota",1902/03/27,,,16,0,16,12,100,SW,1,N,3,,,,,,,,,,,,,
1902,3,30,"La Carlota",1902/03/30,,,23,2,24,19,66,NE,1,K,2,,,,,,,,,,,,,
1902,3,31,"La Carlota",1902/03/31,,,24,1,24,11,67,N,2,K,2,,,,,,,,,,,,,
1902,4,2,"La Carlota",1902/04/02,,,27,0,29,13,69,N,2,K,2,,,,,,,,,,,,,
1902,4,3,"La Carlota",1902/04/03,,,25,-2,26,17,76,,0,N,2,,,,,,,,,,,,,
1902,4,4,"La Carlota",1902/04/04,,,24,-1,26,16,83,SE,1,KN,2,,,,,,,,,,,,,
1902,4,5,"La Carlota",1902/04/05,,,21,-3,21,13,91,SE,1,K,2,,,,,,,,,,,,,
1902,4,6,"La Carlota",1902/04/06,,,22,1,22,13,82,,0,K,2,,,,,,,,,,,,,
1902,4,7,"La Carlota",1902/04/07,,,26,4,26,11,69,N,1,,0,,,,,,,,,,,,,
1902,4,8,"La Carlota",1902/04/08,,,26,0,26,10,69,N,1,K,1,,,,,,,,,,,,,
1902,4,9,"La Carlota",1902/04/09,,,19,-7,22,13,72,SE,3,S,2,,,,,,,,,,,,,
1902,4,10,"La Carlota",1902/04/10,,,22,3,22,11,66,NE,1,S,2,,,,,,,,,,,,,
1902,4,12,"La Carlota",1902/04/12,,,23,0,30,12,83,NE,1,K,1,,,,,,,,,,,,,
1902,4,13,"La Carlota",1902/04/13,,,24,1,24,9,75,SE,1,K,1,,,,,,,,,,,,,
1902,4,14,"La Carlota",1902/04/14,,,26,2,27,10,84,N,2,K,2,,,,,,,,,,,,,
1902,4,16,"La Carlota",1902/04/16,,,25,-1,28,16,92,N,1,N,3,,,,,,,,,,,,,
1902,4,19,"La Carlota",1902/04/19,,,26,2,27,16,84,,,K,2,,,,,,,,,,,,,
1902,4,20,"La Carlota",1902/04/20,,,29,3,29,16,78,NE,3,K,2,,,,,,,,,,,,,
1902,4,24,"La Carlota",1902/04/24,,,23,1,23,9,59,N,3,,0,,,,,,,,,,,,,
1902,4,26,"La Carlota",1902/04/26,,,23,-1,25,13,74,N,2,S,2,,,,,,,,,,,,,
1902,4,27,"La Carlota",1902/04/27,,,27,4,27,13,56,NE,2,,,,,,,,,,,,,,,
1902,4,29,"La Carlota",1902/04/29,,,28,0,28,12,63,N,2,K,1,,,,,,,,,,,,,
1902,5,3,"La Carlota",1902/05/03,,,26,0,27,13,76,W,1,S,2,,,,,,,,,,,,,
1902,5,4,"La Carlota",1902/05/04,,,23,-3,23,10,83,E,3,S,2,,,,,,,,,,,,,
1902,5,6,"La Carlota",1902/05/06,,,19,-1,19,15,90,E,1,N,3,,,,,,,,,,,,,
1902,5,8,"La Carlota",1902/05/08,,,17,-4,17,15,100,SW,1,N,3,,,,,,,,,,,,,
1902,5,16,"La Carlota",1902/05/16,,,21,1,21,7,34,N,1,S,1,,,,,,,,,,,,,
1902,5,17,"La Carlota",1902/05/17,,,22,1,22,2,36,NW,1,S,1,,,,,,,,,,,,,
1902,5,18,"La Carlota",1902/05/18,,,23,1,23,4,52,,0,,0,,,,,,,,,,,,,
1902,5,19,"La Carlota",1902/05/19,,,26,3,26,6,48,N,1,,0,,,,,,,,,,,,,
1902,5,20,"La Carlota",1902/05/20,,,24,-2,25,5,67,N,1,S,1,,,,,,,,,,,,,
1902,5,21,"La Carlota",1902/05/21,,,24,0,25,9,67,N,1,S,1,,,,,,,,,,,,,
1902,5,22,"La Carlota",1902/05/22,,,24,0,26,11,67,,0,S,1,,,,,,,,,,,,,
1902,5,23,"La Carlota",1902/05/23,,,27,3,28,12,56,N,2,S,1,,,,,,,,,,,,,
1902,5,24,"La Carlota",1902/05/24,,,28,1,30,12,57,,0,S,2,,,,,,,,,,,,,
1902,5,25,"La Carlota",1902/05/25,,,27,-1,28,11,63,N,2,S,2,,,,,,,,,,,,,
1902,5,26,"La Carlota",1902/05/26,,,18,-9,19,12,53,SW,3,N,3,,,,,,,,,,,,,
1902,5,27,"La Carlota",1902/05/27,,,16,-2,23,11,59,,,N,3,,,,,,,,,,,,,
1902,5,28,"La Carlota",1902/05/28,,,13,-3,14,1,55,,0,N,3,,,,,,,,,,,,,
1902,5,29,"La Carlota",1902/05/29,,,18,5,19,3,,,,S,2,,,,,,,,,,,,,
1902,5,30,"La Carlota",1902/05/30,,,13,-5,14,3,66,N,2,N,3,,,,,,,,,,,,,
1902,5,31,"La Carlota",1902/05/31,,,20,7,22,2,64,N,1,N,2,,,,,,,,,,,,,
1902,6,1,"La Carlota",1902/06/01,,,25,5,25,2,61,,0,S,2,,,,,,,,,,,,,
1902,6,2,"La Carlota",1902/06/02,,,24,-1,25,2,67,,0,S,2,,,,,,,,,,,,,
1902,6,3,"La Carlota",1902/06/03,,,15,-9,17,4,48,,0,S,2,,,,,,,,,,,,,
1902,6,4,"La Carlota",1902/06/04,,,16,1,16,7,59,SE,1,K,1,,,,,,,,,,,,,
1902,6,5,"La Carlota",1902/06/05,,,20,4,21,2,32,N,1,,0,,,,,,,,,,,,,
1902,6,6,"La Carlota",1902/06/06,,,17,-3,18,2,43,,0,S,2,,,,,,,,,,,,,
1902,6,7,"La Carlota",1902/06/07,,,16,-1,17,0,41,,0,,0,,,,,,,,,,,,,
1902,6,8,"La Carlota",1902/06/08,,,15,-1,16,2,48,N,1,N,2,,,,,,,,,,,,,
1902,6,9,"La Carlota",1902/06/09,,,15,0,18,5,68,,0,C,3,,,,,,,,,,,,,
1902,6,10,"La Carlota",1902/06/10,,,13,-2,13,1,88,NE,1,N,3,,,,,,,,,,,,,
1902,6,11,"La Carlota",1902/06/11,,,20,7,21,5,55,,0,S,1,,,,,,,,,,,,,
1902,6,12,"La Carlota",1902/06/12,,,19,-1,19,1,63,NE,1,S,2,,,,,,,,,,,,,
1902,6,13,"La Carlota",1902/06/13,,,18,-1,19,4,80,N,2,S,1,,,,,,,,,,,,,
1902,6,14,"La Carlota",1902/06/14,,,18,-1,19,4,80,N,2,S,1,,,,,,,,,,,,,
1902,6,15,"La Carlota",1902/06/15,,,28,12,28,20,63,N,1,S,2,,,,,,,,,,,,,
1902,6,16,"La Carlota",1902/06/16,,,23,-5,23,15,83,N,1,N,3,,,,,,,,,,,,,
1902,6,17,"La Carlota",1902/06/17,,,15,-8,18,14,89,,,N,3,,,,,,,,,,,,,
1902,6,18,"La Carlota",1902/06/18,,,11,-4,12,9,87,S,1,N,3,,,,,,,,,,,,,
1902,6,19,"La Carlota",1902/06/19,,,13,2,14,2,77,,0,S,1,,,,,,,,,,,,,
1902,6,20,"La Carlota",1902/06/20,,,9,-4,9,1,100,N,1,N,3,,,,,,,,,,,,,
1902,6,21,"La Carlota",1902/06/21,,,12,3,12,6,76,N,2,N,3,,,,,,,,,,,,,
1902,6,22,"La Carlota",1902/06/22,,,16,4,16,5,69,,0,S,2,,,,,,,,,,,,,
1902,6,23,"La Carlota",1902/06/23,,,11,-5,16,1,87,NE,1,K,2,,,,,,,,,,,,,
1902,6,24,"La Carlota",1902/06/24,,,19,8,19,,81,N,2,K,2,,,,,,,,,,,,,
1902,6,25,"La Carlota",1902/06/25,,,19,0,19,13,90,N,3,N,3,,,,,,,,,,,,,
1902,6,26,"La Carlota",1902/06/26,,,21,2,21,18,91,,0,N,3,,,,,,,,,,,,,
1902,6,27,"La Carlota",1902/06/27,,,16,-5,17,16,100,SW,1,N,3,,,,,,,,,,,,,
1902,6,28,"La Carlota",1902/06/28,,,11,-5,11,9,100,S,2,N,3,,,,,,,,,,,,,
1902,6,29,"La Carlota",1902/06/29,,,15,4,15,10,100,,0,N,3,,,,,,,,,,,,,
1902,6,30,"La Carlota",1902/06/30,,,17,2,18,10,61,SW,2,,0,,,,,,,,,,,,,
1902,7,1,"La Carlota",1902/07/01,,,12,-5,11,8,76,SE,1,N,3,,,,,,,,,,,,,
1902,7,2,"La Carlota",1902/07/02,,,10,-2,12,7,86,SW,1,K,1,,,,,,,,,,,,,
1902,7,4,"La Carlota",1902/07/04,,,12,-1,13,2,65,SE,1,S,2,,,,,,,,,,,,,
1902,7,5,"La Carlota",1902/07/05,,,13,2,16,1,67,N,1,S,3,,,,,,,,,,,,,
1902,7,6,"La Carlota",1902/07/06,,,16,2,17,9,79,,0,,0,,,,,,,,,,,,,
1902,7,7,"La Carlota",1902/07/07,,,13,-3,14,2,88,,0,S,3,,,,,,,,,,,,,
1902,7,8,"La Carlota",1902/07/08,,,20,7,20,8,81,,0,K,2,,,,,,,,,,,,,
1902,7,9,"La Carlota",1902/07/09,,,17,-3,17,10,70,SE,1,S,2,,,,,,,,,,,,,
1902,7,10,"La Carlota",1902/07/10,,,21,4,21,8,73,S,2,K,2,,,,,,,,,,,,,
1902,7,11,"La Carlota",1902/07/11,,,11,-10,11,8,63,,0,N,3,,,,,,,,,,,,,
1902,7,12,"La Carlota",1902/07/12,,,14,3,14,6,67,SE,2,K,2,,,,,,,,,,,,,
1902,7,13,"La Carlota",1902/07/13,,,9,-5,9,6,,SE,1,N,3,,,,,,,,,,,,,
1902,7,14,"La Carlota",1902/07/14,,,16,7,16,2,69,,0,K,2,,,,,,,,,,,,,
1902,7,15,"La Carlota",1902/07/15,,,13,-3,14,8,77,SW,2,K,2,,,,,,,,,,,,,
1902,7,16,"La Carlota",1902/07/16,,,13,0,14,0,66,,0,K,2,,,,,,,,,,,,,
1902,7,17,"La Carlota",1902/07/17,,,11,-2,12,-1,52,SE,1,S,1,,,,,,,,,,,,,
1902,7,18,"La Carlota",1902/07/18,,,14,3,15,4,57,N,1,,0,,,,,,,,,,,,,
1902,7,19,"La Carlota",1902/07/19,,,9,-5,,5,73,N,1,N,3,,,,,,,,,,,,,
1902,7,20,"La Carlota",1902/07/20,,,13,4,14,0,55,E,1,,0,,,,,,,,,,,,,
1902,7,21,"La Carlota",1902/07/21,,,16,3,16,5,50,NE,2,,0,,,,,,,,,,,,,
1902,7,23,"La Carlota",1902/07/23,,,21,2,22,0,49,N,1,,0,,,,,,,,,,,,,
1902,7,24,"La Carlota",1902/07/24,,,20,-1,21,1,55,,0,S,1,,,,,,,,,,,,,
1902,7,25,"La Carlota",1902/07/25,,,15,-5,15,3,100,,0,N,3,,,,,,,,,,,,,
1902,7,26,"La Carlota",1902/07/26,,,19,4,22,7,90,S,2,S,3,,,,,,,,,,,,,
1902,7,27,"La Carlota",1902/07/27,,,12,-7,,,35,SW,3,N,3,,,,,,,,,,,,,
1902,7,28,"La Carlota",1902/07/28,,,8,-4,8,4,100,S,1,N,3,,,,,,,,,,,,,
1902,7,29,"La Carlota",1902/07/29,,,10,2,11,3,100,,0,K,3,,,,,,,,,,,,,
1902,7,30,"La Carlota",1902/07/30,,,11,1,11,5,75,N,2,S,2,,,,,,,,,,,,,
1902,7,31,"La Carlota",1902/07/31,,,16,5,16,5,59,,0,,0,,,,,,,,,,,,,
1902,8,1,"La Carlota",1902/08/01,,,12,-4,13,2,54,SW,3,K,2,,,,,,,,,,,,,
1902,8,2,"La Carlota",1902/08/02,,,13,1,13,4,,W,1,,0,,,,,,,,,,,,,
1902,8,3,"La Carlota",1902/08/03,,,16,3,17,6,79,N,1,,0,,,,,,,,,,,,,
1902,8,4,"La Carlota",1902/08/04,,,18,2,18,5,44,NW,1,,0,,,,,,,,,,,,,
1902,8,5,"La Carlota",1902/08/05,,,20,2,20,5,32,N,1,,0,,,,,,,,,,,,,
1902,8,6,"La Carlota",1902/08/06,,,24,4,25,4,33,,0,S,1,,,,,,,,,,,,,
1902,8,7,"La Carlota",1902/08/07,,,25,1,26,1,34,N,1,S,2,,,,,,,,,,,,,
1902,8,8,"La Carlota",1902/08/08,,,26,1,30,7,36,W,1,,0,,,,,,,,,,,,,
1902,8,9,"La Carlota",1902/08/09,,,20,-6,20,2,32,NE,1,,0,,,,,,,,,,,,,
1902,8,10,"La Carlota",1902/08/10,,,24,4,26,2,39,S,1,S,1,,,,,,,,,,,,,
1902,8,11,"La Carlota",1902/08/11,,,14,-10,16,1,47,SE,1,K,1,,,,,,,,,,,,,
1902,8,12,"La Carlota",1902/08/12,,,16,2,16,5,41,E,1,K,1,,,,,,,,,,,,,
1902,8,13,"La Carlota",1902/08/13,,,18,2,18,2,44,,0,,0,,,,,,,,,,,,,
1902,8,14,"La Carlota",1902/08/14,,,12,-6,14,3,43,SW,1,K,3,,,,,,,,,,,,,
1902,8,15,"La Carlota",1902/08/15,,,14,2,14,1,37,NE,1,K,2,,,,,,,,,,,,,
1902,8,16,"La Carlota",1902/08/16,,,13,-1,16,-1,35,SE,1,K,1,,,,,,,,,,,,,
1902,8,17,"La Carlota",1902/08/17,,,14,1,14,6,37,,0,S,2,,,,,,,,,,,,,
1902,8,18,"La Carlota",1902/08/18,,,16,2,16,5,32,N,1,S,3,,,,,,,,,,,,,
1902,8,19,"La Carlota",1902/08/19,,,18,2,19,1,36,NE,1,S,3,,,,,,,,,,,,,
1902,8,20,"La Carlota",1902/08/20,,,12,-6,14,1,43,SE,1,N,3,,,,,,,,,,,,,
1902,8,21,"La Carlota",1902/08/21,,,15,3,15,2,39,N,1,S,3,,,,,,,,,,,,,
1902,8,22,"La Carlota",1902/08/22,,,13,-2,13,2,35,S,3,,0,,,,,,,,,,,,,
1902,8,23,"La Carlota",1902/08/23,,,14,1,14,6,47,SW,1,,0,,,,,,,,,,,,,
1902,8,24,"La Carlota",1902/08/24,,,15,1,17,6,48,,0,,0,,,,,,,,,,,,,
1902,8,25,"La Carlota",1902/08/25,,,17,2,18,4,43,N,1,,0,,,,,,,,,,,,,
1902,8,26,"La Carlota",1902/08/26,,,17,0,18,2,34,N,1,K,1,,,,,,,,,,,,,
1902,8,27,"La Carlota",1902/08/27,,,19,2,19,3,30,N,1,,0,,,,,,,,,,,,,
1902,8,28,"La Carlota",1902/08/28,,,20,1,20,4,32,N,1,,0,,,,,,,,,,,,,
1902,8,29,"La Carlota",1902/08/29,,,21,1,,2,,N,2,,0,,,,,,,,,,,,,
1902,8,30,"La Carlota",1902/08/30,,,23,2,24,1,31,NE,1,S,2,,,,,,,,,,,,,
1902,8,31,"La Carlota",1902/08/31,,,24,1,24,1,39,NE,1,,0,,,,,,,,,,,,,
1902,9,2,"La Carlota",1902/09/02,,,10,5,29,3,74,NE,1,S,3,,,,,,,,,,,,,
1902,9,3,"La Carlota",1902/09/03,,,10,5,29,3,74,NE,1,S,3,,,,,,,,,,,,,
1902,9,4,"La Carlota",1902/09/04,,,9,1,29,7,100,,0,,0,,,,,,,,,,,,,
1902,9,5,"La Carlota",1902/09/05,,,12,3,25,6,100,N,2,,0,,,,,,,,,,,,,
1902,9,6,"La Carlota",1902/09/06,,,14,2,27,14,100,,0,N,3,,,,,,,,,,,,,
