YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"La Cocha",1902/02/21,,,28,-3,29,21,,S,1,C,1,,,,,,,,,,,,,
1902,2,22,"La Cocha",1902/02/22,,,26,-2,28,20,62,,,NK,3,,,,,,,,,,,,,
1902,2,23,"La Cocha",1902/02/23,,,26,0,28,21,,S,1,NK,2,,,,,,,,,,,,,
1902,2,24,"La Cocha",1902/02/24,,,28,2,33,21,,,,K,1,,,,,,,,,,,,,
1902,2,25,"La Cocha",1902/02/25,,,,,31,,,,,,,,,,,,,,,,,,,
1902,2,26,"La Cocha",1902/02/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,27,"La Cocha",1902/02/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,28,"La Cocha",1902/02/28,,,,,33,21,,,1,N,3,,,,,,,,,,,,,
1902,3,1,"La Cocha",1902/03/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,2,"La Cocha",1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,"La Cocha",1902/03/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,4,"La Cocha",1902/03/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,5,"La Cocha",1902/03/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,6,"La Cocha",1902/03/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,7,"La Cocha",1902/03/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,8,"La Cocha",1902/03/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,9,"La Cocha",1902/03/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,10,"La Cocha",1902/03/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,12,"La Cocha",1902/03/12,,,24,-1,32,23,91,,0,K,1,,,,,,,,,,,,,
1902,3,13,"La Cocha",1902/03/13,,,21,-3,36,21,100,E,2,S,3,,,,,,,,,,,,,
1902,3,14,"La Cocha",1902/03/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,15,"La Cocha",1902/03/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,16,"La Cocha",1902/03/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,19,"La Cocha",1902/03/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,21,"La Cocha",1902/03/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,22,"La Cocha",1902/03/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,23,"La Cocha",1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,"La Cocha",1902/03/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,25,"La Cocha",1902/03/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,26,"La Cocha",1902/03/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,27,"La Cocha",1902/03/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,30,"La Cocha",1902/03/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,31,"La Cocha",1902/03/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,2,"La Cocha",1902/04/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,3,"La Cocha",1902/04/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,4,"La Cocha",1902/04/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,5,"La Cocha",1902/04/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,6,"La Cocha",1902/04/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,7,"La Cocha",1902/04/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,8,"La Cocha",1902/04/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,9,"La Cocha",1902/04/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,10,"La Cocha",1902/04/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,12,"La Cocha",1902/04/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,13,"La Cocha",1902/04/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,14,"La Cocha",1902/04/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,16,"La Cocha",1902/04/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,19,"La Cocha",1902/04/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,20,"La Cocha",1902/04/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,24,"La Cocha",1902/04/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,26,"La Cocha",1902/04/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,27,"La Cocha",1902/04/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,29,"La Cocha",1902/04/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,3,"La Cocha",1902/05/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,4,"La Cocha",1902/05/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,6,"La Cocha",1902/05/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,8,"La Cocha",1902/05/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,16,"La Cocha",1902/05/16,765.4,1.1,21,1,,,49,,0,K,2,,,,,,,,,,,,,
1902,5,17,"La Cocha",1902/05/17,763.7,-1.7,22,1,,,82,,0,,0,,,,,,,,,,,,,
1902,5,18,"La Cocha",1902/05/18,762.2,-1.5,24,2,,,39,,0,,0,,,,,,,,,,,,,
1902,5,19,"La Cocha",1902/05/19,761.4,-0.8,26,2,,,36,,0,,0,,,,,,,,,,,,,
1902,5,20,"La Cocha",1902/05/20,,,27,1,,,43,S,1,,0,,,,,,,,,,,,,
1902,5,21,"La Cocha",1902/05/21,758.9,-0.3,27,0,,,49,E,2,,0,,,,,,,,,,,,,
