YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,MENDOZA-Capital,1902/02/21,755.1,4.1,28,3,33,12,63,NE,1,N,2,,,,,,,,,,,,,
1902,2,22,MENDOZA-Capital,1902/02/22,756.3,1.2,29,1,32,13,64,NE,1,N,2,,,,,,,,,,,,,
1902,2,23,MENDOZA-Capital,1902/02/23,755.2,-1.1,35,6,37,13,46,NE,2,K,1,,,,,,,,,,,,,
1902,2,24,MENDOZA-Capital,1902/02/24,754.7,-0.5,36,1,38,13,42,NE,3,,0,,,,,,,,,,,,,
1902,2,25,MENDOZA-Capital,1902/02/25,753.2,-1.5,32,-4,35,14,54,SE,2,K,1,,,,,,,,,,,,,
1902,2,26,MENDOZA-Capital,1902/02/26,758.7,5.5,28,-4,31,15,51,SE,1,,0,,,,,,,,,,,,,
1902,2,27,MENDOZA-Capital,1902/02/27,758.5,-0.2,27,-1,31,10,49,SE,1,C,1,,,,,,,,,,,,,
1902,2,28,MENDOZA-Capital,1902/02/28,757.8,-0.7,26,-1,29,20,48,SE,1,S,1,,,,,,,,,,,,,
1902,3,1,MENDOZA-Capital,1902/03/01,755.3,-2.5,28,2,31,10,63,NW,2,S,1,,,,,,,,,,,,,
1902,3,2,MENDOZA-Capital,1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,MENDOZA-Capital,1902/03/03,750.7,,31,,35,13,59,SE,2,C,1,,,,,,,,,,,,,
1902,3,4,MENDOZA-Capital,1902/03/04,755.1,4.4,31,0,35,15,59,SE,2,N,1,,,,,,,,,,,,,
1902,3,5,MENDOZA-Capital,1902/03/05,758,2.9,27,-4,35,16,63,SW,1,S,1,,,,,,,,,,,,,
1902,3,6,MENDOZA-Capital,1902/03/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,7,MENDOZA-Capital,1902/03/07,757.3,1,26,-3,28,16,81,NW,1,N,2,,,,,,,,,,,,,
1902,3,8,MENDOZA-Capital,1902/03/08,758.1,0.8,25,-1,28,15,76,SE,1,S,2,,,,,,,,,,,,,
1902,3,9,MENDOZA-Capital,1902/03/09,759.3,1.2,21,-4,22,15,91,SW,1,N,3,,,,,,,,,,,,,
1902,3,10,MENDOZA-Capital,1902/03/10,757.2,-2.1,20,-1,21,16,91,NE,1,N,3,,,,,,,,,,,,,
1902,3,12,MENDOZA-Capital,1902/03/12,756.8,-0.1,23,-1,25,15,83,SE,1,N,2,,,,,,,,,,,,,
1902,3,13,MENDOZA-Capital,1902/03/13,758.2,1.4,27,4,30,13,63,,0,K,1,,,,,,,,,,,,,
1902,3,14,MENDOZA-Capital,1902/03/14,759,0.8,27,0,31,12,63,NW,1,S,1,,,,,,,,,,,,,
1902,3,15,MENDOZA-Capital,1902/03/15,754.4,-4.6,27,2,31,16,58,SE,1,K,1,,,,,,,,,,,,,
1902,3,16,MENDOZA-Capital,1902/03/16,756.5,2.1,32,3,34,16,60,NE,1,C,1,,,,,,,,,,,,,
1902,3,19,MENDOZA-Capital,1902/03/19,757.4,4.1,29,-3,31,15,52,SE,2,C,1,,,,,,,,,,,,,
1902,3,21,MENDOZA-Capital,1902/03/21,756.8,-6.4,28,3,30,9,63,SE,1,,0,,,,,,,,,,,,,
1902,3,22,MENDOZA-Capital,1902/03/22,756.6,-0.2,31,3,34,12,59,NE,2,,0,,,,,,,,,,,,,
1902,3,23,MENDOZA-Capital,1902/03/23,755.6,-1,31,0,35,12,72,NE,1,C,1,,,,,,,,,,,,,
1902,3,24,MENDOZA-Capital,1902/03/24,753.5,-2.1,31,0,36,14,65,NE,1,,0,,,,,,,,,,,,,
1902,3,25,MENDOZA-Capital,1902/03/25,755.4,1.9,30,-1,33,17,59,SE,1,S,1,,,,,,,,,,,,,
1902,3,26,MENDOZA-Capital,1902/03/26,767.1,11.7,15,-15,23,10,89,SE,2,N,3,,,,,,,,,,,,,
1902,3,27,MENDOZA-Capital,1902/03/27,762.1,-5.1,15,0,17,8,89,SE,1,N,3,,,,,,,,,,,,,
1902,3,30,MENDOZA-Capital,1902/03/30,759.5,-6.9,20,4,21,10,81,NE,1,K,2,,,,,,,,,,,,,
1902,3,31,MENDOZA-Capital,1902/03/31,753.4,-6.1,20,0,24,8,91,NE,1,N,3,,,,,,,,,,,,,
1902,4,2,MENDOZA-Capital,1902/04/02,759.1,1.7,22,0,26,10,82,SE,1,N,2,,,,,,,,,,,,,
1902,4,3,MENDOZA-Capital,1902/04/03,762,2.9,22,0,23,12,82,NE,1,K,2,,,,,,,,,,,,,
1902,4,4,MENDOZA-Capital,1902/04/04,760.1,-1.9,22,0,25,12,91,SE,2,N,2,,,,,,,,,,,,,
1902,4,5,MENDOZA-Capital,1902/04/05,762.3,2.2,23,1,26,8,74,NE,1,S,1,,,,,,,,,,,,,
1902,4,6,MENDOZA-Capital,1902/04/06,760.2,-2.1,23,0,26,10,74,NE,1,S,1,,,,,,,,,,,,,
1902,4,7,MENDOZA-Capital,1902/04/07,757.3,2.9,25,2,28,9,61,SE,1,C,1,,,,,,,,,,,,,
1902,4,8,MENDOZA-Capital,1902/04/08,755.9,-1.4,26,1,29,9,69,NE,1,K,1,,,,,,,,,,,,,
1902,4,9,MENDOZA-Capital,1902/04/09,757.6,1.7,15,-11,18,10,68,SE,1,S,3,,,,,,,,,,,,,
1902,4,10,MENDOZA-Capital,1902/04/10,756.5,-1.1,20,5,24,8,81,SW,1,K,1,,,,,,,,,,,,,
1902,4,12,MENDOZA-Capital,1902/04/12,756.8,1.1,25,1,27,9,68,SE,1,C,1,,,,,,,,,,,,,
1902,4,13,MENDOZA-Capital,1902/04/13,761.3,4.9,16,-9,18,9,89,SE,1,S,3,,,,,,,,,,,,,
1902,4,14,MENDOZA-Capital,1902/04/14,757.9,-3.4,22,6,24,9,74,NE,1,C,2,,,,,,,,,,,,,
1902,4,16,MENDOZA-Capital,1902/04/16,757.9,-2.5,23,3,26,6,65,SE,1,C,1,,,,,,,,,,,,,
1902,4,19,MENDOZA-Capital,1902/04/19,757.2,-4.5,23,1,26,8,83,NE,1,,0,,,,,,,,,,,,,
