YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Malaspina,1902/02/21,,,25,3,27,3,22,NW,1,,0,,,,,,,,,,,,,
1902,2,22,Malaspina,1902/02/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,23,Malaspina,1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,Malaspina,1902/02/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,25,Malaspina,1902/02/25,,,20,,21,4,25,W,3,K,1,,,,,,,,,,,,,
1902,2,26,Malaspina,1902/02/26,,,16,-4,17,3,32,NW,2,K,2,,,,,,,,,,,,,
1902,2,27,Malaspina,1902/02/27,,,18,2,19,5,28,NW,2,K,1,,,,,,,,,,,,,
1902,2,28,Malaspina,1902/02/28,,,12,-6,15,4,54,S,2,K,2,,,,,,,,,,,,,
1902,3,1,Malaspina,1902/03/01,,,15,3,16,-1,48,SE,2,C,1,,,,,,,,,,,,,
1902,3,2,Malaspina,1902/03/02,,,20,3,23,4,47,NW,2,K,2,,,,,,,,,,,,,
1902,3,3,Malaspina,1902/03/03,,,21,1,23,8,34,NW,2,K,1,,,,,,,,,,,,,
1902,3,4,Malaspina,1902/03/04,,,15,-6,17,4,30,W,2,K,1,,,,,,,,,,,,,
1902,3,5,Malaspina,1902/03/05,,,20,5,22,1,40,N,1,K,1,,,,,,,,,,,,,
1902,3,6,Malaspina,1902/03/06,,,16,-4,20,4,50,S,2,C,1,,,,,,,,,,,,,
1902,3,7,Malaspina,1902/03/07,,,8,-8,10,6,86,SE,2,N,2,,,,,,,,,,,,,
1902,3,8,Malaspina,1902/03/08,,,8,0,9,4,86,SE,1,KN,2,,,,,,,,,,,,,
1902,3,9,Malaspina,1902/03/09,,,13,5,15,3,55,NW,2,K,1,,,,,,,,,,,,,
1902,3,10,Malaspina,1902/03/10,,,15,2,20,7,48,NW,2,C,1,,,,,,,,,,,,,
1902,3,12,Malaspina,1902/03/12,,,11,2,12,6,87,SE,1,N,2,,,,,,,,,,,,,
1902,3,13,Malaspina,1902/03/13,,,12,1,13,7,76,S,1,N,2,,,,,,,,,,,,,
1902,3,14,Malaspina,1902/03/14,,,17,5,18,5,61,N,1,C,2,,,,,,,,,,,,,
1902,3,15,Malaspina,1902/03/15,,,20,3,21,5,64,N,1,C,1,,,,,,,,,,,,,
1902,3,16,Malaspina,1902/03/16,,,21,1,22,5,65,NW,1,,0,,,,,,,,,,,,,
1902,3,19,Malaspina,1902/03/19,,,13,-3,18,5,45,N,2,K,1,,,,,,,,,,,,,
1902,3,21,Malaspina,1902/03/21,,,24,7,25,10,33,N,2,C,1,,,,,,,,,,,,,
1902,3,22,Malaspina,1902/03/22,,,19,-5,22,11,46,NW,2,C,1,,,,,,,,,,,,,
1902,3,23,Malaspina,1902/03/23,,,25,6,26,10,34,N,2,C,2,,,,,,,,,,,,,
1902,3,24,Malaspina,1902/03/24,,,19,-6,23,13,23,NW,3,C,1,,,,,,,,,,,,,
1902,3,25,Malaspina,1902/03/25,,,15,-4,16,7,39,N,2,C,1,,,,,,,,,,,,,
1902,3,26,Malaspina,1902/03/26,,,17,2,18,0,34,NW,1,,0,,,,,,,,,,,,,
1902,3,27,Malaspina,1902/03/27,,,16,-1,18,2,41,E,2,,0,,,,,,,,,,,,,
1902,3,30,Malaspina,1902/03/30,,,26,1,27,9,13,S,1,,0,,,,,,,,,,,,,
1902,3,31,Malaspina,1902/03/31,,,24,-2,25,7,45,S,1,,0,,,,,,,,,,,,,
1902,4,2,Malaspina,1902/04/02,,,17,-2,19,5,34,NW,3,C,1,,,,,,,,,,,,,
1902,4,3,Malaspina,1902/04/03,,,16,-1,19,2,24,N,3,,0,,,,,,,,,,,,,
1902,4,4,Malaspina,1902/04/04,,,20,4,22,6,18,N,3,C,1,,,,,,,,,,,,,
1902,4,5,Malaspina,1902/04/05,,,17,-3,20,7,34,N,1,,0,,,,,,,,,,,,,
1902,4,6,Malaspina,1902/04/06,,,23,6,25,5,37,W,2,C,1,,,,,,,,,,,,,
1902,4,7,Malaspina,1902/04/07,,,17,-6,19,5,52,W,3,K,2,,,,,,,,,,,,,
1902,4,8,Malaspina,1902/04/08,,,16,-1,18,1,41,NW,1,K,1,,,,,,,,,,,,,
1902,4,9,Malaspina,1902/04/09,,,9,-7,12,5,86,S,1,N,2,,,,,,,,,,,,,
1902,4,10,Malaspina,1902/04/10,,,12,3,13,0,54,W,1,,0,,,,,,,,,,,,,
1902,4,12,Malaspina,1902/04/12,,,15,-3,16,5,48,NW,3,C,2,,,,,,,,,,,,,
1902,4,13,Malaspina,1902/04/13,,,15,0,17,2,39,NW,3,,0,,,,,,,,,,,,,
1902,4,14,Malaspina,1902/04/14,,,18,3,21,5,28,N,3,C,1,,,,,,,,,,,,,
1902,4,16,Malaspina,1902/04/16,,,18,5,19,5,44,W,2,C,1,,,,,,,,,,,,,
1902,4,19,Malaspina,1902/04/19,,,17,0,19,5,52,NW,2,K,2,,,,,,,,,,,,,
1902,4,20,Malaspina,1902/04/20,,,17,0,19,5,34,W,1,C,2,,,,,,,,,,,,,
1902,4,24,Malaspina,1902/04/24,,,8,-16,10,4,72,W,2,C,1,,,,,,,,,,,,,
1902,4,26,Malaspina,1902/04/26,,,12,-1,14,-1,76,,0,C,2,,,,,,,,,,,,,
1902,4,27,Malaspina,1902/04/27,,,12,0,13,-1,88,W,2,N,2,,,,,,,,,,,,,
