YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"NEQUEN - Arroyitos",1902/02/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,22,"NEQUEN - Arroyitos",1902/02/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,23,"NEQUEN - Arroyitos",1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,"NEQUEN - Arroyitos",1902/02/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,25,"NEQUEN - Arroyitos",1902/02/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,26,"NEQUEN - Arroyitos",1902/02/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,27,"NEQUEN - Arroyitos",1902/02/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,28,"NEQUEN - Arroyitos",1902/02/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,1,"NEQUEN - Arroyitos",1902/03/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,2,"NEQUEN - Arroyitos",1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,"NEQUEN - Arroyitos",1902/03/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,4,"NEQUEN - Arroyitos",1902/03/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,5,"NEQUEN - Arroyitos",1902/03/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,6,"NEQUEN - Arroyitos",1902/03/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,7,"NEQUEN - Arroyitos",1902/03/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,8,"NEQUEN - Arroyitos",1902/03/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,9,"NEQUEN - Arroyitos",1902/03/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,10,"NEQUEN - Arroyitos",1902/03/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,12,"NEQUEN - Arroyitos",1902/03/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,13,"NEQUEN - Arroyitos",1902/03/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,14,"NEQUEN - Arroyitos",1902/03/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,15,"NEQUEN - Arroyitos",1902/03/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,16,"NEQUEN - Arroyitos",1902/03/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,19,"NEQUEN - Arroyitos",1902/03/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,21,"NEQUEN - Arroyitos",1902/03/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,22,"NEQUEN - Arroyitos",1902/03/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,23,"NEQUEN - Arroyitos",1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,"NEQUEN - Arroyitos",1902/03/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,25,"NEQUEN - Arroyitos",1902/03/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,26,"NEQUEN - Arroyitos",1902/03/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,27,"NEQUEN - Arroyitos",1902/03/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,30,"NEQUEN - Arroyitos",1902/03/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,31,"NEQUEN - Arroyitos",1902/03/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,2,"NEQUEN - Arroyitos",1902/04/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,3,"NEQUEN - Arroyitos",1902/04/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,4,"NEQUEN - Arroyitos",1902/04/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,5,"NEQUEN - Arroyitos",1902/04/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,6,"NEQUEN - Arroyitos",1902/04/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,7,"NEQUEN - Arroyitos",1902/04/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,8,"NEQUEN - Arroyitos",1902/04/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,9,"NEQUEN - Arroyitos",1902/04/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,10,"NEQUEN - Arroyitos",1902/04/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,12,"NEQUEN - Arroyitos",1902/04/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,13,"NEQUEN - Arroyitos",1902/04/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,14,"NEQUEN - Arroyitos",1902/04/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,16,"NEQUEN - Arroyitos",1902/04/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,19,"NEQUEN - Arroyitos",1902/04/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,20,"NEQUEN - Arroyitos",1902/04/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,24,"NEQUEN - Arroyitos",1902/04/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,26,"NEQUEN - Arroyitos",1902/04/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,27,"NEQUEN - Arroyitos",1902/04/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,29,"NEQUEN - Arroyitos",1902/04/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,3,"NEQUEN - Arroyitos",1902/05/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,4,"NEQUEN - Arroyitos",1902/05/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,6,"NEQUEN - Arroyitos",1902/05/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,8,"NEQUEN - Arroyitos",1902/05/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,16,"NEQUEN - Arroyitos",1902/05/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,17,"NEQUEN - Arroyitos",1902/05/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,18,"NEQUEN - Arroyitos",1902/05/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,19,"NEQUEN - Arroyitos",1902/05/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,20,"NEQUEN - Arroyitos",1902/05/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,21,"NEQUEN - Arroyitos",1902/05/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,22,"NEQUEN - Arroyitos",1902/05/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,23,"NEQUEN - Arroyitos",1902/05/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,24,"NEQUEN - Arroyitos",1902/05/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,25,"NEQUEN - Arroyitos",1902/05/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,26,"NEQUEN - Arroyitos",1902/05/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,27,"NEQUEN - Arroyitos",1902/05/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,28,"NEQUEN - Arroyitos",1902/05/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,29,"NEQUEN - Arroyitos",1902/05/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,30,"NEQUEN - Arroyitos",1902/05/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,31,"NEQUEN - Arroyitos",1902/05/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,1,"NEQUEN - Arroyitos",1902/06/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,2,"NEQUEN - Arroyitos",1902/06/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,3,"NEQUEN - Arroyitos",1902/06/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,4,"NEQUEN - Arroyitos",1902/06/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,5,"NEQUEN - Arroyitos",1902/06/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,6,"NEQUEN - Arroyitos",1902/06/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,7,"NEQUEN - Arroyitos",1902/06/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,8,"NEQUEN - Arroyitos",1902/06/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,9,"NEQUEN - Arroyitos",1902/06/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,10,"NEQUEN - Arroyitos",1902/06/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,11,"NEQUEN - Arroyitos",1902/06/11,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,12,"NEQUEN - Arroyitos",1902/06/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,13,"NEQUEN - Arroyitos",1902/06/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,14,"NEQUEN - Arroyitos",1902/06/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,15,"NEQUEN - Arroyitos",1902/06/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,16,"NEQUEN - Arroyitos",1902/06/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,17,"NEQUEN - Arroyitos",1902/06/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,18,"NEQUEN - Arroyitos",1902/06/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,19,,1902/06/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,20,,1902/06/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,21,,1902/06/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,22,,1902/06/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,23,,1902/06/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,24,,1902/06/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,25,,1902/06/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,26,,1902/06/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,27,,1902/06/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,28,,1902/06/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,29,,1902/06/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,30,,1902/06/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,1,,1902/07/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,2,,1902/07/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,4,,1902/07/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,5,,1902/07/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,6,,1902/07/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,7,,1902/07/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,8,,1902/07/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,9,,1902/07/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,10,,1902/07/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,11,,1902/07/11,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,12,,1902/07/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,13,,1902/07/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,14,,1902/07/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,15,,1902/07/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,16,,1902/07/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,17,,1902/07/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,18,,1902/07/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,19,,1902/07/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,20,,1902/07/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,21,,1902/07/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,23,,1902/07/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,24,,1902/07/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,25,,1902/07/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,26,,1902/07/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,27,,1902/07/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,28,,1902/07/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,29,,1902/07/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,30,,1902/07/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,31,,1902/07/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,1,,1902/08/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,2,,1902/08/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,3,,1902/08/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,4,,1902/08/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,5,,1902/08/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,6,,1902/08/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,7,,1902/08/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,8,,1902/08/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,9,,1902/08/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,10,,1902/08/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,11,,1902/08/11,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,12,,1902/08/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,13,,1902/08/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,14,,1902/08/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,15,,1902/08/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,16,,1902/08/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,17,,1902/08/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,18,,1902/08/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,19,,1902/08/19,,,,,,,,,,,,,,,,,,,,,,,,
