YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"Neuquen  ",1902/02/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,22,"Neuquen  ",1902/02/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,23,"Neuquen  ",1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,"Neuquen  ",1902/02/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,25,"Neuquen  ",1902/02/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,26,"Neuquen  ",1902/02/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,27,"Neuquen  ",1902/02/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,28,"Neuquen  ",1902/02/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,1,"Neuquen  ",1902/03/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,2,"Neuquen  ",1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,"Neuquen  ",1902/03/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,4,"Neuquen  ",1902/03/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,5,"Neuquen  ",1902/03/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,6,"Neuquen  ",1902/03/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,7,"Neuquen  ",1902/03/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,8,"Neuquen  ",1902/03/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,9,"Neuquen  ",1902/03/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,10,"Neuquen  ",1902/03/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,12,"Neuquen  ",1902/03/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,13,"Neuquen  ",1902/03/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,14,"Neuquen  ",1902/03/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,15,"Neuquen  ",1902/03/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,16,"Neuquen  ",1902/03/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,19,"Neuquen  ",1902/03/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,21,"Neuquen  ",1902/03/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,22,"Neuquen  ",1902/03/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,23,"Neuquen  ",1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,"Neuquen  ",1902/03/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,25,"Neuquen  ",1902/03/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,26,"Neuquen  ",1902/03/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,27,"Neuquen  ",1902/03/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,30,"Neuquen  ",1902/03/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,31,"Neuquen  ",1902/03/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,2,"Neuquen  ",1902/04/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,3,"Neuquen  ",1902/04/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,4,"Neuquen  ",1902/04/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,5,"Neuquen  ",1902/04/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,6,"Neuquen  ",1902/04/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,7,"Neuquen  ",1902/04/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,8,"Neuquen  ",1902/04/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,9,"Neuquen  ",1902/04/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,10,"Neuquen  ",1902/04/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,12,"Neuquen  ",1902/04/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,13,"Neuquen  ",1902/04/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,14,"Neuquen  ",1902/04/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,16,"Neuquen  ",1902/04/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,19,"Neuquen  ",1902/04/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,20,"Neuquen  ",1902/04/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,24,"Neuquen  ",1902/04/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,26,"Neuquen  ",1902/04/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,27,"Neuquen  ",1902/04/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,29,"Neuquen  ",1902/04/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,3,"Neuquen  ",1902/05/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,4,"Neuquen  ",1902/05/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,6,"Neuquen  ",1902/05/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,8,"Neuquen  ",1902/05/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,16,"Neuquen  ",1902/05/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,17,"Neuquen  ",1902/05/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,18,"Neuquen  ",1902/05/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,19,"Neuquen  ",1902/05/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,20,"Neuquen  ",1902/05/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,21,"Neuquen  ",1902/05/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,22,"Neuquen  ",1902/05/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,23,"Neuquen  ",1902/05/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,24,"Neuquen  ",1902/05/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,25,"Neuquen  ",1902/05/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,26,"Neuquen  ",1902/05/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,27,,1902/05/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,28,,1902/05/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,29,,1902/05/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,30,,1902/05/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,31,,1902/05/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,1,,1902/06/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,2,,1902/06/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,3,,1902/06/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,4,,1902/06/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,5,,1902/06/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,6,,1902/06/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,7,,1902/06/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,8,,1902/06/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,9,,1902/06/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,10,,1902/06/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,11,,1902/06/11,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,12,,1902/06/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,13,,1902/06/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,14,,1902/06/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,15,,1902/06/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,16,,1902/06/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,17,,1902/06/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,18,,1902/06/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,19,,1902/06/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,20,,1902/06/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,21,,1902/06/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,22,,1902/06/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,23,,1902/06/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,24,,1902/06/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,25,,1902/06/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,26,,1902/06/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,27,,1902/06/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,28,,1902/06/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,29,,1902/06/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,30,,1902/06/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,1,,1902/07/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,2,,1902/07/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,4,,1902/07/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,5,,1902/07/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,6,,1902/07/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,7,,1902/07/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,8,,1902/07/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,9,,1902/07/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,10,,1902/07/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,11,,1902/07/11,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,12,,1902/07/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,13,,1902/07/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,14,,1902/07/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,15,,1902/07/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,16,,1902/07/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,17,,1902/07/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,18,,1902/07/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,19,,1902/07/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,20,,1902/07/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,21,,1902/07/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,23,,1902/07/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,24,,1902/07/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,25,,1902/07/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,26,,1902/07/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,27,,1902/07/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,28,,1902/07/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,29,,1902/07/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,30,,1902/07/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,31,,1902/07/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,1,,1902/08/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,2,,1902/08/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,3,,1902/08/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,4,,1902/08/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,5,,1902/08/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,6,,1902/08/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,7,,1902/08/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,8,,1902/08/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,9,,1902/08/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,10,,1902/08/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,11,,1902/08/11,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,12,,1902/08/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,13,,1902/08/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,14,,1902/08/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,15,,1902/08/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,16,,1902/08/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,17,,1902/08/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,18,,1902/08/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,19,,1902/08/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,20,,1902/08/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,21,,1902/08/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,22,,1902/08/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,23,,1902/08/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,24,,1902/08/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,25,,1902/08/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,26,,1902/08/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,27,,1902/08/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,28,,1902/08/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,29,,1902/08/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,30,,1902/08/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,31,,1902/08/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,2,,1902/09/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,3,,1902/09/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,4,,1902/09/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,5,,1902/09/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,6,,1902/09/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,7,,1902/09/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,8,,1902/09/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,10,,1902/09/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,11,,1902/09/11,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,12,,1902/09/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,13,,1902/09/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,14,,1902/09/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,15,,1902/09/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,16,,1902/09/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,17,,1902/09/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,18,,1902/09/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,19,,1902/09/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,20,,1902/09/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,21,,1902/09/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,22,,1902/09/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,23,,1902/09/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,24,,1902/09/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,25,,1902/09/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,26,,1902/09/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,27,,1902/09/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,28,,1902/09/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,29,,1902/09/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,30,,1902/09/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,1,,1902/10/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,2,,1902/10/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,3,,1902/10/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,5,,1902/10/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,7,,1902/10/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,8,,1902/10/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,9,,1902/10/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,10,,1902/10/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,11,,1902/10/11,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,12,,1902/10/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,13,,1902/10/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,14,,1902/10/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,15,,1902/10/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,16,,1902/10/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,17,,1902/10/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,18,,1902/10/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,19,,1902/10/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,20,,1902/10/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,21,,1902/10/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,22,,1902/10/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,10,23,,1902/10/23,,,,,,,,,,,,,,,,,,,,,,,,
