YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"P. Deseado",1902/02/21,748.3,-3.4,24,0,25,9,91,W,3,CK,1,,,,,,,,,,,,,
1902,2,22,"P. Deseado",1902/02/22,751.9,3.6,22,-2,24,12,82,NE,1,CK,1,,,,,,,,,,,,,
1902,2,23,"P. Deseado",1902/02/23,748.2,-3.7,26,4,27,14,69,SW,1,N,1,,,,,,,,,,,,,
1902,2,24,"P. Deseado",1902/02/24,744.7,-3.5,18,-8,20,13,90,SE,1,N,3,,,,,,,,,,,,,
1902,2,25,"P. Deseado",1902/02/25,748.1,3.4,19,1,20,7,90,NW,3,KC,1,,,,,,,,,,,,,
1902,2,26,"P. Deseado",1902/02/26,744.1,-4,18,-1,20,7,71,SW,2,N,1,,,,,,,,,,,,,
1902,2,27,"P. Deseado",1902/02/27,743.5,-0.6,16,-2,19,9,89,SW,1,K,2,,,,,,,,,,,,,
1902,2,28,"P. Deseado",1902/02/28,745.1,4.6,10,-6,12,4,85,SW,2,N,2,,,,,,,,,,,,,
1902,3,1,"P. Deseado",1902/03/01,757.8,9.7,12,2,15,5,76,S,1,K,1,,,,,,,,,,,,,
1902,3,2,"P. Deseado",1902/03/02,753.8,-4,11,-1,14,4,87,N,1,N,3,,,,,,,,,,,,,
1902,3,3,"P. Deseado",1902/03/03,747,-6.8,19,8,20,9,72,E,1,K,1,,,,,,,,,,,,,
1902,3,4,"P. Deseado",1902/03/04,746.4,-0.6,7,-12,11,4,85,SW,3,N,3,,,,,,,,,,,,,
1902,3,5,"P. Deseado",1902/03/05,754.7,8.3,17,10,18,1,70,SW,1,CK,1,,,,,,,,,,,,,
1902,3,6,"P. Deseado",1902/03/06,759.4,4.7,15,-2,16,8,78,E,1,K,2,,,,,,,,,,,,,
1902,3,7,"P. Deseado",1902/03/07,762.6,3.2,12,-3,13,7,76,E,1,N,2,,,,,,,,,,,,,
1902,3,8,"P. Deseado",1902/03/08,766.8,4.2,11,-1,12,10,75,SE,1,N,3,,,,,,,,,,,,,
1902,3,9,"P. Deseado",1902/03/09,760.4,-6.1,19,8,19,4,63,W,1,,0,,,,,,,,,,,,,
1902,3,10,"P. Deseado",1902/03/10,753.8,-6.6,13,-6,14,8,66,S,2,KN,2,,,,,,,,,,,,,
1902,3,12,"P. Deseado",1902/03/12,753,-8.5,11,-3,13,5,87,N,1,N,3,,,,,,,,,,,,,
1902,3,13,"P. Deseado",1902/03/13,750.8,-2.2,13,2,14,9,88,S,2,NK,2,,,,,,,,,,,,,
1902,3,14,"P. Deseado",1902/03/14,750.2,-0.6,14,1,16,5,78,SE,1,CK,1,,,,,,,,,,,,,
1902,3,15,"P. Deseado",1902/03/15,746.2,-4,21,7,22,8,49,SW,2,CK,1,,,,,,,,,,,,,
1902,3,16,"P. Deseado",1902/03/16,746,-0.2,22,1,23,,82,SW,1,NK,2,,,,,,,,,,,,,
1902,3,19,"P. Deseado",1902/03/19,756.2,15.5,10,-4,12,0,62,SE,3,KN,2,,,,,,,,,,,,,
1902,3,21,"P. Deseado",1902/03/21,746.1,-8.3,22,8,24,3,22,S,2,CK,2,,,,,,,,,,,,,
1902,3,22,"P. Deseado",1902/03/22,751.2,5.1,22,0,23,10,29,SW,1,C,1,,,,,,,,,,,,,
1902,3,23,"P. Deseado",1902/03/23,747.6,-3.6,23,1,24,11,37,SE,1,CE,1,,,,,,,,,,,,,
1902,3,24,"P. Deseado",1902/03/24,746.3,-1.3,19,-4,20,13,23,SW,3,K,1,,,,,,,,,,,,,
1902,3,25,"P. Deseado",1902/03/25,760.3,14,14,-5,16,8,57,SE,2,K,1,,,,,,,,,,,,,
1902,3,26,"P. Deseado",1902/03/26,760,-0.3,21,7,21,5,34,SW,1,C,1,,,,,,,,,,,,,
1902,3,27,"P. Deseado",1902/03/27,762.3,2.3,18,-3,19,9,36,SE,1,,0,,,,,,,,,,,,,
1902,3,30,"P. Deseado",1902/03/30,751.6,-3,24,2,24,9,39,W,1,CK,1,,,,,,,,,,,,,
1902,3,31,"P. Deseado",1902/03/31,741.8,-9.8,21,3,22,9,65,W,1,KC,2,,,,,,,,,,,,,
1902,4,2,"P. Deseado",1902/04/02,743.3,-2.7,19,0,20,8,63,W,3,KC,1,,,,,,,,,,,,,
1902,4,3,"P. Deseado",1902/04/03,757.4,14.1,16,-3,16,4,32,W,1,C,1,,,,,,,,,,,,,
1902,4,4,"P. Deseado",1902/04/04,745.2,-12.2,19,3,20,9,46,W,3,N,3,,,,,,,,,,,,,
1902,4,5,"P. Deseado",1902/04/05,760.5,-1.8,16,-3,17,9,79,S,1,C,1,,,,,,,,,,,,,
1902,4,6,"P. Deseado",1902/04/06,745.9,-14.4,22,6,23,9,82,W,3,KN,1,,,,,,,,,,,,,
1902,4,7,"P. Deseado",1902/04/07,745.7,-0.2,12,-10,13,9,88,SE,1,N,3,,,,,,,,,,,,,
1902,4,8,"P. Deseado",1902/04/08,753,7.3,16,4,17,7,59,W,1,C,1,,,,,,,,,,,,,
1902,4,9,"P. Deseado",1902/04/09,755.1,2.1,10,-6,11,7,86,S,1,N,3,,,,,,,,,,,,,
1902,4,10,"P. Deseado",1902/04/10,753.4,-1.7,15,5,16,3,68,SW,1,K,1,,,,,,,,,,,,,
1902,4,12,"P. Deseado",1902/04/12,751,-2.4,13,-4,14,6,77,N,2,N,3,,,,,,,,,,,,,
1902,4,13,"P. Deseado",1902/04/13,738,-2.7,15,2,16,4,21,SW,3,C,1,,,,,,,,,,,,,
1902,4,14,"P. Deseado",1902/04/14,739.2,1.2,14,-1,15,7,47,SW,2,N,3,,,,,,,,,,,,,
1902,4,16,"P. Deseado",1902/04/16,748.5,-8.3,17,5,18,7,61,N,1,K,1,,,,,,,,,,,,,
1902,4,19,"P. Deseado",1902/04/19,743.1,-4.6,12,0,13,5,54,SW,1,N,3,,,,,,,,,,,,,
1902,4,20,"P. Deseado",1902/04/20,740,-3.1,13,1,14,7,66,W,2,N,3,,,,,,,,,,,,,
1902,4,24,"P. Deseado",1902/04/24,747.1,4,10,-10,,7,86,W,1,N,2,,,,,,,,,,,,,
1902,4,26,"P. Deseado",1902/04/26,763.1,0.4,14,-1,,5,67,N,1,K,1,,,,,,,,,,,,,
1902,4,27,"P. Deseado",1902/04/27,753.8,-9.3,11,-3,,4,87,N,1,N,3,,,,,,,,,,,,,
1902,4,29,"P. Deseado",1902/04/29,753.6,-2.1,16,1,,5,41,W,1,C,1,,,,,,,,,,,,,
1902,5,3,"P. Deseado",1902/05/03,748.3,-3.6,9,-1,9,6,85,E,2,N,3,,,,,,,,,,,,,
1902,5,4,"P. Deseado",1902/05/04,761.4,13.5,7,-2,,4,71,S,1,CK,2,,,,,,,,,,,,,
1902,5,6,"P. Deseado",1902/05/06,765.2,-2.2,9,1,,3,61,NE,1,N,3,,,,,,,,,,,,,
1902,5,8,"P. Deseado",1902/05/08,761.3,5.4,8,-3,,6,86,E,1,N,3,,,,,,,,,,,,,
1902,5,16,"P. Deseado",1902/05/16,739.8,-8.4,14,3,,4,37,W,3,,0,,,,,,,,,,,,,
1902,5,17,"P. Deseado",1902/05/17,749.4,9.6,9,-5,,,36,SW,3,C,1,,,,,,,,,,,,,
1902,5,18,"P. Deseado",1902/05/18,746.7,-2.7,11,2,,0,41,W,2,C,1,,,,,,,,,,,,,
1902,5,19,"P. Deseado",1902/05/19,738,-8.7,13,2,,-1,100,SW,3,,0,,,,,,,,,,,,,
1902,5,20,"P. Deseado",1902/05/20,746.2,8.2,11,-2,,2,52,W,2,N,2,,,,,,,,,,,,,
1902,5,21,"P. Deseado",1902/05/21,743.8,-2.4,14,3,,6,57,W,1,C,1,,,,,,,,,,,,,
1902,5,22,"P. Deseado",1902/05/22,744.8,1,14,0,,5,57,W,2,K,1,,,,,,,,,,,,,
1902,5,23,"P. Deseado",1902/05/23,741.3,-0.5,8,-6,,4,86,S,1,C,1,,,,,,,,,,,,,
1902,5,24,"P. Deseado",1902/05/24,743.3,-1,8,0,,1,54,S,1,,0,,,,,,,,,,,,,
1902,5,25,"P. Deseado",1902/05/25,733.7,-9.6,15,-7,,3,39,W,3,C,1,,,,,,,,,,,,,
1902,5,26,"P. Deseado",1902/05/26,740.4,-6.7,7,-8,,1,71,SW,3,K,2,,,,,,,,,,,,,
1902,5,27,"P. Deseado",1902/05/27,744.5,-1.9,10,3,,1,50,SW,2,C,1,,,,,,,,,,,,,
1902,5,28,"P. Deseado",1902/05/28,739.3,-5.2,10,0,,1,39,W,3,N,2,,,,,,,,,,,,,
1902,5,29,"P. Deseado",1902/05/29,747.6,8.3,8,-2,,1,46,SW,1,C,1,,,,,,,,,,,,,
1902,5,30,"P. Deseado",1902/05/30,742.5,-5.1,8,0,,0,46,W,2,KS,2,,,,,,,,,,,,,
1902,5,31,"P. Deseado",1902/05/31,743.8,1.3,4,-4,,-1,52,SW,2,CS,2,,,,,,,,,,,,,
1902,6,1,"P. Deseado",1902/06/01,746,2.2,3,-1,,-2,,SW,1,N,2,,,,,,,,,,,,,
1902,6,2,"P. Deseado",1902/06/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,3,"P. Deseado",1902/06/03,747.8,2.9,5,0,,-2,54,SW,1,N,2,,,,,,,,,,,,,
1902,6,4,"P. Deseado",1902/06/04,738.7,-9.1,8,3,,0,46,W,3,KS,1,,,,,,,,,,,,,
1902,6,5,"P. Deseado",1902/06/05,742.9,4.2,5,-3,,-2,39,S,3,K,1,,,,,,,,,,,,,
1902,6,6,"P. Deseado",1902/06/06,744.8,1.9,4,-1,,-3,36,S,3,K,1,,,,,,,,,,,,,
1902,6,7,"P. Deseado",1902/06/07,749.5,4.7,1,-3,,-6,32,SW,3,KS,2,,,,,,,,,,,,,
1902,6,8,"P. Deseado",1902/06/08,752.5,3,0,-1,0,-6,100,S,3,C,1,,,,,,,,,,,,,
1902,6,9,"P. Deseado",1902/06/09,754,1.5,2,2,,-7,82,SW,1,,0,,,,,,,,,,,,,
1902,6,10,"P. Deseado",1902/06/10,,,2,0,,-6,,SW,1,,0,,,,,,,,,,,,,
1902,6,11,"P. Deseado",1902/06/11,758,,2,0,,-4,64,SE,1,KS,3,,,,,,,,,,,,,
1902,6,12,"P. Deseado",1902/06/12,762.1,4.1,1,-1,,-7,65,SW,1,K,1,,,,,,,,,,,,,
1902,6,13,"P. Deseado",1902/06/13,767.4,5.3,0,-1,,-6,100,S,1,,0,,,,,,,,,,,,,
1902,6,14,"P. Deseado",1902/06/14,767.4,5.3,0,-1,,-6,100,S,1,,0,,,,,,,,,,,,,
1902,6,15,"P. Deseado",1902/06/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,16,"P. Deseado",1902/06/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,17,"P. Deseado",1902/06/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,18,"P. Deseado",1902/06/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,19,"P. Deseado",1902/06/19,763.5,,6,,,1,85,S,1,KN,2,,,,,,,,,,,,,
1902,6,20,"P. Deseado",1902/06/20,768.6,5.1,5,-1,,1,69,W,1,C,1,,,,,,,,,,,,,
1902,6,21,"P. Deseado",1902/06/21,759.6,-9,6,1,,1,85,N,1,KN,2,,,,,,,,,,,,,
1902,6,22,"P. Deseado",1902/06/22,759.2,-0.4,8,2,,3,72,N,1,KN,2,,,,,,,,,,,,,
1902,6,23,"P. Deseado",1902/06/23,753.2,-6,9,1,,0,93,N,2,C,1,,,,,,,,,,,,,
1902,6,24,"P. Deseado",1902/06/24,750.2,-3,9,0,,5,86,NW,1,N,3,,,,,,,,,,,,,
1902,6,25,"P. Deseado",1902/06/25,748.2,-2,11,2,,6,75,N,1,N,3,,,,,,,,,,,,,
1902,6,26,"P. Deseado",1902/06/26,,,9,-2,,4,86,W,1,K,1,,,,,,,,,,,,,
