YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"PAMPA - Acha",1902/02/21,757.1,,29,,29,16,38,NE,1,K,1,,,,,,,,,,,,,
1902,2,22,"PAMPA - Acha",1902/02/22,758.6,1.5,33,4,33,16,25,E,1,NK,1,,,,,,,,,,,,,
1902,2,23,"PAMPA - Acha",1902/02/23,756.7,-1.9,28,-5,28,13,70,W,1,,0,,,,,,,,,,,,,
1902,2,24,"PAMPA - Acha",1902/02/24,753.2,-3.5,38,10,35,16,64,NW,1,,0,,,,,,,,,,,,,
1902,2,25,"PAMPA - Acha",1902/02/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,26,"PAMPA - Acha",1902/02/26,757.1,,28,,28,11,51,W,1,K,1,,,,,,,,,,,,,
1902,2,27,"PAMPA - Acha",1902/02/27,757.6,0.5,23,-5,23,11,66,SW,2,CK,1,,,,,,,,,,,,,
1902,2,28,"PAMPA - Acha",1902/02/28,758,0.4,26,3,26,4,42,W,2,,0,,,,,,,,,,,,,
1902,3,1,"PAMPA - Acha",1902/03/01,759.3,4.3,28,2,28,10,44,N,1,,0,,,,,,,,,,,,,
1902,3,2,"PAMPA - Acha",1902/03/02,758.1,-1.2,30,2,30,17,41,,,CK,2,,,,,,,,,,,,,
1902,3,3,"PAMPA - Acha",1902/03/03,754.9,-3.2,26,-4,26,14,42,SE,1,K,2,,,,,,,,,,,,,
1902,3,4,"PAMPA - Acha",1902/03/04,758.2,3.3,24,-2,24,14,67,SE,1,NK,3,,,,,,,,,,,,,
1902,3,5,"PAMPA - Acha",1902/03/05,759.5,1.3,26,2,26,9,36,NE,1,KC,3,,,,,,,,,,,,,
1902,3,6,"PAMPA - Acha",1902/03/06,761.9,2.4,19,-7,19,16,81,N,1,CK,3,,,,,,,,,,,,,
1902,3,7,"PAMPA - Acha",1902/03/07,759,-2.9,19,0,20,12,72,N,1,CK,3,,,,,,,,,,,,,
1902,3,8,"PAMPA - Acha",1902/03/08,759,0,27,8,27,11,69,SW,1,NK,3,,,,,,,,,,,,,
1902,3,9,"PAMPA - Acha",1902/03/09,762.5,3.5,19,-8,19,15,81,E,1,NK,3,,,,,,,,,,,,,
1902,3,10,"PAMPA - Acha",1902/03/10,759.8,-2.7,17,-2,17,11,90,N,1,K,3,,,,,,,,,,,,,
1902,3,12,"PAMPA - Acha",1902/03/12,757.8,,21,,21,12,82,SW,1,K,3,,,,,,,,,,,,,
1902,3,13,"PAMPA - Acha",1902/03/13,756.1,-1.7,24,3,24,13,33,SW,1,K,2,,,,,,,,,,,,,
1902,3,14,"PAMPA - Acha",1902/03/14,761.8,5.7,26,2,26,10,18,SW,1,C,1,,,,,,,,,,,,,
1902,3,15,"PAMPA - Acha",1902/03/15,755.6,-6.2,30,4,30,10,36,N,1,KC,2,,,,,,,,,,,,,
1902,3,16,"PAMPA - Acha",1902/03/16,753,-2.6,32,2,32,14,33,SE,1,K,2,,,,,,,,,,,,,
1902,3,19,"PAMPA - Acha",1902/03/19,760.8,4,23,-5,23,7,31,S,1,C,1,,,,,,,,,,,,,
1902,3,21,"PAMPA - Acha",1902/03/21,756,-8.5,32,9,32,14,43,NW,1,,0,,,,,,,,,,,,,
1902,3,22,"PAMPA - Acha",1902/03/22,758.4,2.4,35,3,35,13,51,NW,1,C,1,,,,,,,,,,,,,
1902,3,23,"PAMPA - Acha",1902/03/23,755,-3.4,36,1,36,15,52,N,2,C,2,,,,,,,,,,,,,
1902,3,24,"PAMPA - Acha",1902/03/24,754.9,-0.1,37,1,37,19,35,W,1,K,1,,,,,,,,,,,,,
1902,3,25,"PAMPA - Acha",1902/03/25,759.9,5,21,-16,21,16,57,SE,2,N,2,,,,,,,,,,,,,
1902,3,26,"PAMPA - Acha",1902/03/26,767.1,7.2,20,-1,22,7,47,SE,2,C,1,,,,,,,,,,,,,
1902,3,27,"PAMPA - Acha",1902/03/27,,,,,,,,,,,,,,,,,,,,,,,,
