YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"Paso de los Libres",1902/02/21,754.3,-0.2,34,1,36,21,45,S,2,K,1,,,,,,,,,,,,,
1902,2,22,"Paso de los Libres",1902/02/22,755.8,1.3,36,2,37,23,38,S,2,K,1,,,,,,,,,,,,,
1902,2,23,"Paso de los Libres",1902/02/23,757.6,1.8,33,-3,35,22,50,S,2,,,,,,,,,,,,,,,
1902,2,24,"Paso de los Libres",1902/02/24,758,0.4,34,1,35,21,31,SE,2,,0,,,,,,,,,,,,,
1902,2,25,"Paso de los Libres",1902/02/25,756,-2,37,3,38,19,39,N,1,K,1,,,,,,,,,,,,,
1902,2,26,"Paso de los Libres",1902/02/26,752.9,-3.4,38,1,39,21,31,E,2,SC,3,,,,,,,,,,,,,
1902,2,27,"Paso de los Libres",1902/02/27,754.1,1.2,29,-9,30,20,78,N,2,CS,3,,,,,,,,,,,,,
1902,2,28,"Paso de los Libres",1902/02/28,755.1,1,31,5,35,21,40,E,2,KC,1,,,,,,,,,,,,,
1902,3,1,"Paso de los Libres",1902/03/01,758.9,3.8,32,-2,33,20,38,SE,3,K,1,,,,,,,,,,,,,
1902,3,2,"Paso de los Libres",1902/03/02,757.1,-1.8,34,2,35,18,45,E,3,,0,,,,,,,,,,,,,
1902,3,3,"Paso de los Libres",1902/03/03,756.4,-0.7,37,3,37,20,39,E,2,K,1,,,,,,,,,,,,,
1902,3,4,"Paso de los Libres",1902/03/04,754.8,-1.6,37,0,37,27,41,N,1,K,1,,,,,,,,,,,,,
1902,3,5,"Paso de los Libres",1902/03/05,755.8,1,35,-2,39,21,12,S,2,SKN,3,,,,,,,,,,,,,
1902,3,6,"Paso de los Libres",1902/03/06,756.5,0.7,36,4,36,22,42,SE,1,K,2,,,,,,,,,,,,,
1902,3,7,"Paso de los Libres",1902/03/07,756.4,-0.1,36,0,37,23,47,S,2,K,1,,,,,,,,,,,,,
1902,3,8,"Paso de los Libres",1902/03/08,757.5,1.1,34,-2,36,21,45,SE,1,CK,1,,,,,,,,,,,,,
1902,3,9,"Paso de los Libres",1902/03/09,759.4,1.9,34,0,36,20,51,SE,2,K,1,,,,,,,,,,,,,
1902,3,10,"Paso de los Libres",1902/03/10,759,-0.4,35,1,35,20,46,SE,2,C,1,,,,,,,,,,,,,
1902,3,12,"Paso de los Libres",1902/03/12,752.2,-3.6,37,0,39,22,39,N,3,SK,3,,,,,,,,,,,,,
1902,3,13,"Paso de los Libres",1902/03/13,757,4.8,27,-10,37,19,69,S,2,C,3,,,,,,,,,,,,,
1902,3,14,"Paso de los Libres",1902/03/14,761.7,4.7,30,3,31,16,59,S,2,,0,,,,,,,,,,,,,
1902,3,15,"Paso de los Libres",1902/03/15,763,1.3,32,2,33,15,43,E,1,,0,,,,,,,,,,,,,
1902,3,16,"Paso de los Libres",1902/03/16,761.2,-1.8,33,1,34,16,50,N,2,,0,,,,,,,,,,,,,
1902,3,19,"Paso de los Libres",1902/03/19,758.1,,32,,37,19,38,W,3,SK,3,,,,,,,,,,,,,
1902,3,21,"Paso de los Libres",1902/03/21,762.5,-0.2,32,5,33,15,60,E,1,,0,,,,,,,,,,,,,
1902,3,22,"Paso de los Libres",1902/03/22,761.6,-0.9,35,3,36,17,32,E,2,K,1,,,,,,,,,,,,,
1902,3,23,"Paso de los Libres",1902/03/23,760,0.4,37,2,38,19,39,SE,1,,0,,,,,,,,,,,,,
1902,3,24,"Paso de los Libres",1902/03/24,760.5,-1.5,37,0,30,18,30,E,2,,0,,,,,,,,,,,,,
1902,3,25,"Paso de los Libres",1902/03/25,758.3,-2.2,37,0,39,21,43,N,2,K,1,,,,,,,,,,,,,
1902,3,26,"Paso de los Libres",1902/03/26,758.1,0.2,33,-4,35,23,55,W,2,KN,3,,,,,,,,,,,,,
1902,3,27,"Paso de los Libres",1902/03/27,757.4,-0.7,24,-9,27,22,91,W,2,N,3,,,,,,,,,,,,,
1902,3,30,"Paso de los Libres",1902/03/30,760,-3.3,27,3,28,17,69,E,2,K,2,,,,,,,,,,,,,
1902,3,31,"Paso de los Libres",1902/03/31,756.2,-3.8,30,3,30,16,71,E,1,K,1,,,,,,,,,,,,,
1902,4,2,"Paso de los Libres",1902/04/02,760.5,,28,,28,17,77,E,2,K,1,,,,,,,,,,,,,
1902,4,3,"Paso de los Libres",1902/04/03,761.3,0.8,27,1,31,19,63,E,1,SK,3,,,,,,,,,,,,,
1902,4,4,"Paso de los Libres",1902/04/04,758,-3.3,26,-1,27,19,76,NE,2,KS,3,,,,,,,,,,,,,
1902,4,5,"Paso de los Libres",1902/04/05,758,0,27,1,28,19,77,S,2,K,1,,,,,,,,,,,,,
1902,4,6,"Paso de los Libres",1902/04/06,758,0,25,-2,26,17,83,W,2,K,1,,,,,,,,,,,,,
1902,4,7,"Paso de los Libres",1902/04/07,757.8,-0.2,23,-2,26,16,83,SW,2,K,2,,,,,,,,,,,,,
1902,4,8,"Paso de los Libres",1902/04/08,758.2,0.4,26,3,28,17,76,E,1,K,1,,,,,,,,,,,,,
1902,4,9,"Paso de los Libres",1902/04/09,759.1,0.9,26,0,27,18,76,S,1,KC,1,,,,,,,,,,,,,
1902,4,10,"Paso de los Libres",1902/04/10,760,0.9,27,1,30,15,69,E,1,CS,2,,,,,,,,,,,,,
1902,4,12,"Paso de los Libres",1902/04/12,760.9,3.6,17,-11,22,17,100,W,2,N,3,,,,,,,,,,,,,
1902,4,13,"Paso de los Libres",1902/04/13,759.5,-1.4,27,10,28,14,77,NE,1,K,1,,,,,,,,,,,,,
1902,4,14,"Paso de los Libres",1902/04/14,759.8,0.3,29,2,30,16,64,NE,2,K,1,,,,,,,,,,,,,
1902,4,16,"Paso de los Libres",1902/04/16,760.6,-0.7,26,-1,27,20,84,E,1,KS,3,,,,,,,,,,,,,
1902,4,19,"Paso de los Libres",1902/04/19,759.8,,27,,29,19,77,N,1,K,2,,,,,,,,,,,,,
1902,4,20,"Paso de los Libres",1902/04/20,758.2,-1.6,29,2,31,18,71,N,1,K,2,,,,,,,,,,,,,
1902,4,24,"Paso de los Libres",1902/04/24,763.2,-2.6,24,4,25,12,53,E,1,,0,,,,,,,,,,,,,
1902,4,26,"Paso de los Libres",1902/04/26,763.4,-0.3,26,1,27,15,69,E,1,,0,,,,,,,,,,,,,
1902,4,27,"Paso de los Libres",1902/04/27,763.3,-0.1,27,1,28,16,77,E,1,K,1,,,,,,,,,,,,,
1902,4,29,"Paso de los Libres",1902/04/29,763.9,-0.2,26,1,27,13,76,NE,1,K,2,,,,,,,,,,,,,
1902,5,3,"Paso de los Libres",1902/05/03,757,-2.7,26,-2,28,16,76,N,3,CS,3,,,,,,,,,,,,,
1902,5,4,"Paso de los Libres",1902/05/04,760.4,3.4,30,4,31,19,78,N,1,CK,1,,,,,,,,,,,,,
1902,5,6,"Paso de los Libres",1902/05/06,761.4,-0.3,21,-2,22,20,91,N,2,KN,3,,,,,,,,,,,,,
1902,5,8,"Paso de los Libres",1902/05/08,756.7,-2.1,28,1,29,19,63,N,2,K,2,,,,,,,,,,,,,
1902,5,16,"Paso de los Libres",1902/05/16,763.6,0.2,17,-2,18,9,90,E,2,N,3,,,,,,,,,,,,,
1902,5,17,"Paso de los Libres",1902/05/17,759,-4.6,18,1,18,14,90,S,2,SK,3,,,,,,,,,,,,,
1902,5,18,"Paso de los Libres",1902/05/18,762.5,3.5,22,4,22,13,74,,0,C,1,,,,,,,,,,,,,
1902,5,19,"Paso de los Libres",1902/05/19,763.4,0.9,22,0,22,11,82,N,2,C,2,,,,,,,,,,,,,
1902,5,20,"Paso de los Libres",1902/05/20,762.3,-1.1,23,1,24,11,83,N,1,,0,,,,,,,,,,,,,
1902,5,21,"Paso de los Libres",1902/05/21,761.2,-1.1,24,1,25,13,74,N,2,C,1,,,,,,,,,,,,,
1902,5,22,"Paso de los Libres",1902/05/22,761.8,0.6,24,0,25,13,83,N,1,CS,2,,,,,,,,,,,,,
1902,5,23,"Paso de los Libres",1902/05/23,761.7,-1.1,25,1,25,13,83,E,2,C,1,,,,,,,,,,,,,
1902,5,24,"Paso de los Libres",1902/05/24,759.7,-1,28,3,28,15,77,N,2,,0,,,,,,,,,,,,,
1902,5,25,"Paso de los Libres",1902/05/25,759.3,-0.4,28,0,29,18,60,N,2,K,1,,,,,,,,,,,,,
