YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Patagones,1902/02/21,759.8,1.3,28,1,29,16,17,NE,2,K,1,,,,,,,,,,,,,
1902,2,22,Patagones,1902/02/22,758.3,-1.5,33,5,34,14,39,N,1,K,2,,,,,,,,,,,,,
1902,2,23,Patagones,1902/02/23,755.6,-2.7,30,-3,31,15,25,SW,1,,0,,,,,,,,,,,,,
1902,2,24,Patagones,1902/02/24,750.4,-5.2,36,6,36,18,17,NW,1,S,1,,,,,,,,,,,,,
1902,2,25,Patagones,1902/02/25,756.5,6.1,25,-11,26,17,28,E,1,K,2,,,,,,,,,,,,,
1902,2,26,Patagones,1902/02/26,754.9,-1.6,23,-2,23,13,25,S,1,,0,,,,,,,,,,,,,
1902,2,27,Patagones,1902/02/27,753.2,-1.7,19,-4,19,13,23,SW,1,K,3,,,,,,,,,,,,,
1902,2,28,Patagones,1902/02/28,754.4,1.2,22,3,22,9,16,SW,2,K,3,,,,,,,,,,,,,
1902,3,1,Patagones,1902/03/01,758.4,4,22,0,23,10,29,SW,2,S,1,,,,,,,,,,,,,
1902,3,2,Patagones,1902/03/02,753.4,-5,25,3,25,14,34,N,2,K,2,,,,,,,,,,,,,
1902,3,3,Patagones,1902/03/03,754.4,1,21,-4,21,14,41,SW,1,K,3,,,,,,,,,,,,,
1902,3,4,Patagones,1902/03/04,755.4,1,20,-1,20,14,18,S,3,,0,,,,,,,,,,,,,
1902,3,5,Patagones,1902/03/05,761.4,6,23,3,25,10,31,SW,1,,0,,,,,,,,,,,,,
1902,3,6,Patagones,1902/03/06,758,-2.9,17,-6,17,13,70,N,1,K,2,,,,,,,,,,,,,
1902,3,7,Patagones,1902/03/07,759.5,1,20,3,23,11,72,E,2,N,2,,,,,,,,,,,,,
1902,3,8,Patagones,1902/03/08,760.5,1,19,-1,21,14,63,E,2,N,3,,,,,,,,,,,,,
1902,3,9,Patagones,1902/03/09,764.6,4.1,15,-4,16,12,89,SE,1,K,3,,,,,,,,,,,,,
1902,3,10,Patagones,1902/03/10,758.8,-5.8,16,1,17,10,59,NW,2,K,3,,,,,,,,,,,,,
1902,3,12,Patagones,1902/03/12,756.6,0,17,-5,19,15,80,SW,3,N,3,,,,,,,,,,,,,
1902,3,13,Patagones,1902/03/13,752.6,-4,18,1,20,13,71,SW,1,K,2,,,,,,,,,,,,,
1902,3,14,Patagones,1902/03/14,757.6,5,23,5,23,10,44,SW,1,K,1,,,,,,,,,,,,,
1902,3,15,Patagones,1902/03/15,755.4,-2.2,28,3,29,14,39,,,C,1,,,,,,,,,,,,,
1902,3,16,Patagones,1902/03/16,753.4,-2,26,-2,26,16,55,SW,1,K,3,,,,,,,,,,,,,
1902,3,19,Patagones,1902/03/19,759.2,9.1,19,-5,20,13,30,S,3,K,1,,,,,,,,,,,,,
1902,3,21,Patagones,1902/03/21,753.4,-10.1,27,6,28,13,31,W,2,S,1,,,,,,,,,,,,,
1902,3,22,Patagones,1902/03/22,756.1,2.7,27,0,27,13,37,SE,2,S,2,,,,,,,,,,,,,
1902,3,23,Patagones,1902/03/23,755,-1.1,32,5,32,13,33,NE,1,C,2,,,,,,,,,,,,,
1902,3,24,Patagones,1902/03/24,753.3,-1.7,31,-1,33,16,22,S,2,C,2,,,,,,,,,,,,,
