YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"Pico Salamanca",1902/02/21,,,25,5,28,4,11,NW,2,,0,,,,,,,,,,,,,
1902,2,22,"Pico Salamanca",1902/02/22,,,21,-4,23,9,27,W,2,S,1,,,,,,,,,,,,,
1902,2,23,"Pico Salamanca",1902/02/23,,,26,5,29,10,36,NW,3,K,2,,,,,,,,,,,,,
1902,2,24,"Pico Salamanca",1902/02/24,,,27,1,30,12,20,W,3,K,2,,,,,,,,,,,,,
1902,2,25,"Pico Salamanca",1902/02/25,,,18,-9,21,4,20,NW,3,K,2,,,,,,,,,,,,,
1902,2,26,"Pico Salamanca",1902/02/26,,,8,-10,10,4,86,NW,3,N,2,,,,,,,,,,,,,
1902,2,27,"Pico Salamanca",1902/02/27,,,9,1,11,3,61,SW,3,K,3,,,,,,,,,,,,,
1902,2,28,"Pico Salamanca",1902/02/28,,,12,3,15,0,22,SW,3,N,3,,,,,,,,,,,,,
1902,3,1,"Pico Salamanca",1902/03/01,,,14,2,17,-4,28,NW,2,K,3,,,,,,,,,,,,,
1902,3,2,"Pico Salamanca",1902/03/02,,,18,4,21,2,44,W,2,N,2,,,,,,,,,,,,,
1902,3,3,"Pico Salamanca",1902/03/03,,,21,3,23,6,20,W,2,,0,,,,,,,,,,,,,
1902,3,4,"Pico Salamanca",1902/03/04,,,13,-8,15,2,35,S,3,N,3,,,,,,,,,,,,,
1902,3,5,"Pico Salamanca",1902/03/05,,,17,4,20,1,26,SW,2,K,1,,,,,,,,,,,,,
1902,3,6,"Pico Salamanca",1902/03/06,,,14,-3,16,3,57,,0,N,2,,,,,,,,,,,,,
1902,3,7,"Pico Salamanca",1902/03/07,,,8,-6,10,4,86,NW,3,N,3,,,,,,,,,,,,,
1902,3,8,"Pico Salamanca",1902/03/08,,,7,-1,9,2,85,NW,3,N,3,,,,,,,,,,,,,
1902,3,9,"Pico Salamanca",1902/03/09,,,12,5,14,3,76,SW,2,N,2,,,,,,,,,,,,,
1902,3,10,"Pico Salamanca",1902/03/10,,,15,3,25,3,58,NW,2,K,2,,,,,,,,,,,,,
