YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"Pueblo Brugo",1902/02/21,755.8,-1,35,-1,37,20,46,SE,3,K,2,,,,,,,,,,,,,
1902,2,22,"Pueblo Brugo",1902/02/22,757.6,1.8,35,0,36,20,86,SE,3,K,1,,,,,,,,,,,,,
1902,2,23,"Pueblo Brugo",1902/02/23,760.2,2.6,36,1,36,20,47,SE,2,K,2,,,,,,,,,,,,,
1902,2,24,"Pueblo Brugo",1902/02/24,758.8,-1.4,37,1,38,19,75,NE,3,S,1,,,,,,,,,,,,,
1902,2,25,"Pueblo Brugo",1902/02/25,756.8,-2,36,-1,37,21,87,NE,2,C,1,,,,,,,,,,,,,
1902,2,26,"Pueblo Brugo",1902/02/26,752.8,-4,38,2,39,22,70,,,K,3,,,,,,,,,,,,,
1902,2,27,"Pueblo Brugo",1902/02/27,755.9,3.1,28,-10,28,17,92,SE,1,K,2,,,,,,,,,,,,,
1902,2,28,"Pueblo Brugo",1902/02/28,758.5,2.6,23,-5,30,17,83,S,3,S,3,,,,,,,,,,,,,
1902,3,1,"Pueblo Brugo",1902/03/01,760.4,1.9,32,9,32,16,38,SE,2,K,2,,,,,,,,,,,,,
1902,3,2,"Pueblo Brugo",1902/03/02,756.9,-3.5,35,3,35,22,62,NW,2,,0,,,,,,,,,,,,,
1902,3,3,"Pueblo Brugo",1902/03/03,757.2,0.3,34,-1,35,24,73,SE,1,C,1,,,,,,,,,,,,,
1902,3,4,"Pueblo Brugo",1902/03/04,754.8,-2.4,38,4,39,20,81,N,1,K,2,,,,,,,,,,,,,
1902,3,5,"Pueblo Brugo",1902/03/05,756.4,1.6,31,-7,32,24,79,S,3,S,2,,,,,,,,,,,,,
1902,3,6,"Pueblo Brugo",1902/03/06,757.2,0.8,35,4,35,19,62,SW,1,K,2,,,,,,,,,,,,,
1902,3,7,"Pueblo Brugo",1902/03/07,757.7,0.5,29,-6,30,23,78,E,2,S,3,,,,,,,,,,,,,
1902,3,8,"Pueblo Brugo",1902/03/08,759.3,1.6,25,-4,25,19,92,E,2,S,2,,,,,,,,,,,,,
1902,3,9,"Pueblo Brugo",1902/03/09,758.3,-1,33,8,34,21,62,W,1,K,1,,,,,,,,,,,,,
1902,3,10,"Pueblo Brugo",1902/03/10,759.2,0.9,35,-2,35,21,68,SE,1,K,1,,,,,,,,,,,,,
1902,3,12,"Pueblo Brugo",1902/03/12,754.6,-0.4,19,-17,29,14,100,SE,2,S,3,,,,,,,,,,,,,
1902,3,13,"Pueblo Brugo",1902/03/13,757.6,3,25,6,25,17,83,S,2,K,1,,,,,,,,,,,,,
1902,3,14,"Pueblo Brugo",1902/03/14,761.7,4.1,28,3,29,17,77,E,1,K,1,,,,,,,,,,,,,
1902,3,15,"Pueblo Brugo",1902/03/15,761.1,-0.6,31,3,32,19,79,N,2,K,1,,,,,,,,,,,,,
1902,3,16,"Pueblo Brugo",1902/03/16,759.3,-1.8,31,0,32,20,72,N,2,,1,,,,,,,,,,,,,
1902,3,19,"Pueblo Brugo",1902/03/19,757.4,,33,,33,19,86,N,1,S,3,,,,,,,,,,,,,
1902,3,21,"Pueblo Brugo",1902/03/21,761.9,-3.2,27,3,27,15,77,N,1,C,1,,,,,,,,,,,,,
1902,3,22,"Pueblo Brugo",1902/03/22,761,-0.9,32,5,33,17,72,N,1,K,1,,,,,,,,,,,,,
1902,3,23,"Pueblo Brugo",1902/03/23,761,0,33,1,34,18,67,N,1,K,1,,,,,,,,,,,,,
1902,3,24,"Pueblo Brugo",1902/03/24,758.9,-2.1,34,1,34,18,93,N,2,,0,,,,,,,,,,,,,
1902,3,25,"Pueblo Brugo",1902/03/25,757.9,-1,35,1,35,18,62,N,2,,0,,,,,,,,,,,,,
1902,3,26,"Pueblo Brugo",1902/03/26,759.4,1.5,23,-12,23,10,91,N,1,S,2,,,,,,,,,,,,,
1902,3,27,"Pueblo Brugo",1902/03/27,759.9,0.5,19,-4,19,10,100,S,2,S,3,,,,,,,,,,,,,
1902,3,30,"Pueblo Brugo",1902/03/30,762.4,-3.2,24,2,24,18,91,SW,1,K,2,,,,,,,,,,,,,
1902,3,31,"Pueblo Brugo",1902/03/31,756.2,-6.2,26,2,26,17,84,NE,2,K,2,,,,,,,,,,,,,
1902,4,2,"Pueblo Brugo",1902/04/02,759.5,2.8,27,2,27,14,69,SE,2,K,1,,,,,,,,,,,,,
1902,4,3,"Pueblo Brugo",1902/04/03,762.4,2.9,23,-4,27,14,91,NE,1,S,1,,,,,,,,,,,,,
1902,4,4,"Pueblo Brugo",1902/04/04,757.9,-4.5,28,5,29,14,77,S,1,K,2,,,,,,,,,,,,,
1902,4,5,"Pueblo Brugo",1902/04/05,759.1,1.2,25,-3,29,14,76,S,3,K,2,,,,,,,,,,,,,
1902,4,6,"Pueblo Brugo",1902/04/06,759.5,0.4,23,-2,25,14,83,S,2,K,1,,,,,,,,,,,,,
1902,4,7,"Pueblo Brugo",1902/04/07,759,-0.5,22,-1,25,13,82,S,3,K,2,,,,,,,,,,,,,
1902,4,8,"Pueblo Brugo",1902/04/08,758.1,-0.9,26,4,27,13,92,S,1,K,2,,,,,,,,,,,,,
1902,4,9,"Pueblo Brugo",1902/04/09,759.3,1.2,26,0,26,14,76,N,1,K,2,,,,,,,,,,,,,
1902,4,10,"Pueblo Brugo",1902/04/10,758.9,-0.4,27,1,27,13,69,,2,K,2,,,,,,,,,,,,,
1902,4,12,"Pueblo Brugo",1902/04/12,757.6,1.4,21,-5,22,15,82,S,2,K,2,,,,,,,,,,,,,
1902,4,13,"Pueblo Brugo",1902/04/13,759.3,,23,2,23,15,74,S,1,K,2,,,,,,,,,,,,,
1902,4,14,"Pueblo Brugo",1902/04/14,759,-0.3,26,3,26,14,92,N,1,K,2,,,,,,,,,,,,,
1902,4,16,"Pueblo Brugo",1902/04/16,759,-0.8,27,-1,29,15,84,NE,1,K,3,,,,,,,,,,,,,
1902,4,19,"Pueblo Brugo",1902/04/19,760.5,-0.6,25,-1,26,12,92,NE,1,K,1,,,,,,,,,,,,,
1902,4,20,"Pueblo Brugo",1902/04/20,756,-3.6,26,1,27,17,92,N,1,K,2,,,,,,,,,,,,,
1902,4,24,"Pueblo Brugo",1902/04/24,761.5,-4.2,23,2,23,9,83,N,3,,0,,,,,,,,,,,,,
1902,4,26,"Pueblo Brugo",1902/04/26,764.6,0.9,25,0,25,13,85,N,1,C,2,,,,,,,,,,,,,
1902,4,27,"Pueblo Brugo",1902/04/27,763,-1.6,26,1,23,26,,N,1,K,1,,,,,,,,,,,,,
1902,4,29,"Pueblo Brugo",1902/04/29,763.6,0.2,24,-1,25,11,67,N,2,K,1,,,,,,,,,,,,,
1902,5,3,"Pueblo Brugo",1902/05/03,754.2,,26,,27,10,76,N,1,C,2,,,,,,,,,,,,,
1902,5,4,"Pueblo Brugo",1902/05/04,758.9,4.7,27,1,28,13,69,NE,2,C,1,,,,,,,,,,,,,
1902,5,6,"Pueblo Brugo",1902/05/06,759.8,-0.8,24,-3,28,14,100,NE,1,C,2,,,,,,,,,,,,,
1902,5,8,"Pueblo Brugo",1902/05/08,754.2,-3.2,25,7,26,8,100,NW,1,K,3,,,,,,,,,,,,,
1902,5,16,"Pueblo Brugo",1902/05/16,765.5,-0.3,18,0,18,6,80,NE,3,C,2,,,,,,,,,,,,,
1902,5,17,"Pueblo Brugo",1902/05/17,762.4,-3.2,19,1,19,14,81,SE,2,K,1,,,,,,,,,,,,,
1902,5,18,"Pueblo Brugo",1902/05/18,763.2,0.8,18,-1,26,8,90,N,1,K,1,,,,,,,,,,,,,
1902,5,19,"Pueblo Brugo",1902/05/19,762.3,-0.9,20,2,20,7,91,NE,1,C,1,,,,,,,,,,,,,
1902,5,20,"Pueblo Brugo",1902/05/20,760.4,-1.9,22,2,22,7,91,N,1,C,1,,,,,,,,,,,,,
1902,5,21,"Pueblo Brugo",1902/05/21,760.5,0.1,23,1,23,13,67,N,1,C,2,,,,,,,,,,,,,
1902,5,22,"Pueblo Brugo",1902/05/22,760.3,-0.2,24,1,24,12,83,N,1,,0,,,,,,,,,,,,,
1902,5,23,"Pueblo Brugo",1902/05/23,759.4,-0.9,23,-1,25,12,87,N,1,C,1,,,,,,,,,,,,,
1902,5,24,"Pueblo Brugo",1902/05/24,757.6,-1.8,24,1,25,12,83,N,2,C,1,,,,,,,,,,,,,
1902,5,25,"Pueblo Brugo",1902/05/25,756.9,-0.7,26,2,26,14,84,N,2,C,2,,,,,,,,,,,,,
1902,5,26,"Pueblo Brugo",1902/05/26,756.5,-0.4,26,0,27,20,92,N,1,C,1,,,,,,,,,,,,,
1902,5,27,"Pueblo Brugo",1902/05/27,753.4,-3.1,24,-2,27,18,83,SW,2,K,3,,,,,,,,,,,,,
1902,5,28,"Pueblo Brugo",1902/05/28,763.5,10.1,15,-9,21,10,68,S,1,K,1,,,,,,,,,,,,,
1902,5,29,"Pueblo Brugo",1902/05/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,30,"Pueblo Brugo",1902/05/30,760.9,,16,,19,4,69,E,1,K,3,,,,,,,,,,,,,
1902,5,31,"Pueblo Brugo",1902/05/31,759.8,-1.1,20,4,20,9,91,N,1,K,2,,,,,,,,,,,,,
1902,6,1,"Pueblo Brugo",1902/06/01,756.8,-3,21,1,22,9,91,N,2,K,3,,,,,,,,,,,,,
1902,6,2,"Pueblo Brugo",1902/06/02,750.9,-5.9,23,2,23,9,91,NW,3,K,2,,,,,,,,,,,,,
1902,6,3,"Pueblo Brugo",1902/06/03,759.1,8.2,17,-6,22,9,61,S,2,K,3,,,,,,,,,,,,,
1902,6,4,"Pueblo Brugo",1902/06/04,761.5,1.4,14,-3,16,9,78,SE,3,C,1,,,,,,,,,,,,,
1902,6,5,"Pueblo Brugo",1902/06/05,764.3,1.8,15,1,17,2,78,S,1,C,1,,,,,,,,,,,,,
1902,6,6,"Pueblo Brugo",1902/06/06,762,-2.3,15,0,15,3,78,SW,1,C,2,,,,,,,,,,,,,
1902,6,7,"Pueblo Brugo",1902/06/07,762.1,0.1,16,1,17,5,79,S,2,,0,,,,,,,,,,,,,
1902,6,8,"Pueblo Brugo",1902/06/08,763.5,1.4,14,-2,15,-2,78,NE,2,,0,,,,,,,,,,,,,
1902,6,9,"Pueblo Brugo",1902/06/09,764.2,0.7,17,3,17,4,80,NE,2,C,2,,,,,,,,,,,,,
1902,6,10,"Pueblo Brugo",1902/06/10,756.1,-8.1,19,2,20,4,90,NE,2,K,3,,,,,,,,,,,,,
1902,6,11,"Pueblo Brugo",1902/06/11,755.9,-0.2,18,-1,19,17,100,SW,2,K,2,,,,,,,,,,,,,
1902,6,12,"Pueblo Brugo",1902/06/12,760.9,5,18,0,20,10,71,E,2,C,1,,,,,,,,,,,,,
1902,6,13,"Pueblo Brugo",1902/06/13,763.6,2.7,17,-1,18,7,90,NE,2,K,1,,,,,,,,,,,,,
1902,6,14,"Pueblo Brugo",1902/06/14,763.6,2.7,17,-1,18,7,90,NE,2,K,1,,,,,,,,,,,,,
1902,6,15,"Pueblo Brugo",1902/06/15,756.2,-6.9,26,8,27,7,76,N,2,C,1,,,,,,,,,,,,,
1902,6,16,"Pueblo Brugo",1902/06/16,752.8,-3.4,25,-1,26,17,100,N,1,C,2,,,,,,,,,,,,,
1902,6,17,"Pueblo Brugo",1902/06/17,750.3,-2.5,25,0,25,19,92,N,2,K,1,,,,,,,,,,,,,
1902,6,18,"Pueblo Brugo",1902/06/18,755.2,4.9,16,-9,18,7,89,SW,2,S,3,,,,,,,,,,,,,
1902,6,19,"Pueblo Brugo",1902/06/19,761,5.8,17,-9,19,2,70,S,3,,0,,,,,,,,,,,,,
1902,6,20,"Pueblo Brugo",1902/06/20,764.9,3.9,15,-2,17,10,78,S,3,K,2,,,,,,,,,,,,,
1902,6,21,"Pueblo Brugo",1902/06/21,766.1,1.2,13,-2,17,3,77,E,3,C,2,,,,,,,,,,,,,
1902,6,22,"Pueblo Brugo",1902/06/22,765.5,-0.6,15,2,15,6,78,SE,1,K,1,,,,,,,,,,,,,
1902,6,23,"Pueblo Brugo",1902/06/23,767.2,2.6,17,2,18,4,90,E,1,K,2,,,,,,,,,,,,,
1902,6,24,"Pueblo Brugo",1902/06/24,766.5,-0.6,18,1,19,4,90,E,2,K,1,,,,,,,,,,,,,
1902,6,25,"Pueblo Brugo",1902/06/25,761.3,-5.2,21,3,21,5,91,NE,2,S,3,,,,,,,,,,,,,
