YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"Puerto Militar",1902/02/21,760.8,0.4,22,-3,24,17,91,E,2,N,2,,,,,,,,,,,,,
1902,2,22,"Puerto Militar",1902/02/22,760.7,-0.1,29,7,31,14,52,SE,1,K,1,,,,,,,,,,,,,
1902,2,23,"Puerto Militar",1902/02/23,758.6,-2.1,34,5,35,14,40,W,2,,0,,,,,,,,,,,,,
1902,2,24,"Puerto Militar",1902/02/24,753.4,-5.2,38,4,40,18,40,W,2,,0,,,,,,,,,,,,,
1902,2,25,"Puerto Militar",1902/02/25,758.4,5,23,-15,26,19,83,E,3,N,2,,,,,,,,,,,,,
1902,2,26,"Puerto Militar",1902/02/26,757.2,-1.2,24,1,26,12,39,E,1,,0,,,,,,,,,,,,,
1902,2,27,"Puerto Militar",1902/02/27,755.6,-1.6,23,-1,24,12,44,S,3,,,,,,,,,,,,,,,
1902,2,28,"Puerto Militar",1902/02/28,757.5,1.9,24,1,25,7,39,W,3,,0,,,,,,,,,,,,,
1902,3,1,"Puerto Militar",1902/03/01,762.2,3.7,26,2,27,7,30,,0,,0,,,,,,,,,,,,,
1902,3,2,"Puerto Militar",1902/03/02,767.2,-4,25,-1,26,13,54,W,1,K,2,,,,,,,,,,,,,
1902,3,3,"Puerto Militar",1902/03/03,757.6,0.4,23,-2,25,14,66,,0,,,,,,,,,,,,,,,
1902,3,4,"Puerto Militar",1902/03/04,757.5,-0.1,24,1,25,11,46,W,1,C,1,,,,,,,,,,,,,
1902,3,5,"Puerto Militar",1902/03/05,,,22,-2,24,9,43,SE,1,,0,,,,,,,,,,,,,
1902,3,6,"Puerto Militar",1902/03/06,763,,20,-2,22,12,47,,0,N,3,,,,,,,,,,,,,
1902,3,7,"Puerto Militar",1902/03/07,762.5,-0.5,23,3,24,7,52,E,2,N,2,,,,,,,,,,,,,
1902,3,8,"Puerto Militar",1902/03/08,762.1,-0.4,26,3,27,6,42,S,1,N,3,,,,,,,,,,,,,
1902,3,9,"Puerto Militar",1902/03/09,,,16,-10,18,,89,E,3,N,3,,,,,,,,,,,,,
1902,3,10,"Puerto Militar",1902/03/10,763.8,,21,5,22,11,57,S,1,C,2,,,,,,,,,,,,,
1902,3,12,"Puerto Militar",1902/03/12,757.8,-1.9,22,-2,23,14,58,S,1,N,2,,,,,,,,,,,,,
1902,3,13,"Puerto Militar",1902/03/13,757.1,-0.7,20,-2,21,12,55,E,3,N,3,,,,,,,,,,,,,
1902,3,14,"Puerto Militar",1902/03/14,761.6,4.5,24,4,25,12,33,SW,1,K,1,,,,,,,,,,,,,
1902,3,15,"Puerto Militar",1902/03/15,758.3,-3.3,26,2,30,12,48,SW,1,N,2,,,,,,,,,,,,,
1902,3,16,"Puerto Militar",1902/03/16,757.7,-0.6,25,-1,26,16,83,NW,3,N,2,,,,,,,,,,,,,
1902,3,19,"Puerto Militar",1902/03/19,761.8,7.3,22,-5,23,13,43,S,1,,0,,,,,,,,,,,,,
1902,3,21,"Puerto Militar",1902/03/21,756.6,-11.2,25,5,26,7,47,W,3,,0,,,,,,,,,,,,,
1902,3,22,"Puerto Militar",1902/03/22,757.8,1.2,31,6,32,7,27,,0,,0,,,,,,,,,,,,,
1902,3,23,"Puerto Militar",1902/03/23,755.7,-2.1,33,2,34,15,30,,0,N,3,,,,,,,,,,,,,
1902,3,24,"Puerto Militar",1902/03/24,753.6,-2.1,33,0,34,19,30,SW,3,K,1,,,,,,,,,,,,,
1902,3,25,"Puerto Militar",1902/03/25,762.3,8.7,15,-18,18,11,78,E,3,N,3,,,,,,,,,,,,,
