YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Quiaca,1902/02/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,22,Quiaca,1902/02/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,23,Quiaca,1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,Quiaca,1902/02/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,25,Quiaca,1902/02/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,26,Quiaca,1902/02/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,27,Quiaca,1902/02/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,28,Quiaca,1902/02/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,1,Quiaca,1902/03/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,2,Quiaca,1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,Quiaca,1902/03/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,4,Quiaca,1902/03/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,5,Quiaca,1902/03/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,6,Quiaca,1902/03/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,7,Quiaca,1902/03/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,8,Quiaca,1902/03/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,9,Quiaca,1902/03/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,10,Quiaca,1902/03/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,12,Quiaca,1902/03/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,13,Quiaca,1902/03/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,14,Quiaca,1902/03/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,15,Quiaca,1902/03/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,16,Quiaca,1902/03/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,19,Quiaca,1902/03/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,21,Quiaca,1902/03/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,22,Quiaca,1902/03/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,23,Quiaca,1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,Quiaca,1902/03/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,25,Quiaca,1902/03/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,26,Quiaca,1902/03/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,27,Quiaca,1902/03/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,30,Quiaca,1902/03/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,31,Quiaca,1902/03/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,2,Quiaca,1902/04/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,3,Quiaca,1902/04/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,4,Quiaca,1902/04/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,5,Quiaca,1902/04/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,6,Quiaca,1902/04/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,7,Quiaca,1902/04/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,8,Quiaca,1902/04/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,9,Quiaca,1902/04/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,10,Quiaca,1902/04/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,12,Quiaca,1902/04/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,13,Quiaca,1902/04/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,14,Quiaca,1902/04/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,16,Quiaca,1902/04/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,19,Quiaca,1902/04/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,20,Quiaca,1902/04/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,24,Quiaca,1902/04/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,26,Quiaca,1902/04/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,27,Quiaca,1902/04/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,29,Quiaca,1902/04/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,3,Quiaca,1902/05/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,4,Quiaca,1902/05/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,6,Quiaca,1902/05/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,8,Quiaca,1902/05/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,16,Quiaca,1902/05/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,17,Quiaca,1902/05/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,18,Quiaca,1902/05/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,19,Quiaca,1902/05/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,20,Quiaca,1902/05/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,21,Quiaca,1902/05/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,22,Quiaca,1902/05/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,23,Quiaca,1902/05/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,24,Quiaca,1902/05/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,25,Quiaca,1902/05/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,26,Quiaca,1902/05/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,27,Quiaca,1902/05/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,28,Quiaca,1902/05/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,29,Quiaca,1902/05/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,30,Quiaca,1902/05/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,31,Quiaca,1902/05/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,1,Quiaca,1902/06/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,2,Quiaca,1902/06/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,3,Quiaca,1902/06/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,4,Quiaca,1902/06/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,5,Quiaca,1902/06/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,6,Quiaca,1902/06/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,7,Quiaca,1902/06/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,8,Quiaca,1902/06/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,9,Quiaca,1902/06/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,10,Quiaca,1902/06/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,11,Quiaca,1902/06/11,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,12,Quiaca,1902/06/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,13,Quiaca,1902/06/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,14,Quiaca,1902/06/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,15,Quiaca,1902/06/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,16,Quiaca,1902/06/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,17,Quiaca,1902/06/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,18,Quiaca,1902/06/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,19,Quiaca,1902/06/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,20,Quiaca,1902/06/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,21,Quiaca,1902/06/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,22,Quiaca,1902/06/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,23,Quiaca,1902/06/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,24,Quiaca,1902/06/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,25,Quiaca,1902/06/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,26,Quiaca,1902/06/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,27,Quiaca,1902/06/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,28,Quiaca,1902/06/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,29,Quiaca,1902/06/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,30,Quiaca,1902/06/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,1,Quiaca,1902/07/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,2,Quiaca,1902/07/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,4,Quiaca,1902/07/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,5,Quiaca,1902/07/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,6,Quiaca,1902/07/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,7,Quiaca,1902/07/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,8,Quiaca,1902/07/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,9,Quiaca,1902/07/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,10,Quiaca,1902/07/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,11,Quiaca,1902/07/11,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,12,Quiaca,1902/07/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,13,Quiaca,1902/07/13,,,19,,19,-6,2,N,1,C,1,,,,,,,,,,,,,
1902,7,14,Quiaca,1902/07/14,,,18,-1,18,-4,6,N,2,C,1,,,,,,,,,,,,,
1902,7,15,Quiaca,1902/07/15,,,17,-1,17,-6,3,N,2,CK,1,,,,,,,,,,,,,
1902,7,16,Quiaca,1902/07/16,,,16,-1,16,-4,7,N,2,CK,2,,,,,,,,,,,,,
1902,7,17,Quiaca,1902/07/17,,,15,-1,16,-1,13,S,3,CK,2,,,,,,,,,,,,,
1902,7,18,Quiaca,1902/07/18,,,13,-2,14,-4,6,N,2,C,3,,,,,,,,,,,,,
1902,7,19,Quiaca,1902/07/19,,,16,3,16,-5,15,S,3,CN,2,,,,,,,,,,,,,
1902,7,20,Quiaca,1902/07/20,,,15,-1,15,-5,13,N,2,CK,2,,,,,,,,,,,,,
1902,7,21,Quiaca,1902/07/21,,,15,0,15,-9,4,,0,CK,1,,,,,,,,,,,,,
1902,7,23,Quiaca,1902/07/23,,,12,-2,15,-7,22,S,2,CK,2,,,,,,,,,,,,,
1902,7,24,Quiaca,1902/07/24,,,14,2,15,-5,18,,0,C,1,,,,,,,,,,,,,
1902,7,25,Quiaca,1902/07/25,,,16,2,16,-8,15,N,1,CK,1,,,,,,,,,,,,,
1902,7,26,Quiaca,1902/07/26,,,18,2,19,-4,100,N,3,CK,1,,,,,,,,,,,,,
1902,7,27,Quiaca,1902/07/27,,,15,-3,17,-3,68,N,2,K,2,,,,,,,,,,,,,
1902,7,28,Quiaca,1902/07/28,,,14,-1,17,-3,67,N,3,CK,2,,,,,,,,,,,,,
1902,7,29,Quiaca,1902/07/29,,,16,2,16,-10,50,NE,2,,0,,,,,,,,,,,,,
1902,7,30,Quiaca,1902/07/30,,,16,0,16,-11,15,E,2,,0,,,,,,,,,,,,,
