YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Quilino,1902/02/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,22,Quilino,1902/02/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,23,Quilino,1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,Quilino,1902/02/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,25,Quilino,1902/02/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,26,Quilino,1902/02/26,,,34,,35,22,31,N,2,NK,2,,,,,,,,,,,,,
1902,2,27,Quilino,1902/02/27,,,35,1,36,22,28,N,1,K,1,,,,,,,,,,,,,
1902,2,28,Quilino,1902/02/28,,,35,0,36,25,37,N,1,NK,1,,,,,,,,,,,,,
1902,3,1,Quilino,1902/03/01,,,36,1,36,26,33,N,1,N,2,,,,,,,,,,,,,
1902,3,2,Quilino,1902/03/02,,,21,-15,22,18,73,S,1,KN,3,,,,,,,,,,,,,
1902,3,3,Quilino,1902/03/03,,,20,-1,20,15,72,E,1,KN,3,,,,,,,,,,,,,
1902,3,4,Quilino,1902/03/04,,,23,-1,25,12,52,NE,1,K,2,,,,,,,,,,,,,
1902,3,5,Quilino,1902/03/05,,,26,3,26,13,42,NE,1,SK,2,,,,,,,,,,,,,
1902,3,6,Quilino,1902/03/06,,,30,,30,14,41,NE,2,K,2,,,,,,,,,,,,,
1902,3,7,Quilino,1902/03/07,,,28,-2,28,19,51,SE,1,K,1,,,,,,,,,,,,,
1902,3,8,Quilino,1902/03/08,,,26,-2,26,15,55,SE,1,KN,1,,,,,,,,,,,,,
1902,3,9,Quilino,1902/03/09,,,30,4,30,13,36,SE,1,K,2,,,,,,,,,,,,,
1902,3,10,Quilino,1902/03/10,,,28,-2,29,12,39,,0,,0,,,,,,,,,,,,,
1902,3,12,Quilino,1902/03/12,,,27,-1,27,11,49,,0,NK,1,,,,,,,,,,,,,
1902,3,13,Quilino,1902/03/13,,,26,-1,28,11,55,,0,NK,3,,,,,,,,,,,,,
1902,3,14,Quilino,1902/03/14,,,29,3,30,14,40,N,1,KN,2,,,,,,,,,,,,,
1902,3,15,Quilino,1902/03/15,,,26,-3,28,16,55,NE,2,CK,2,,,,,,,,,,,,,
1902,3,16,Quilino,1902/03/16,,,25,-3,26,15,61,W,1,KS,2,,,,,,,,,,,,,
1902,3,19,Quilino,1902/03/19,,,24,-1,24,13,60,SE,1,KS,3,,,,,,,,,,,,,
1902,3,21,Quilino,1902/03/21,,,26,2,27,18,69,N,1,KN,2,,,,,,,,,,,,,
1902,3,22,Quilino,1902/03/22,,,25,1,26,20,76,E,1,KN,3,,,,,,,,,,,,,
1902,3,23,Quilino,1902/03/23,,,25,-4,26,17,76,,0,KN,3,,,,,,,,,,,,,
1902,3,24,Quilino,1902/03/24,,,28,3,29,16,63,N,1,SK,1,,,,,,,,,,,,,
1902,3,25,Quilino,1902/03/25,,,26,2,26,11,42,N,2,C,1,,,,,,,,,,,,,
1902,3,26,Quilino,1902/03/26,,,27,1,27,13,37,N,1,S,2,,,,,,,,,,,,,
1902,3,27,Quilino,1902/03/27,,,28,1,28,19,51,NE,1,NK,1,,,,,,,,,,,,,
1902,3,30,Quilino,1902/03/30,,,27,1,28,20,56,NE,1,CK,1,,,,,,,,,,,,,
1902,3,31,Quilino,1902/03/31,,,30,4,31,18,53,E,1,KN,1,,,,,,,,,,,,,
1902,4,2,Quilino,1902/04/02,,,27,-3,28,15,56,SE,2,K,1,,,,,,,,,,,,,
1902,4,3,Quilino,1902/04/03,,,27,-2,29,18,69,SE,1,KN,2,,,,,,,,,,,,,
1902,4,4,Quilino,1902/04/04,,,27,1,28,22,69,SE,1,CK,1,,,,,,,,,,,,,
1902,4,5,Quilino,1902/04/05,,,21,3,21,6,49,S,1,SK,2,,,,,,,,,,,,,
1902,4,6,Quilino,1902/04/06,,,22,1,22,8,58,,0,C,1,,,,,,,,,,,,,
1902,4,7,Quilino,1902/04/07,,,24,2,24,4,60,NE,1,,0,,,,,,,,,,,,,
1902,4,8,Quilino,1902/04/08,,,27,3,27,7,49,N,1,,0,,,,,,,,,,,,,
1902,4,9,Quilino,1902/04/09,,,26,-1,27,7,69,N,2,C,1,,,,,,,,,,,,,
1902,4,10,Quilino,1902/04/10,,,28,2,28,15,63,N,1,CK,1,,,,,,,,,,,,,
1902,4,12,Quilino,1902/04/12,,,29,1,29,14,58,NW,1,K,1,,,,,,,,,,,,,
1902,4,13,Quilino,1902/04/13,,,29,0,29,16,64,N,1,,0,,,,,,,,,,,,,
1902,4,14,Quilino,1902/04/14,,,28,-1,28,14,70,N,2,C,1,,,,,,,,,,,,,
1902,4,16,Quilino,1902/04/16,,,29,1,30,18,64,N,2,C,1,,,,,,,,,,,,,
1902,4,19,Quilino,1902/04/19,,,30,1,30,19,65,NE,1,C,1,,,,,,,,,,,,,
1902,4,20,Quilino,1902/04/20,,,26,-4,,10,,SW,1,CK,1,,,,,,,,,,,,,
1902,4,24,Quilino,1902/04/24,,,15,-11,15,11,78,E,1,SK,2,,,,,,,,,,,,,
1902,4,26,Quilino,1902/04/26,,,17,2,17,6,61,SW,1,SK,2,,,,,,,,,,,,,
1902,4,27,Quilino,1902/04/27,,,17,0,18,8,70,N,1,SK,2,,,,,,,,,,,,,
1902,4,29,Quilino,1902/04/29,,,22,5,23,6,82,NE,1,C,1,,,,,,,,,,,,,
1902,5,3,Quilino,1902/05/03,,,24,2,24,8,75,N,1,C,1,,,,,,,,,,,,,
1902,5,4,Quilino,1902/05/04,,,28,4,28,9,77,N,1,CS,2,,,,,,,,,,,,,
1902,5,6,Quilino,1902/05/06,,,18,-10,18,13,80,SE,2,C,1,,,,,,,,,,,,,
1902,5,8,Quilino,1902/05/08,,,16,-2,16,6,79,SE,1,C,1,,,,,,,,,,,,,
1902,5,16,Quilino,1902/05/16,,,17,1,18,-2,80,N,1,CS,1,,,,,,,,,,,,,
1902,5,17,Quilino,1902/05/17,,,19,2,19,1,81,,0,C,2,,,,,,,,,,,,,
1902,5,18,Quilino,1902/05/18,,,20,1,21,5,72,,0,S,2,,,,,,,,,,,,,
1902,5,19,Quilino,1902/05/19,,,18,-2,21,2,80,NE,2,S,1,,,,,,,,,,,,,
1902,5,20,Quilino,1902/05/20,,,21,3,21,-1,73,N,1,CS,2,,,,,,,,,,,,,
1902,5,21,Quilino,1902/05/21,,,22,1,22,6,74,NE,3,CS,1,,,,,,,,,,,,,
1902,5,22,Quilino,1902/05/22,,,23,1,23,12,74,SE,1,K,2,,,,,,,,,,,,,
1902,5,23,Quilino,1902/05/23,,,24,1,24,6,67,,0,S,1,,,,,,,,,,,,,
1902,5,24,Quilino,1902/05/24,,,18,-6,20,7,90,NE,1,KS,3,,,,,,,,,,,,,
1902,5,25,Quilino,1902/05/25,,,18,-6,20,7,90,NE,1,KS,3,,,,,,,,,,,,,
1902,5,26,Quilino,1902/05/26,,,26,2,27,19,92,N,1,SK,2,,,,,,,,,,,,,
1902,5,27,Quilino,1902/05/27,,,27,1,27,16,69,N,2,CS,2,,,,,,,,,,,,,
1902,5,28,Quilino,1902/05/28,,,29,2,29,15,64,,0,CK,1,,,,,,,,,,,,,
1902,5,29,Quilino,1902/05/29,,,21,-6,29,14,59,,0,S,1,,,,,,,,,,,,,
