YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"RIO NEGRO-Roca",1902/02/21,757.4,-0.5,31,-1,32,16,37,E,3,C,2,,,,,,,,,,,,,
1902,2,22,"RIO NEGRO-Roca",1902/02/22,758,0.6,31,0,33,16,22,SE,2,C,1,,,,,,,,,,,,,
1902,2,23,"RIO NEGRO-Roca",1902/02/23,756.8,-1.2,33,2,34,15,21,,0,,0,,,,,,,,,,,,,
1902,2,24,"RIO NEGRO-Roca",1902/02/24,754,-2.8,35,2,36,16,24,SW,2,C,1,,,,,,,,,,,,,
1902,2,25,"RIO NEGRO-Roca",1902/02/25,756.4,2.4,26,-9,28,16,30,SW,1,S,1,,,,,,,,,,,,,
1902,2,26,"RIO NEGRO-Roca",1902/02/26,756.8,0.4,24,-2,28,11,14,,0,,,,,,,,,,,,,,,
1902,2,27,"RIO NEGRO-Roca",1902/02/27,757.4,-0.6,22,-2,26,13,22,S,3,C,1,,,,,,,,,,,,,
1902,2,28,"RIO NEGRO-Roca",1902/02/28,757.4,0,23,1,25,9,25,S,3,C,1,,,,,,,,,,,,,
1902,3,1,"RIO NEGRO-Roca",1902/03/01,758.2,0.8,24,1,25,6,14,N,1,S,1,,,,,,,,,,,,,
1902,3,2,"RIO NEGRO-Roca",1902/03/02,755.5,-2.7,26,2,27,12,24,,0,C,1,,,,,,,,,,,,,
1902,3,3,"RIO NEGRO-Roca",1902/03/03,755.5,0,23,-3,28,13,37,,0,K,3,,,,,,,,,,,,,
1902,3,4,"RIO NEGRO-Roca",1902/03/04,757.9,2.4,23,0,24,14,23,S,2,S,1,,,,,,,,,,,,,
1902,3,5,"RIO NEGRO-Roca",1902/03/05,759.5,1.6,23,0,24,12,25,SE,1,C,1,,,,,,,,,,,,,
1902,3,6,"RIO NEGRO-Roca",1902/03/06,757.1,-2.4,27,4,27,16,70,W,3,S,1,,,,,,,,,,,,,
1902,3,7,"RIO NEGRO-Roca",1902/03/07,760.6,3.5,20,-7,29,12,72,,0,K,3,,,,,,,,,,,,,
1902,3,8,"RIO NEGRO-Roca",1902/03/08,757.6,-3,21,1,21,13,65,E,1,K,3,,,,,,,,,,,,,
1902,3,9,"RIO NEGRO-Roca",1902/03/09,765.1,7.5,14,-7,21,1,89,E,1,K,3,,,,,,,,,,,,,
1902,3,10,"RIO NEGRO-Roca",1902/03/10,759,-6.1,18,4,18,13,90,,0,K,3,,,,,,,,,,,,,
1902,3,12,"RIO NEGRO-Roca",1902/03/12,756.7,0.4,21,2,22,13,65,SW,1,C,2,,,,,,,,,,,,,
1902,3,13,"RIO NEGRO-Roca",1902/03/13,757.4,-0.7,24,3,24,13,33,SW,2,C,2,,,,,,,,,,,,,
