YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Recreo,1902/02/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,22,Recreo,1902/02/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,23,Recreo,1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,Recreo,1902/02/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,25,Recreo,1902/02/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,26,Recreo,1902/02/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,27,Recreo,1902/02/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,28,Recreo,1902/02/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,1,Recreo,1902/03/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,2,Recreo,1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,Recreo,1902/03/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,4,Recreo,1902/03/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,5,Recreo,1902/03/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,6,Recreo,1902/03/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,7,Recreo,1902/03/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,8,Recreo,1902/03/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,9,Recreo,1902/03/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,10,Recreo,1902/03/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,12,Recreo,1902/03/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,13,Recreo,1902/03/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,14,Recreo,1902/03/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,15,Recreo,1902/03/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,16,Recreo,1902/03/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,19,Recreo,1902/03/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,21,Recreo,1902/03/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,22,Recreo,1902/03/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,23,Recreo,1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,Recreo,1902/03/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,25,Recreo,1902/03/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,26,Recreo,1902/03/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,27,Recreo,1902/03/27,,,24,,24,15,53,S,1,SK,3,,,,,,,,,,,,,
1902,3,30,Recreo,1902/03/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,31,Recreo,1902/03/31,755.3,,27,,28,12,56,N,3,KS,2,,,,,,,,,,,,,
1902,4,2,Recreo,1902/04/02,,,33,0,34,15,34,SE,3,S,1,,,,,,,,,,,,,
1902,4,3,Recreo,1902/04/03,,,26,-7,26,19,69,SE,1,KC,2,,,,,,,,,,,,,
1902,4,4,Recreo,1902/04/04,760.2,,26,0,26,19,62,S,3,K,3,,,,,,,,,,,,,
1902,4,5,Recreo,1902/04/05,761,0.8,30,4,30,18,47,S,1,K,2,,,,,,,,,,,,,
1902,4,6,Recreo,1902/04/06,762.7,1.7,26,-4,30,15,62,,0,K,1,,,,,,,,,,,,,
1902,4,7,Recreo,1902/04/07,760.6,-2.1,27,1,27,16,49,N,1,C,1,,,,,,,,,,,,,
1902,4,8,Recreo,1902/04/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,9,Recreo,1902/04/09,757.1,,32,,32,17,49,SE,2,SK,2,,,,,,,,,,,,,
1902,4,10,Recreo,1902/04/10,756.6,-0.5,27,-5,28,18,63,N,3,CK,3,,,,,,,,,,,,,
1902,4,12,Recreo,1902/04/12,758.6,4.9,27,-4,28,20,63,,0,K,1,,,,,,,,,,,,,
1902,4,13,Recreo,1902/04/13,757.4,-1.2,29,2,30,15,58,SE,2,NK,1,,,,,,,,,,,,,
1902,4,14,Recreo,1902/04/14,757.2,-0.2,26,-3,27,17,76,N,3,KS,2,,,,,,,,,,,,,
1902,4,16,Recreo,1902/04/16,757.4,-2.2,23,-6,24,21,100,SE,1,N,3,,,,,,,,,,,,,
1902,4,19,Recreo,1902/04/19,759.6,-1.5,27,0,28,21,84,N,3,S,2,,,,,,,,,,,,,
1902,4,20,Recreo,1902/04/20,753.6,-6,32,5,33,19,49,N,3,K,1,,,,,,,,,,,,,
1902,4,24,Recreo,1902/04/24,758.5,-5.2,27,2,27,12,43,N,3,,0,,,,,,,,,,,,,
1902,4,26,Recreo,1902/04/26,761.7,2,27,-1,28,17,49,E,1,CK,2,,,,,,,,,,,,,
1902,4,27,Recreo,1902/04/27,759.7,-2,28,1,,17,44,E,1,S,1,,,,,,,,,,,,,
1902,4,29,Recreo,1902/04/29,760.9,-1.4,28,-2,30,20,51,NE,2,SK,2,,,,,,,,,,,,,
1902,5,3,Recreo,1902/05/03,752.8,-0.6,31,2,31,16,42,,0,,0,,,,,,,,,,,,,
1902,5,4,Recreo,1902/05/04,756.9,4.1,30,-1,30,13,47,NE,2,,0,,,,,,,,,,,,,
1902,5,6,Recreo,1902/05/06,760.8,1,25,-5,26,19,76,SW,1,C,2,,,,,,,,,,,,,
1902,5,8,Recreo,1902/05/08,754.1,1.1,27,-1,28,18,56,SE,2,S,1,,,,,,,,,,,,,
1902,5,16,Recreo,1902/05/16,767.8,3.4,22,1,22,9,50,S,2,S,1,,,,,,,,,,,,,
1902,5,17,Recreo,1902/05/17,762.4,-5.7,24,2,24,6,39,W,1,,0,,,,,,,,,,,,,
1902,5,18,Recreo,1902/05/18,760.9,-1.2,26,2,,6,36,W,2,,0,,,,,,,,,,,,,
1902,5,19,Recreo,1902/05/19,760.3,-0.6,26,0,,6,41,W,1,,0,,,,,,,,,,,,,
