YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"Rio Quartro",1902/02/21,760.1,1.6,29,5,30,14,58,,,K,1,,,,,,,,,,,,,
1902,2,22,"Rio Quartro",1902/02/22,758.4,-1.7,30,1,30,15,36,,,K,1,,,,,,,,,,,,,
1902,2,23,"Rio Quartro",1902/02/23,756.6,-1.8,29,-1,30,16,64,,,,0,,,,,,,,,,,,,
1902,2,24,"Rio Quartro",1902/02/24,762,8.8,23,-10,25,16,37,,,N,2,,,,,,,,,,,,,
1902,2,25,"Rio Quartro",1902/02/25,757.3,-8.8,30,9,31,,41,,,,0,,,,,,,,,,,,,
1902,2,26,"Rio Quartro",1902/02/26,757.4,0.1,34,4,35,16,36,,,K,1,,,,,,,,,,,,,
1902,2,27,"Rio Quartro",1902/02/27,758.1,0.7,33,-1,34,18,44,,,,0,,,,,,,,,,,,,
1902,2,28,"Rio Quartro",1902/02/28,755.1,-3,33,0,34,20,39,,,K,1,,,,,,,,,,,,,
1902,3,1,"Rio Quartro",1902/03/01,754.7,-0.4,31,-2,34,20,53,,,N,3,,,,,,,,,,,,,
1902,3,2,"Rio Quartro",1902/03/02,765.5,10.8,14,-17,23,13,89,,,N,3,,,,,,,,,,,,,
1902,3,3,"Rio Quartro",1902/03/03,763.1,-2.4,14,0,15,11,89,,,N,3,,,,,,,,,,,,,
1902,3,4,"Rio Quartro",1902/03/04,761.3,-5.7,21,3,23,10,73,,,K,1,,,,,,,,,,,,,
1902,3,5,"Rio Quartro",1902/03/05,754.8,-6.5,21,0,23,13,73,,,N,2,,,,,,,,,,,,,
1902,3,6,"Rio Quartro",1902/03/06,757.3,0.9,25,0,28,12,47,,,K,1,,,,,,,,,,,,,
1902,3,7,"Rio Quartro",1902/03/07,762.3,5,21,-4,21,14,82,,,N,2,,,,,,,,,,,,,
1902,3,8,"Rio Quartro",1902/03/08,758.4,-3.9,23,2,24,15,66,,,S,2,,,,,,,,,,,,,
1902,3,9,"Rio Quartro",1902/03/09,762,3.6,21,-2,21,10,65,,,K,1,,,,,,,,,,,,,
1902,3,10,"Rio Quartro",1902/03/10,760.8,-1.2,24,3,24,11,60,,,K,1,,,,,,,,,,,,,
