YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"Rosario de la Frontera",1902/02/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,22,"Rosario de la Frontera",1902/02/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,23,"Rosario de la Frontera",1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,"Rosario de la Frontera",1902/02/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,25,"Rosario de la Frontera",1902/02/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,26,"Rosario de la Frontera",1902/02/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,27,"Rosario de la Frontera",1902/02/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,28,"Rosario de la Frontera",1902/02/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,1,"Rosario de la Frontera",1902/03/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,2,"Rosario de la Frontera",1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,"Rosario de la Frontera",1902/03/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,4,"Rosario de la Frontera",1902/03/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,5,"Rosario de la Frontera",1902/03/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,6,"Rosario de la Frontera",1902/03/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,7,"Rosario de la Frontera",1902/03/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,8,"Rosario de la Frontera",1902/03/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,9,"Rosario de la Frontera",1902/03/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,10,"Rosario de la Frontera",1902/03/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,12,"Rosario de la Frontera",1902/03/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,13,"Rosario de la Frontera",1902/03/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,14,"Rosario de la Frontera",1902/03/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,15,"Rosario de la Frontera",1902/03/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,16,"Rosario de la Frontera",1902/03/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,19,"Rosario de la Frontera",1902/03/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,21,"Rosario de la Frontera",1902/03/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,22,"Rosario de la Frontera",1902/03/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,23,"Rosario de la Frontera",1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,"Rosario de la Frontera",1902/03/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,25,"Rosario de la Frontera",1902/03/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,26,"Rosario de la Frontera",1902/03/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,27,"Rosario de la Frontera",1902/03/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,30,"Rosario de la Frontera",1902/03/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,31,"Rosario de la Frontera",1902/03/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,2,"Rosario de la Frontera",1902/04/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,3,"Rosario de la Frontera",1902/04/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,4,"Rosario de la Frontera",1902/04/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,5,"Rosario de la Frontera",1902/04/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,6,"Rosario de la Frontera",1902/04/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,7,"Rosario de la Frontera",1902/04/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,8,"Rosario de la Frontera",1902/04/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,9,"Rosario de la Frontera",1902/04/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,10,"Rosario de la Frontera",1902/04/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,12,"Rosario de la Frontera",1902/04/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,13,"Rosario de la Frontera",1902/04/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,14,"Rosario de la Frontera",1902/04/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,16,"Rosario de la Frontera",1902/04/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,19,"Rosario de la Frontera",1902/04/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,20,"Rosario de la Frontera",1902/04/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,24,"Rosario de la Frontera",1902/04/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,26,"Rosario de la Frontera",1902/04/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,27,"Rosario de la Frontera",1902/04/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,29,"Rosario de la Frontera",1902/04/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,3,"Rosario de la Frontera",1902/05/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,4,"Rosario de la Frontera",1902/05/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,6,"Rosario de la Frontera",1902/05/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,8,"Rosario de la Frontera",1902/05/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,16,"Rosario de la Frontera",1902/05/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,17,"Rosario de la Frontera",1902/05/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,18,"Rosario de la Frontera",1902/05/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,19,"Rosario de la Frontera",1902/05/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,20,"Rosario de la Frontera",1902/05/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,21,"Rosario de la Frontera",1902/05/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,22,"Rosario de la Frontera",1902/05/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,23,"Rosario de la Frontera",1902/05/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,24,"Rosario de la Frontera",1902/05/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,25,"Rosario de la Frontera",1902/05/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,26,"Rosario de la Frontera",1902/05/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,27,"Rosario de la Frontera",1902/05/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,28,"Rosario de la Frontera",1902/05/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,29,"Rosario de la Frontera",1902/05/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,30,"Rosario de la Frontera",1902/05/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,31,"Rosario de la Frontera",1902/05/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,1,"Rosario de la Frontera",1902/06/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,2,"Rosario de la Frontera",1902/06/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,3,"Rosario de la Frontera",1902/06/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,4,"Rosario de la Frontera",1902/06/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,5,"Rosario de la Frontera",1902/06/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,6,"Rosario de la Frontera",1902/06/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,7,"Rosario de la Frontera",1902/06/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,8,"Rosario de la Frontera",1902/06/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,9,"Rosario de la Frontera",1902/06/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,10,"Rosario de la Frontera",1902/06/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,11,"Rosario de la Frontera",1902/06/11,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,12,"Rosario de la Frontera",1902/06/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,13,"Rosario de la Frontera",1902/06/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,14,"Rosario de la Frontera",1902/06/14,756.4,-4.3,26,1,27,10,48,NE,2,CS,2,,,,,,,,,,,,,
1902,6,15,"Rosario de la Frontera",1902/06/15,751.2,-5.2,26,0,29,10,55,N,1,C,1,,,,,,,,,,,,,
1902,6,16,"Rosario de la Frontera",1902/06/16,749.6,-1.6,27,1,27,9,49,NE,1,C,2,,,,,,,,,,,,,
1902,6,17,"Rosario de la Frontera",1902/06/17,757.5,7.9,20,-7,21,,64,NE,1,KS,2,,,,,,,,,,,,,
1902,6,18,"Rosario de la Frontera",1902/06/18,762.8,5.3,16,-4,17,13,59,SW,1,N,3,,,,,,,,,,,,,
1902,6,19,"Rosario de la Frontera",1902/06/19,765.3,2.5,13,-3,14,10,66,W,1,N,3,,,,,,,,,,,,,
1902,6,20,"Rosario de la Frontera",1902/06/20,763.4,-1.9,18,5,18,8,44,N,1,KN,1,,,,,,,,,,,,,
1902,6,21,"Rosario de la Frontera",1902/06/21,766.6,3.2,14,-4,14,8,67,W,1,N,3,,,,,,,,,,,,,
1902,6,22,"Rosario de la Frontera",1902/06/22,767.5,0.9,17,3,20,9,61,N,2,K,1,,,,,,,,,,,,,
1902,6,23,"Rosario de la Frontera",1902/06/23,765.9,-1.6,19,2,20,2,46,NE,1,C,1,,,,,,,,,,,,,
1902,6,24,"Rosario de la Frontera",1902/06/24,758.9,-7,23,4,24,2,52,E,2,,0,,,,,,,,,,,,,
1902,6,25,"Rosario de la Frontera",1902/06/25,758.4,-0.5,26,3,27,5,48,NE,1,C,1,,,,,,,,,,,,,
1902,6,26,"Rosario de la Frontera",1902/06/26,759.7,1.3,23,-3,24,12,59,N,1,N,3,,,,,,,,,,,,,
1902,6,27,"Rosario de la Frontera",1902/06/27,769.4,9.7,14,-9,16,15,89,W,1,N,3,,,,,,,,,,,,,
1902,6,28,"Rosario de la Frontera",1902/06/28,764.2,-5.2,12,-2,12,9,100,,0,N,3,,,,,,,,,,,,,
1902,6,29,"Rosario de la Frontera",1902/06/29,759.1,-0.1,14,2,15,8,78,SW,1,N,3,,,,,,,,,,,,,
1902,6,30,"Rosario de la Frontera",1902/06/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,1,"Rosario de la Frontera",1902/07/01,768.5,10.2,9,-11,13,8,86,W,2,N,3,,,,,,,,,,,,,
1902,7,2,"Rosario de la Frontera",1902/07/02,767.1,-6.3,16,1,17,-4,41,N,1,,0,,,,,,,,,,,,,
1902,7,4,"Rosario de la Frontera",1902/07/04,767.9,-2.2,18,2,18,-2,53,,0,,0,,,,,,,,,,,,,
1902,7,5,"Rosario de la Frontera",1902/07/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,6,"Rosario de la Frontera",1902/07/06,759,,22,,23,0,50,NE,1,C,1,,,,,,,,,,,,,
1902,7,7,"Rosario de la Frontera",1902/07/07,751.3,-7.7,27,5,29,4,37,,0,C,1,,,,,,,,,,,,,
1902,7,8,"Rosario de la Frontera",1902/07/08,751.3,0,26,-1,31,11,36,,0,N,2,,,,,,,,,,,,,
1902,7,9,"Rosario de la Frontera",1902/07/09,746.8,-4.5,36,10,37,11,3,W,2,K,2,,,,,,,,,,,,,
1902,7,10,"Rosario de la Frontera",1902/07/10,760.1,13.3,24,-12,25,10,46,,0,C,2,,,,,,,,,,,,,
1902,7,11,"Rosario de la Frontera",1902/07/11,763.7,3.6,18,-6,18,9,36,E,1,C,2,,,,,,,,,,,,,
1902,7,12,"Rosario de la Frontera",1902/07/12,764.2,0.5,15,-3,16,7,48,NE,1,SK,2,,,,,,,,,,,,,
1902,7,13,"Rosario de la Frontera",1902/07/13,759.8,-4.4,19,4,20,4,54,N,1,C,1,,,,,,,,,,,,,
1902,7,14,"Rosario de la Frontera",1902/07/14,758.3,-1.5,18,-1,18,1,62,,0,C,2,,,,,,,,,,,,,
1902,7,15,"Rosario de la Frontera",1902/07/15,760.4,2.1,13,-5,17,4,77,,0,SK,3,,,,,,,,,,,,,
1902,7,16,"Rosario de la Frontera",1902/07/16,767,6.6,7,-6,7,5,71,W,1,N,3,,,,,,,,,,,,,
1902,7,17,"Rosario de la Frontera",1902/07/17,769,2,13,6,13,3,45,N,1,N,2,,,,,,,,,,,,,
1902,7,18,"Rosario de la Frontera",1902/07/18,764.9,-4.1,15,2,16,5,89,N,1,K,2,,,,,,,,,,,,,
