YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Rosario,1902/02/21,756.3,0.1,35,-3,35,,32,SE,1,K,1,,,,,,,,,,,,,
1902,2,22,Rosario,1902/02/22,757.4,1.1,33,-2,33,18,67,S,2,K,1,,,,,,,,,,,,,
1902,2,23,Rosario,1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,Rosario,1902/02/24,758.4,,36,,36,16,63,E,1,S,1,,,,,,,,,,,,,
1902,2,25,Rosario,1902/02/25,755.7,-2.4,38,2,38,19,27,N,1,K,1,,,,,,,,,,,,,
1902,2,26,Rosario,1902/02/26,753.7,-2,28,-10,38,,,S,3,N,3,,,,,,,,,,,,,
1902,2,27,Rosario,1902/02/27,754.9,1.2,31,3,31,16,37,SW,1,K,2,,,,,,,,,,,,,
1902,2,28,Rosario,1902/02/28,759.4,4.5,23,-8,26,16,39,SE,1,N,3,,,,,,,,,,,,,
1902,3,1,Rosario,1902/03/01,760.3,0.9,32,9,32,16,33,E,1,K,1,,,,,,,,,,,,,
1902,3,2,Rosario,1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,Rosario,1902/03/03,756.9,,34,,33,,31,NE,1,C,1,,,,,,,,,,,,,
1902,3,4,Rosario,1902/03/04,752.6,-4.3,39,5,38,19,37,NE,1,K,1,,,,,,,,,,,,,
1902,3,5,Rosario,1902/03/05,758.5,5.9,25,-14,34,,83,SE,1,N,3,,,,,,,,,,,,,
1902,3,6,Rosario,1902/03/06,758,-0.5,29,4,30,,64,SE,1,K,1,,,,,,,,,,,,,
1902,3,7,Rosario,1902/03/07,758.9,0.9,29,0,29,20,52,SE,1,K,1,,,,,,,,,,,,,
1902,3,8,Rosario,1902/03/08,759.3,0.4,27,-2,27,18,56,E,1,K,1,,,,,,,,,,,,,
1902,3,9,Rosario,1902/03/09,759,-0.3,31,4,32,17,48,E,1,K,1,,,,,,,,,,,,,
1902,3,10,Rosario,1902/03/10,759.9,0.9,32,1,32,19,38,SE,1,K,1,,,,,,,,,,,,,
1902,3,12,Rosario,1902/03/12,752.6,-2.5,20,-11,23,18,91,NE,1,N,3,,,,,,,,,,,,,
1902,3,13,Rosario,1902/03/13,757.9,5.3,28,8,28,14,51,SW,1,K,1,,,,,,,,,,,,,
1902,3,14,Rosario,1902/03/14,762,4.1,30,2,30,,41,SW,1,CK,1,,,,,,,,,,,,,
1902,3,15,Rosario,1902/03/15,760.8,-1.2,32,2,32,18,49,N,1,C,1,,,,,,,,,,,,,
1902,3,16,Rosario,1902/03/16,759.8,-1,32,0,32,,38,NE,1,,,,,,,,,,,,,,,
1902,3,19,Rosario,1902/03/19,758.8,4,29,-3,29,,40,SE,1,C,1,,,,,,,,,,,,,
1902,3,21,Rosario,1902/03/21,761.3,-5.1,30,6,30,,41,N,1,,0,,,,,,,,,,,,,
1902,3,22,Rosario,1902/03/22,761,-0.3,35,5,35,18,37,N,1,C,1,,,,,,,,,,,,,
1902,3,23,Rosario,1902/03/23,760.7,-0.3,36,1,36,18,42,N,1,C,1,,,,,,,,,,,,,
1902,3,24,Rosario,1902/03/24,759.2,-1.5,35,-1,35,20,36,N,2,,0,,,,,,,,,,,,,
1902,3,25,Rosario,1902/03/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,26,Rosario,1902/03/26,762.1,,19,,27,20,81,SE,1,K,3,,,,,,,,,,,,,
1902,3,27,Rosario,1902/03/27,760.8,-1.3,21,2,22,14,14,SE,1,K,3,,,,,,,,,,,,,
1902,3,30,Rosario,1902/03/30,761.6,-5,26,3,26,14,55,NE,1,K,2,,,,,,,,,,,,,
1902,3,31,Rosario,1902/03/31,755.2,-6.4,27,1,28,16,46,N,1,K,2,,,,,,,,,,,,,
1902,4,2,Rosario,1902/04/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,3,Rosario,1902/04/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,4,Rosario,1902/04/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,5,Rosario,1902/04/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,6,Rosario,1902/04/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,7,Rosario,1902/04/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,8,Rosario,1902/04/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,9,Rosario,1902/04/09,757.2,,30,,30,17,,N,1,K,1,,,,,,,,,,,,,
1902,4,10,Rosario,1902/04/10,759.5,2.3,22,-8,22,,,SE,2,C,1,,,,,,,,,,,,,
1902,4,12,Rosario,1902/04/12,758.7,,20,,21,15,81,SE,1,C,2,,,,,,,,,,,,,
1902,4,13,Rosario,1902/04/13,760.1,2.3,24,4,24,,33,E,1,C,2,,,,,,,,,,,,,
1902,4,14,Rosario,1902/04/14,759,-1.1,27,3,27,15,63,N,1,S,1,,,,,,,,,,,,,
1902,4,16,Rosario,1902/04/16,759.5,0.2,23,-5,28,18,91,W,1,S,2,,,,,,,,,,,,,
1902,4,19,Rosario,1902/04/19,759.8,-2.7,28,5,28,17,57,N,1,K,1,,,,,,,,,,,,,
1902,4,20,Rosario,1902/04/20,755.1,-4.7,29,1,29,,64,NE,1,S,1,,,,,,,,,,,,,
1902,4,24,Rosario,1902/04/24,760.9,-4.1,25,3,25,12,47,N,1,,0,,,,,,,,,,,,,
1902,4,26,Rosario,1902/04/26,763.8,1.1,29,3,29,16,46,N,1,CS,2,,,,,,,,,,,,,
1902,4,27,Rosario,1902/04/27,762.6,-1.2,28,-1,28,15,57,,0,K,1,,,,,,,,,,,,,
1902,4,29,Rosario,1902/04/29,763.5,0,26,-1,27,15,62,N,1,K,1,,,,,,,,,,,,,
1902,5,3,Rosario,1902/05/03,752.9,-3.6,26,0,26,19,62,N,2,CS,2,,,,,,,,,,,,,
1902,5,4,Rosario,1902/05/04,759.3,6.6,24,-2,24,,53,SE,1,C,2,,,,,,,,,,,,,
1902,5,6,Rosario,1902/05/06,760.6,-1,17,-3,,,,E,1,S,3,,,,,,,,,,,,,
1902,5,8,Rosario,1902/05/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,16,Rosario,1902/05/16,766,-0.2,20,-1,20,9,55,SE,1,S,1,,,,,,,,,,,,,
1902,5,17,Rosario,1902/05/17,761.1,-4.9,21,1,21,,57,E,1,,0,,,,,,,,,,,,,
1902,5,18,Rosario,1902/05/18,760.9,-0.2,22,1,22,7,58,NW,1,C,1,,,,,,,,,,,,,
1902,5,19,Rosario,1902/05/19,759.5,-1.4,24,2,24,11,60,N,1,C,1,,,,,,,,,,,,,
1902,5,20,Rosario,1902/05/20,759.3,-0.2,25,1,25,14,61,N,1,C,1,,,,,,,,,,,,,
1902,5,21,Rosario,1902/05/21,758.8,-0.5,25,0,24,13,,N,1,CK,1,,,,,,,,,,,,,
1902,5,22,Rosario,1902/05/22,759.6,0.8,27,2,27,16,63,N,1,,0,,,,,,,,,,,,,
1902,5,23,Rosario,1902/05/23,758.5,-1.1,25,-2,25,16,68,N,1,S,1,,,,,,,,,,,,,
1902,5,24,Rosario,1902/05/24,756.5,-2,26,1,26,16,69,N,1,C,1,,,,,,,,,,,,,
1902,5,25,Rosario,1902/05/25,754.9,-1.6,26,0,26,18,69,N,1,C,1,,,,,,,,,,,,,
1902,5,26,Rosario,1902/05/26,755.4,0.5,25,-1,25,19,68,W,1,K,2,,,,,,,,,,,,,
1902,5,27,Rosario,1902/05/27,752.9,-2.5,19,-6,21,14,91,SW,1,N,3,,,,,,,,,,,,,
1902,5,28,Rosario,1902/05/28,763.3,10.4,15,-4,15,8,30,SW,1,K,2,,,,,,,,,,,,,
1902,5,29,Rosario,1902/05/29,762.4,-0.9,17,2,17,9,43,,0,C,1,,,,,,,,,,,,,
1902,5,30,Rosario,1902/05/30,760.6,-1.8,15,-2,18,5,58,NE,1,KN,3,,,,,,,,,,,,,
1902,5,31,Rosario,1902/05/31,758,-2.6,22,7,22,11,66,N,1,CS,2,,,,,,,,,,,,,
1902,6,1,Rosario,1902/06/01,754.9,-3.1,22,0,,,36,N,1,KS,2,,,,,,,,,,,,,
1902,6,2,Rosario,1902/06/02,748.8,-6.1,23,1,23,18,74,N,1,KS,2,,,,,,,,,,,,,
1902,6,3,Rosario,1902/06/03,758.2,9.4,16,-7,20,8,32,SW,1,CK,2,,,,,,,,,,,,,
1902,6,4,Rosario,1902/06/04,762,3.8,14,-2,14,8,57,NE,1,K,2,,,,,,,,,,,,,
1902,6,5,Rosario,1902/06/05,763.4,1.4,19,5,19,1,38,NW,1,,0,,,,,,,,,,,,,
1902,6,6,Rosario,1902/06/06,761.6,-1.8,16,-3,16,2,50,SE,1,C,1,,,,,,,,,,,,,
1902,6,7,Rosario,1902/06/07,761.6,0,15,-1,15,5,30,SW,1,,0,,,,,,,,,,,,,
1902,6,8,Rosario,1902/06/08,763.2,1.6,17,2,17,2,34,N,1,,0,,,,,,,,,,,,,
1902,6,9,Rosario,1902/06/09,764.6,1.4,16,-1,17,5,59,SE,1,C,2,,,,,,,,,,,,,
1902,6,10,Rosario,1902/06/10,755.5,-9.1,18,2,17,6,71,N,1,K,3,,,,,,,,,,,,,
1902,6,11,Rosario,1902/06/11,756.2,0.7,19,1,18,14,63,SW,1,KS,2,,,,,,,,,,,,,
1902,6,12,Rosario,1902/06/12,761.4,5.2,18,-1,18,5,53,NE,1,C,2,,,,,,,,,,,,,
1902,6,13,Rosario,1902/06/13,763.2,1.8,20,2,20,4,64,NW,1,K,1,,,,,,,,,,,,,
1902,6,14,Rosario,1902/06/14,763.2,1.8,20,2,20,4,64,NW,1,K,1,,,,,,,,,,,,,
1902,6,15,Rosario,1902/06/15,754.8,-6.2,27,12,27,17,69,N,1,K,1,,,,,,,,,,,,,
1902,6,16,Rosario,1902/06/16,750.4,-4.4,27,0,27,19,63,N,1,CK,2,,,,,,,,,,,,,
1902,6,17,Rosario,1902/06/17,749.5,-0.9,26,-1,26,20,69,N,1,K,1,,,,,,,,,,,,,
1902,6,18,Rosario,1902/06/18,756,6.5,14,-12,24,12,78,S,1,KS,3,,,,,,,,,,,,,
1902,6,19,Rosario,1902/06/19,762.4,6.4,15,1,15,7,68,SW,1,K,1,,,,,,,,,,,,,
1902,6,20,Rosario,1902/06/20,765.6,3.2,12,-3,12,5,76,NE,1,SK,3,,,,,,,,,,,,,
1902,6,21,Rosario,1902/06/21,766.1,0.5,14,2,14,7,57,NE,1,K,2,,,,,,,,,,,,,
1902,6,22,Rosario,1902/06/22,765.7,-0.4,13,-1,13,7,77,E,1,K,2,,,,,,,,,,,,,
