YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"SAN JUAN-Capital",1902/02/21,756.6,6.6,30,6,31,19,30,E,1,C,1,,,,,,,,,,,,,
1902,2,22,"SAN JUAN-Capital",1902/02/22,757.5,0.9,30,0,31,19,47,S,1,CK,1,,,,,,,,,,,,,
1902,2,23,"SAN JUAN-Capital",1902/02/23,760.1,2.6,34,4,35,20,27,NE,1,,0,,,,,,,,,,,,,
1902,2,24,"SAN JUAN-Capital",1902/02/24,755,-5.1,36,2,37,20,21,NE,1,,0,,,,,,,,,,,,,
1902,2,25,"SAN JUAN-Capital",1902/02/25,753.4,-1.6,34,-2,35,20,22,S,3,,0,,,,,,,,,,,,,
1902,2,26,"SAN JUAN-Capital",1902/02/26,757.8,4.4,29,-5,29,20,29,S,2,,0,,,,,,,,,,,,,
1902,2,27,"SAN JUAN-Capital",1902/02/27,756.3,-1.5,29,0,29,14,24,S,2,SC,1,,,,,,,,,,,,,
1902,2,28,"SAN JUAN-Capital",1902/02/28,758.1,1.8,26,-3,28,14,36,S,1,CS,1,,,,,,,,,,,,,
1902,3,1,"SAN JUAN-Capital",1902/03/01,757.7,-0.4,30,4,31,15,36,SE,1,,0,,,,,,,,,,,,,
1902,3,2,"SAN JUAN-Capital",1902/03/02,755.2,-2.5,32,2,33,18,33,S,1,,0,,,,,,,,,,,,,
1902,3,3,"SAN JUAN-Capital",1902/03/03,754.2,-4,32,0,33,19,33,S,1,,0,,,,,,,,,,,,,
1902,3,4,"SAN JUAN-Capital",1902/03/04,752.6,-1.6,34,2,35,20,27,S,2,CK,1,,,,,,,,,,,,,
1902,3,5,"SAN JUAN-Capital",1902/03/05,759.1,6.5,28,-6,29,20,27,S,1,CK,1,,,,,,,,,,,,,
1902,3,6,"SAN JUAN-Capital",1902/03/06,757.6,-1.5,30,2,31,17,30,SE,1,CS,1,,,,,,,,,,,,,
1902,3,7,"SAN JUAN-Capital",1902/03/07,758.1,0.5,28,-2,29,20,39,S,2,CK,1,,,,,,,,,,,,,
1902,3,8,"SAN JUAN-Capital",1902/03/08,758.7,0.6,26,-2,27,,55,S,2,K,1,,,,,,,,,,,,,
1902,3,9,"SAN JUAN-Capital",1902/03/09,759.8,1.1,28,2,29,21,57,SE,2,K,1,,,,,,,,,,,,,
1902,3,10,"SAN JUAN-Capital",1902/03/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,12,"SAN JUAN-Capital",1902/03/12,756.6,1.8,25,-3,25,,54,SE,3,CS,1,,,,,,,,,,,,,
1902,3,13,"SAN JUAN-Capital",1902/03/13,756.9,-0.3,27,2,29,16,43,S,1,K,1,,,,,,,,,,,,,
1902,3,14,"SAN JUAN-Capital",1902/03/14,758.3,1.4,30,3,30,,53,SE,2,,0,,,,,,,,,,,,,
1902,3,15,"SAN JUAN-Capital",1902/03/15,755,-3.3,31,1,31,,48,S,2,,0,,,,,,,,,,,,,
1902,3,16,"SAN JUAN-Capital",1902/03/16,756.5,1.5,33,2,35,19,34,S,1,,0,,,,,,,,,,,,,
1902,3,19,"SAN JUAN-Capital",1902/03/19,758.9,5.6,29,-4,30,19,34,S,3,,0,,,,,,,,,,,,,
1902,3,21,"SAN JUAN-Capital",1902/03/21,758.2,-6,30,4,31,15,36,SE,1,,0,,,,,,,,,,,,,
1902,3,22,"SAN JUAN-Capital",1902/03/22,758.4,0.2,33,3,34,16,39,SE,1,,0,,,,,,,,,,,,,
1902,3,23,"SAN JUAN-Capital",1902/03/23,757,-1.4,35,2,36,18,28,E,1,,0,,,,,,,,,,,,,
1902,3,24,"SAN JUAN-Capital",1902/03/24,753.7,-3.3,36,1,37,20,25,SE,1,,0,,,,,,,,,,,,,
1902,3,25,"SAN JUAN-Capital",1902/03/25,756.5,1.8,30,6,31,21,41,S,2,,0,,,,,,,,,,,,,
1902,3,26,"SAN JUAN-Capital",1902/03/26,768.1,11.6,14,-16,15,13,89,S,3,KS,3,,,,,,,,,,,,,
1902,3,27,"SAN JUAN-Capital",1902/03/27,762.9,5.2,16,2,17,11,69,S,1,KS,3,,,,,,,,,,,,,
1902,3,30,"SAN JUAN-Capital",1902/03/30,765.5,-5.5,24,6,25,12,46,NE,1,CK,2,,,,,,,,,,,,,
1902,3,31,"SAN JUAN-Capital",1902/03/31,754.1,-6.4,26,2,27,14,36,SE,1,CK,1,,,,,,,,,,,,,
1902,4,2,"SAN JUAN-Capital",1902/04/02,758,1.3,24,1,26,12,46,S,1,CK,1,,,,,,,,,,,,,
1902,4,3,"SAN JUAN-Capital",1902/04/03,762.2,4.2,21,-3,23,17,65,S,1,SK,2,,,,,,,,,,,,,
1902,4,4,"SAN JUAN-Capital",1902/04/04,759,-3.2,24,3,25,15,53,S,1,CK,1,,,,,,,,,,,,,
1902,4,5,"SAN JUAN-Capital",1902/04/05,761.8,2.8,25,1,26,13,34,S,1,SC,1,,,,,,,,,,,,,
