YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"SANTA FE-Capital",1902/02/21,757,0.6,34,-1,35,24,31,S,2,K,1,,,,,,,,,,,,,
1902,2,22,"SANTA FE-Capital",1902/02/22,758.8,1.8,32,-2,34,,38,S,2,C,1,,,,,,,,,,,,,
1902,2,23,"SANTA FE-Capital",1902/02/23,760.3,1.5,32,0,33,21,38,S,2,K,1,,,,,,,,,,,,,
1902,2,24,"SANTA FE-Capital",1902/02/24,758.8,-1.5,33,1,34,20,21,NE,1,,0,,,,,,,,,,,,,
1902,2,25,"SANTA FE-Capital",1902/02/25,756.2,-2.6,33,0,34,25,34,NE,2,K,2,,,,,,,,,,,,,
1902,2,26,"SANTA FE-Capital",1902/02/26,755.6,-0.6,34,-1,35,,45,S,2,N,3,,,,,,,,,,,,,
1902,2,27,"SANTA FE-Capital",1902/02/27,756.2,0.6,29,-5,30,18,46,S,1,K,1,,,,,,,,,,,,,
1902,2,28,"SANTA FE-Capital",1902/02/28,760.1,3.9,22,-7,23,16,58,SE,2,N,3,,,,,,,,,,,,,
1902,3,1,"SANTA FE-Capital",1902/03/01,760.3,0.2,29,7,29,18,46,SE,1,K,2,,,,,,,,,,,,,
1902,3,2,"SANTA FE-Capital",1902/03/02,758.5,-1.8,30,1,31,22,41,NE,2,S,1,,,,,,,,,,,,,
1902,3,3,"SANTA FE-Capital",1902/03/03,758,-0.5,31,1,32,19,42,E,1,K,1,,,,,,,,,,,,,
1902,3,4,"SANTA FE-Capital",1902/03/04,755.6,-2.4,34,3,34,22,40,NE,2,K,2,,,,,,,,,,,,,
1902,3,5,"SANTA FE-Capital",1902/03/05,759,3.4,30,-4,31,23,53,E,2,K,3,,,,,,,,,,,,,
1902,3,6,"SANTA FE-Capital",1902/03/06,757.8,-1.2,32,2,33,20,49,SE,1,K,1,,,,,,,,,,,,,
1902,3,7,"SANTA FE-Capital",1902/03/07,759.4,1.6,27,-5,28,21,63,SE,1,C,3,,,,,,,,,,,,,
1902,3,8,"SANTA FE-Capital",1902/03/08,760.7,1.3,25,-2,26,20,61,S,1,N,3,,,,,,,,,,,,,
1902,3,9,"SANTA FE-Capital",1902/03/09,760.8,0.1,29,4,30,20,46,NE,1,K,1,,,,,,,,,,,,,
1902,3,10,"SANTA FE-Capital",1902/03/10,760,-0.8,30,1,31,20,47,E,1,C,2,,,,,,,,,,,,,
1902,3,12,"SANTA FE-Capital",1902/03/12,756.1,1.3,22,-10,26,18,82,E,1,N,3,,,,,,,,,,,,,
1902,3,13,"SANTA FE-Capital",1902/03/13,757.9,1.8,28,6,28,16,44,S,2,,0,,,,,,,,,,,,,
1902,3,14,"SANTA FE-Capital",1902/03/14,762,4.1,28,0,29,18,51,SW,1,K,1,,,,,,,,,,,,,
1902,3,15,"SANTA FE-Capital",1902/03/15,762,0,30,2,31,21,47,N,2,K,1,,,,,,,,,,,,,
1902,3,16,"SANTA FE-Capital",1902/03/16,761,-1,30,0,31,21,36,NE,2,,0,,,,,,,,,,,,,
1902,3,19,"SANTA FE-Capital",1902/03/19,758.4,1.5,31,-1,32,24,59,E,1,N,3,,,,,,,,,,,,,
1902,3,21,"SANTA FE-Capital",1902/03/21,763.1,-4.9,26,3,26,18,48,NE,1,,0,,,,,,,,,,,,,
1902,3,22,"SANTA FE-Capital",1902/03/22,762.1,-1,29,3,30,21,52,NE,2,K,1,,,,,,,,,,,,,
1902,3,23,"SANTA FE-Capital",1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,"SANTA FE-Capital",1902/03/24,760.8,,31,,32,22,48,NE,2,K,1,,,,,,,,,,,,,
1902,3,25,"SANTA FE-Capital",1902/03/25,757.7,-3.1,33,2,34,26,39,NE,2,K,1,,,,,,,,,,,,,
1902,3,26,"SANTA FE-Capital",1902/03/26,760.5,2.8,18,-18,24,20,100,SE,2,N,3,,,,,,,,,,,,,
1902,3,27,"SANTA FE-Capital",1902/03/27,760.9,0.4,20,2,20,17,81,S,2,N,3,,,,,,,,,,,,,
1902,3,30,"SANTA FE-Capital",1902/03/30,762.2,-4.6,21,1,22,16,73,,0,K,1,,,,,,,,,,,,,
1902,3,31,"SANTA FE-Capital",1902/03/31,757.9,-4.3,24,3,25,18,60,NE,1,K,3,,,,,,,,,,,,,
1902,4,2,"SANTA FE-Capital",1902/04/02,761.7,,25,2,26,16,68,NE,1,K,1,,,,,,,,,,,,,
1902,4,3,"SANTA FE-Capital",1902/04/03,762.9,1.2,23,-2,24,20,74,NE,1,N,3,,,,,,,,,,,,,
1902,4,4,"SANTA FE-Capital",1902/04/04,760.6,-2.3,26,3,27,20,55,E,1,K,1,,,,,,,,,,,,,
1902,4,5,"SANTA FE-Capital",1902/04/05,760.4,-0.2,24,-2,25,17,67,SW,2,K,1,,,,,,,,,,,,,
1902,4,6,"SANTA FE-Capital",1902/04/06,760.1,-0.3,23,-1,25,16,59,SE,2,K,1,,,,,,,,,,,,,
1902,4,7,"SANTA FE-Capital",1902/04/07,758.7,-1.4,24,1,25,11,53,SE,2,K,2,,,,,,,,,,,,,
1902,4,8,"SANTA FE-Capital",1902/04/08,759.4,0.7,24,0,25,18,67,SE,1,K,2,,,,,,,,,,,,,
1902,4,9,"SANTA FE-Capital",1902/04/09,760.7,1.3,25,1,26,16,61,E,1,K,2,,,,,,,,,,,,,
1902,4,10,"SANTA FE-Capital",1902/04/10,760.6,-0.1,25,0,26,18,68,E,1,K,1,,,,,,,,,,,,,
1902,4,12,"SANTA FE-Capital",1902/04/12,759.7,2.4,21,-4,22,17,73,S,1,K,2,,,,,,,,,,,,,
1902,4,13,"SANTA FE-Capital",1902/04/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,14,"SANTA FE-Capital",1902/04/14,759.2,,24,,25,17,75,NE,1,K,1,,,,,,,,,,,,,
1902,4,16,"SANTA FE-Capital",1902/04/16,759.2,-0.9,25,-1,26,23,83,E,1,N,3,,,,,,,,,,,,,
1902,4,19,"SANTA FE-Capital",1902/04/19,761.7,-0.5,25,0,26,20,76,NE,2,K,2,,,,,,,,,,,,,
1902,4,20,"SANTA FE-Capital",1902/04/20,757.1,-4.4,26,1,27,20,76,N,2,K,2,,,,,,,,,,,,,
1902,4,24,"SANTA FE-Capital",1902/04/24,762.7,-4.2,21,2,22,17,65,NE,2,,0,,,,,,,,,,,,,
1902,4,26,"SANTA FE-Capital",1902/04/26,765,0,23,0,24,19,66,NE,1,C,2,,,,,,,,,,,,,
1902,4,27,"SANTA FE-Capital",1902/04/27,764.8,-0.2,24,1,25,19,75,NE,1,K,1,,,,,,,,,,,,,
1902,4,29,"SANTA FE-Capital",1902/04/29,764.8,0.1,24,-1,24,19,60,NE,1,K,1,,,,,,,,,,,,,
1902,5,3,"SANTA FE-Capital",1902/05/03,755.8,-2,25,-1,26,20,54,NW,2,N,3,,,,,,,,,,,,,
1902,5,4,"SANTA FE-Capital",1902/05/04,760.6,4.8,25,0,26,17,68,NE,2,C,2,,,,,,,,,,,,,
1902,5,6,"SANTA FE-Capital",1902/05/06,760.4,-1,24,-1,24,20,75,NE,2,N,3,,,,,,,,,,,,,
1902,5,8,"SANTA FE-Capital",1902/05/08,755.4,-3,24,4,26,20,91,SW,1,K,2,,,,,,,,,,,,,
1902,5,16,"SANTA FE-Capital",1902/05/16,766.6,0.4,18,1,19,12,53,E,1,K,2,,,,,,,,,,,,,
1902,5,17,"SANTA FE-Capital",1902/05/17,762.2,-4.4,18,0,19,11,71,SE,1,K,1,,,,,,,,,,,,,
