YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Saladillo,1902/02/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,22,Saladillo,1902/02/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,23,Saladillo,1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,Saladillo,1902/02/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,25,Saladillo,1902/02/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,26,Saladillo,1902/02/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,27,Saladillo,1902/02/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,28,Saladillo,1902/02/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,1,Saladillo,1902/03/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,2,Saladillo,1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,Saladillo,1902/03/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,4,Saladillo,1902/03/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,5,Saladillo,1902/03/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,6,Saladillo,1902/03/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,7,Saladillo,1902/03/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,8,Saladillo,1902/03/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,9,Saladillo,1902/03/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,10,Saladillo,1902/03/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,12,Saladillo,1902/03/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,13,Saladillo,1902/03/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,14,Saladillo,1902/03/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,15,Saladillo,1902/03/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,16,Saladillo,1902/03/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,19,Saladillo,1902/03/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,21,Saladillo,1902/03/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,22,Saladillo,1902/03/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,23,Saladillo,1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,Saladillo,1902/03/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,25,Saladillo,1902/03/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,26,Saladillo,1902/03/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,27,Saladillo,1902/03/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,30,Saladillo,1902/03/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,31,Saladillo,1902/03/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,2,Saladillo,1902/04/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,3,Saladillo,1902/04/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,4,Saladillo,1902/04/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,5,Saladillo,1902/04/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,6,Saladillo,1902/04/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,7,Saladillo,1902/04/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,8,Saladillo,1902/04/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,9,Saladillo,1902/04/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,10,Saladillo,1902/04/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,12,Saladillo,1902/04/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,13,Saladillo,1902/04/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,14,Saladillo,1902/04/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,16,Saladillo,1902/04/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,19,Saladillo,1902/04/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,20,Saladillo,1902/04/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,24,Saladillo,1902/04/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,26,Saladillo,1902/04/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,27,Saladillo,1902/04/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,29,Saladillo,1902/04/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,3,Saladillo,1902/05/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,4,Saladillo,1902/05/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,6,Saladillo,1902/05/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,8,Saladillo,1902/05/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,16,Saladillo,1902/05/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,17,Saladillo,1902/05/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,18,Saladillo,1902/05/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,19,Saladillo,1902/05/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,20,Saladillo,1902/05/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,21,Saladillo,1902/05/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,22,Saladillo,1902/05/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,23,Saladillo,1902/05/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,24,Saladillo,1902/05/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,25,Saladillo,1902/05/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,26,Saladillo,1902/05/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,27,Saladillo,1902/05/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,28,Saladillo,1902/05/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,29,Saladillo,1902/05/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,30,Saladillo,1902/05/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,31,Saladillo,1902/05/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,1,Saladillo,1902/06/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,2,Saladillo,1902/06/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,3,Saladillo,1902/06/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,4,Saladillo,1902/06/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,5,Saladillo,1902/06/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,6,Saladillo,1902/06/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,7,Saladillo,1902/06/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,8,Saladillo,1902/06/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,9,Saladillo,1902/06/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,10,Saladillo,1902/06/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,11,Saladillo,1902/06/11,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,12,Saladillo,1902/06/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,13,Saladillo,1902/06/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,14,Saladillo,1902/06/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,15,Saladillo,1902/06/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,16,Saladillo,1902/06/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,17,Saladillo,1902/06/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,18,Saladillo,1902/06/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,19,Saladillo,1902/06/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,20,Saladillo,1902/06/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,21,,1902/06/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,22,,1902/06/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,23,,1902/06/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,24,,1902/06/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,25,,1902/06/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,26,,1902/06/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,27,,1902/06/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,28,,1902/06/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,29,,1902/06/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,30,,1902/06/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,1,,1902/07/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,2,,1902/07/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,4,,1902/07/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,5,,1902/07/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,6,,1902/07/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,7,,1902/07/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,8,,1902/07/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,9,,1902/07/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,10,,1902/07/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,11,,1902/07/11,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,12,,1902/07/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,13,,1902/07/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,14,,1902/07/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,15,,1902/07/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,16,,1902/07/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,17,,1902/07/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,18,,1902/07/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,19,,1902/07/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,20,,1902/07/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,21,,1902/07/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,23,,1902/07/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,24,,1902/07/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,25,,1902/07/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,26,,1902/07/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,27,,1902/07/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,28,,1902/07/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,29,,1902/07/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,30,,1902/07/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,31,,1902/07/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,1,,1902/08/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,2,,1902/08/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,3,,1902/08/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,4,,1902/08/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,5,,1902/08/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,6,,1902/08/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,7,,1902/08/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,8,,1902/08/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,9,,1902/08/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,10,,1902/08/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,11,,1902/08/11,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,12,,1902/08/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,13,,1902/08/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,14,,1902/08/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,15,,1902/08/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,16,,1902/08/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,17,,1902/08/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,18,,1902/08/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,19,,1902/08/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,20,,1902/08/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,21,,1902/08/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,22,,1902/08/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,23,,1902/08/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,24,,1902/08/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,25,,1902/08/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,26,,1902/08/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,27,,1902/08/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,28,,1902/08/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,29,,1902/08/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,30,,1902/08/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,31,,1902/08/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,9,2,,1902/09/02,,,7,2,20,7,85,NW,1,,0,,,,,,,,,,,,,
1902,9,3,,1902/09/03,,,10,3,23,11,74,N,1,N,1,,,,,,,,,,,,,
1902,9,4,,1902/09/04,,,7,-3,18,7,35,E,1,C,3,,,,,,,,,,,,,
1902,9,5,,1902/09/05,,,8,1,18,8,86,E,1,C,2,,,,,,,,,,,,,
1902,9,6,,1902/09/06,,,13,5,21,13,88,E,2,S,3,,,,,,,,,,,,,
1902,9,7,,1902/09/07,755.3,,17,4,22,16,70,E,1,C,3,,,,,,,,,,,,,
1902,9,8,,1902/09/08,759.2,4.9,12,-5,16,10,76,S,1,S,3,,,,,,,,,,,,,
1902,9,10,,1902/09/10,765.4,0.6,9,2,14,9,86,SE,2,C,3,,,,,,,,,,,,,
1902,9,11,,1902/09/11,,,6,-3,13,6,85,E,2,,0,,,,,,,,,,,,,
1902,9,12,,1902/09/12,,,6,0,13,6,100,E,1,K,3,,,,,,,,,,,,,
1902,9,13,,1902/09/13,,,9,3,14,9,86,E,2,C,3,,,,,,,,,,,,,
1902,9,14,,1902/09/14,759.6,,12,3,15,10,76,E,1,K,3,,,,,,,,,,,,,
1902,9,15,,1902/09/15,760.7,1.1,7,-5,16,7,85,N,1,,0,,,,,,,,,,,,,
1902,9,16,,1902/09/16,758.5,-2.2,11,4,23,9,75,E,2,,0,,,,,,,,,,,,,
1902,9,17,,1902/09/17,759.5,1,13,2,22,11,66,E,2,S,3,,,,,,,,,,,,,
1902,9,18,,1902/09/18,752.3,-7.2,19,6,23,15,63,E,1,C,3,,,,,,,,,,,,,
1902,9,19,,1902/09/19,,,8,-11,,6,72,W,1,S,3,,,,,,,,,,,,,
1902,9,20,,1902/09/20,764.9,,6,-2,14,5,85,,,,0,,,,,,,,,,,,,
1902,9,21,,1902/09/21,766.8,1.9,7,1,16,6,85,,,,0,,,,,,,,,,,,,
1902,9,22,,1902/09/22,,,7,0,13,6,85,E,2,,0,,,,,,,,,,,,,
1902,9,23,,1902/09/23,,,8,1,18,,72,,,,0,,,,,,,,,,,,,
1902,9,24,,1902/09/24,,,3,-5,17,3,83,W,2,,0,,,,,,,,,,,,,
1902,9,25,,1902/09/25,,,4,1,13,4,83,N,2,,0,,,,,,,,,,,,,
1902,9,26,,1902/09/26,,,8,4,16,8,72,N,2,,0,,,,,,,,,,,,,
1902,9,27,,1902/09/27,,,11,3,18,9,75,N,1,,0,,,,,,,,,,,,,
1902,9,28,,1902/09/28,,,7,-4,15,6,85,E,1,S,3,,,,,,,,,,,,,
1902,9,29,,1902/09/29,,,5,-2,13,3,69,W,1,,0,,,,,,,,,,,,,
1902,9,30,,1902/09/30,,,8,3,16,7,86,,,,0,,,,,,,,,,,,,
1902,10,1,,1902/10/01,,,3,-5,11,2,83,W,2,,0,,,,,,,,,,,,,
1902,10,2,,1902/10/02,,,3,0,13,3,83,W,1,,0,,,,,,,,,,,,,
1902,10,3,,1902/10/03,,,8,5,19,,59,N,1,,0,,,,,,,,,,,,,
1902,10,5,,1902/10/05,,,11,-1,19,9,75,N,1,,0,,,,,,,,,,,,,
1902,10,7,,1902/10/07,,,6,-4,,5,85,,,C,3,,,,,,,,,,,,,
1902,10,8,,1902/10/08,,,8,2,17,7,86,N,1,,0,,,,,,,,,,,,,
1902,10,9,,1902/10/09,,,8,0,17,7,86,N,1,,0,,,,,,,,,,,,,
1902,10,10,,1902/10/10,,,10,2,22,10,50,N,2,C,2,,,,,,,,,,,,,
1902,10,11,,1902/10/11,,,10,0,18,8,74,SE,2,,0,,,,,,,,,,,,,
1902,10,12,,1902/10/12,,,6,-4,13,5,85,,,S,3,,,,,,,,,,,,,
1902,10,13,,1902/10/13,,,6,0,13,5,85,,,,0,,,,,,,,,,,,,
1902,10,14,,1902/10/14,,,15,9,21,11,68,N,2,,0,,,,,,,,,,,,,
1902,10,15,,1902/10/15,,,10,-5,,8,74,N,2,,0,,,,,,,,,,,,,
1902,10,16,,1902/10/16,,,15,5,25,13,68,N,1,,0,,,,,,,,,,,,,
1902,10,17,,1902/10/17,,,19,4,23,13,46,,,C,3,,,,,,,,,,,,,
1902,10,18,,1902/10/18,,,10,-9,,7,62,E,2,,0,,,,,,,,,,,,,
1902,10,19,,1902/10/19,,,14,4,22,11,78,N,2,C,3,,,,,,,,,,,,,
1902,10,20,,1902/10/20,,,18,4,20,13,71,N,1,C,3,,,,,,,,,,,,,
1902,10,21,,1902/10/21,,,17,-1,,13,61,N,1,,0,,,,,,,,,,,,,
1902,10,22,,1902/10/22,,,20,3,31,16,64,N,1,C,2,,,,,,,,,,,,,
1902,10,23,,1902/10/23,,,17,-3,22,15,70,,,,0,,,,,,,,,,,,,
1902,10,24,,1902/10/24,,,14,-3,28,,67,E,2,C,3,,,,,,,,,,,,,
1902,10,25,,1902/10/25,,,15,1,21,13,68,,,,0,,,,,,,,,,,,,
1902,10,26,,1902/10/26,,,15,0,22,11,68,,,,0,,,,,,,,,,,,,
