YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1902,2,21,"Salta-La Merced",1902/02/21,,,22,-3,24,13,82,NE,1,N,3,,,,,,,,,,,,
1902,2,22,"Salta-La Merced",1902/02/22,,,22,0,24,13,82,,0,KN,3,,,,,,,,,,,,
1902,2,23,"Salta-La Merced",1902/02/23,,,21,-1,22,12,82,,0,NK,2,,,,,,,,,,,,
1902,2,24,"Salta-La Merced",1902/02/24,,,25,4,27,11,61,NE,1,K,1,,,,,,,,,,,,
1902,2,25,"Salta-La Merced",1902/02/25,,,25,0,29,12,68,N,1,K,2,,,,,,,,,,,,
1902,2,26,"Salta-La Merced",1902/02/26,,,24,-1,26,13,75,,0,C,2,,,,,,,,,,,,
1902,2,27,"Salta-La Merced",1902/02/27,,,26,2,28,13,55,NW,1,K,2,,,,,,,,,,,,
1902,2,28,"Salta-La Merced",1902/02/28,,,24,-2,25,14,60,N,1,KN,3,,,,,,,,,,,,
1902,3,1,"Salta-La Merced",1902/03/01,,,23,-1,23,10,66,NE,1,KN,2,,,,,,,,,,,,
1902,3,2,"Salta-La Merced",1902/03/02,,,25,2,25,10,54,S,2,K,2,,,,,,,,,,,,
1902,3,3,"Salta-La Merced",1902/03/03,,,27,2,27,10,49,NW,1,CK,1,,,,,,,,,,,,
1902,3,4,"Salta-La Merced",1902/03/04,,,20,1,28,10,44,N,1,K,1,,,,,,,,,,,,
1902,3,5,"Salta-La Merced",1902/03/05,,,29,1,29,11,46,,0,K,1,,,,,,,,,,,,
1902,3,6,"Salta-La Merced",1902/03/06,,,26,-3,30,13,62,NE,2,K,2,,,,,,,,,,,,
1902,3,7,"Salta-La Merced",1902/03/07,,,27,1,27,11,49,NE,1,K,2,,,,,,,,,,,,
1902,3,8,"Salta-La Merced",1902/03/08,760.8,2.4,24,-3,27,10,67,S,1,K,1,,,,,,,,,,,,
1902,3,9,"Salta-La Merced",1902/03/09,759.4,1.4,27,3,27,11,56,NE,2,K,1,,,,,,,,,,,,
1902,3,10,"Salta-La Merced",1902/03/10,757.8,-1.6,26,-1,26,11,55,NE,2,K,1,,,,,,,,,,,,
1902,3,12,"Salta-La Merced",1902/03/12,754,-1.3,29,2,29,12,52,NE,1,K,1,,,,,,,,,,,,
1902,3,13,"Salta-La Merced",1902/03/13,761.3,7.3,20,-9,21,13,72,E,2,KS,3,,,,,,,,,,,,
1902,3,14,"Salta-La Merced",1902/03/14,762.4,11,24,4,24,10,60,NE,1,K,1,,,,,,,,,,,,
1902,3,15,"Salta-La Merced",1902/03/15,763.3,0.9,21,-3,21,11,73,E,2,K,2,,,,,,,,,,,,
1902,3,16,"Salta-La Merced",1902/03/16,760.9,-2.4,25,4,25,11,47,NE,1,K,1,,,,,,,,,,,,
1902,3,19,"Salta-La Merced",1902/03/19,758.3,1.9,27,1,,,,E,2,KN,2,,,,,,,,,,,,
1902,3,21,"Salta-La Merced",1902/03/21,763.3,-4,21,2,21,9,65,N,1,C,2,,,,,,,,,,,,
1902,3,22,"Salta-La Merced",1902/03/22,762.4,-0.9,25,4,25,11,54,NE,1,CK,1,,,,,,,,,,,,
1902,3,23,"Salta-La Merced",1902/03/23,762.4,0,25,0,26,19,54,NE,1,NK,2,,,,,,,,,,,,
1902,3,24,"Salta-La Merced",1902/03/24,759.1,-3.3,26,1,26,7,55,NE,2,K,1,,,,,,,,,,,,
1902,3,25,"Salta-La Merced",1902/03/25,758.4,-0.7,25,-1,26,9,26,NE,1,NC,2,,,,,,,,,,,,
1902,3,26,"Salta-La Merced",1902/03/26,758.8,0.4,24,-1,25,10,75,E,1,CKN,2,,,,,,,,,,,,
1902,3,27,"Salta-La Merced",1902/03/27,759.8,1,22,-2,22,10,82,E,1,N,2,,,,,,,,,,,,
1902,3,30,"Salta-La Merced",1902/03/30,763.7,-3.1,17,-1,17,6,90,E,1,K,3,,,,,,,,,,,,
1902,3,31,"Salta-La Merced",1902/03/31,759.2,-4.5,17,0,17,7,80,NE,1,K,3,,,,,,,,,,,,
1902,4,2,"Salta-La Merced",1902/04/02,760.5,4.1,23,-2,23,7,52,N,1,K,2,,,,,,,,,,,,
1902,4,3,"Salta-La Merced",1902/04/03,760,-0.5,24,1,25,8,60,NE,1,K,2,,,,,,,,,,,,
1902,4,4,"Salta-La Merced",1902/04/04,757.4,-3.6,25,1,25,9,61,NE,1,K,2,,,,,,,,,,,,
1902,4,5,"Salta-La Merced",1902/04/05,761.8,5.4,21,-4,21,11,73,E,8,K,2,,,,,,,,,,,,
