YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"San Antonio",1902/02/21,758.8,-0.2,22,2,23,6,74,E,2,C,1,,,,,,,,,,,,,
1902,2,22,"San Antonio",1902/02/22,758.7,-0.1,22,0,23,7,66,S,2,C,2,,,,,,,,,,,,,
1902,2,23,"San Antonio",1902/02/23,755.9,-2.8,30,8,31,3,41,E,2,C,1,,,,,,,,,,,,,
1902,2,24,"San Antonio",1902/02/24,750.2,-5.7,39,9,40,11,25,N,2,C,1,,,,,,,,,,,,,
1902,2,25,"San Antonio",1902/02/25,757,6.8,19,-20,20,8,46,SE,1,,0,,,,,,,,,,,,,
1902,2,26,"San Antonio",1902/02/26,753.7,-3.3,23,4,23,4,44,SW,1,C,1,,,,,,,,,,,,,
1902,2,27,"San Antonio",1902/02/27,752.8,-0.9,21,-2,23,4,41,S,1,K,2,,,,,,,,,,,,,
1902,2,28,"San Antonio",1902/02/28,754.8,2,22,1,25,5,36,W,1,C,2,,,,,,,,,,,,,
1902,3,1,"San Antonio",1902/03/01,756.1,1.3,19,-3,24,3,54,SE,1,C,1,,,,,,,,,,,,,
1902,3,2,"San Antonio",1902/03/02,754,-2.1,19,0,21,9,38,S,1,C,1,,,,,,,,,,,,,
1902,3,3,"San Antonio",1902/03/03,752.7,-1.3,24,5,25,6,39,W,3,K,3,,,,,,,,,,,,,
1902,3,4,"San Antonio",1902/03/04,755.3,2.6,21,-3,23,2,41,S,2,,0,,,,,,,,,,,,,
1902,3,5,"San Antonio",1902/03/05,761.8,6.5,19,-2,20,5,63,,0,S,,,,,,,,,,,,,,
1902,3,6,"San Antonio",1902/03/06,755.7,-6.1,24,5,27,6,53,S,1,C,1,,,,,,,,,,,,,
1902,3,7,"San Antonio",1902/03/07,759.1,3.4,18,-6,20,6,90,S,1,C,1,,,,,,,,,,,,,
1902,3,8,"San Antonio",1902/03/08,760.5,1.4,17,-1,19,2,90,E,1,K,3,,,,,,,,,,,,,
1902,3,9,"San Antonio",1902/03/09,765.6,5.1,15,-2,15,1,68,E,1,K,3,,,,,,,,,,,,,
