YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"San Lorenzo",1902/02/21,755.4,0.3,37,1,38,20,35,SW,2,K,1,,,,,,,,,,,,,
1902,2,22,"San Lorenzo",1902/02/22,756.1,0.7,35,-2,37,29,42,S,2,K,1,,,,,,,,,,,,,
1902,2,23,"San Lorenzo",1902/02/23,759.1,3,36,1,37,22,42,SW,2,K,2,,,,,,,,,,,,,
1902,2,24,"San Lorenzo",1902/02/24,758.7,-0.4,35,-1,36,18,32,S,2,K,1,,,,,,,,,,,,,
1902,2,25,"San Lorenzo",1902/02/25,755.9,-2.8,37,2,39,19,35,E,2,K,2,,,,,,,,,,,,,
1902,2,26,"San Lorenzo",1902/02/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,27,"San Lorenzo",1902/02/27,753.9,1.1,29,-10,29,22,64,NW,2,N,2,,,,,,,,,,,,,
1902,2,28,"San Lorenzo",1902/02/28,755,1.1,32,3,34,21,54,S,2,K,2,,,,,,,,,,,,,
1902,3,1,"San Lorenzo",1902/03/01,759.5,4.5,32,0,33,21,49,SE,2,K,1,,,,,,,,,,,,,
1902,3,2,"San Lorenzo",1902/03/02,757.5,-2,32,0,32,20,49,SE,2,K,1,,,,,,,,,,,,,
1902,3,3,"San Lorenzo",1902/03/03,756.3,-1.2,35,3,35,22,46,SW,2,K,2,,,,,,,,,,,,,
1902,3,4,"San Lorenzo",1902/03/04,754.9,-1.4,36,1,37,23,47,NW,2,K,2,,,,,,,,,,,,,
1902,3,5,"San Lorenzo",1902/03/05,756.4,1.5,32,-4,35,24,60,NW,1,N,2,,,,,,,,,,,,,
1902,3,6,"San Lorenzo",1902/03/06,758,1.6,33,1,34,23,55,NW,1,K,2,,,,,,,,,,,,,
1902,3,7,"San Lorenzo",1902/03/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,8,"San Lorenzo",1902/03/08,757.4,,33,,33,22,50,E,1,N,2,,,,,,,,,,,,,
1902,3,9,"San Lorenzo",1902/03/09,759.6,2.2,33,0,33,20,50,S,2,K,1,,,,,,,,,,,,,
1902,3,10,"San Lorenzo",1902/03/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,12,"San Lorenzo",1902/03/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,13,"San Lorenzo",1902/03/13,759.2,,25,,26,18,61,S,2,N,2,,,,,,,,,,,,,
1902,3,14,"San Lorenzo",1902/03/14,763.5,4.3,30,5,30,17,41,SW,1,K,1,,,,,,,,,,,,,
1902,3,15,"San Lorenzo",1902/03/15,761.8,-1.7,30,0,31,16,36,E,2,,0,,,,,,,,,,,,,
1902,3,16,"San Lorenzo",1902/03/16,761.1,-0.7,31,1,32,15,48,N,2,,0,,,,,,,,,,,,,
1902,3,19,"San Lorenzo",1902/03/19,757.4,-0.1,34,2,35,22,40,NW,1,K,2,,,,,,,,,,,,,
1902,3,21,"San Lorenzo",1902/03/21,761.7,-1,32,0,32,16,49,E,1,K,1,,,,,,,,,,,,,
1902,3,22,"San Lorenzo",1902/03/22,762,0.3,34,2,34,18,45,NE,1,K,1,,,,,,,,,,,,,
1902,3,23,"San Lorenzo",1902/03/23,762.4,0.4,34,0,34,18,40,SE,2,K,1,,,,,,,,,,,,,
1902,3,24,"San Lorenzo",1902/03/24,760.5,-1.9,35,1,35,18,42,N,2,K,2,,,,,,,,,,,,,
1902,3,25,"San Lorenzo",1902/03/25,756.8,-3.7,35,0,36,22,46,N,2,K,2,,,,,,,,,,,,,
1902,3,26,"San Lorenzo",1902/03/26,757.9,1.1,30,-5,31,22,64,NE,1,K,2,,,,,,,,,,,,,
1902,3,27,"San Lorenzo",1902/03/27,757.9,0,28,-2,28,22,70,W,1,N,2,,,,,,,,,,,,,
1902,3,30,"San Lorenzo",1902/03/30,760.8,-4,26,5,27,14,62,SE,2,N,2,,,,,,,,,,,,,
1902,3,31,"San Lorenzo",1902/03/31,756.6,-4.2,29,3,29,15,52,N,1,S,2,,,,,,,,,,,,,
1902,4,2,"San Lorenzo",1902/04/02,760.2,,28,,28,17,57,SE,2,K,1,,,,,,,,,,,,,
1902,4,3,"San Lorenzo",1902/04/03,760.1,-0.1,22,-6,27,21,100,SE,1,N,3,,,,,,,,,,,,,
1902,4,4,"San Lorenzo",1902/04/04,759.1,-1,23,1,24,19,91,SW,1,N,3,,,,,,,,,,,,,
1902,4,5,"San Lorenzo",1902/04/05,759.2,0.1,27,4,28,18,63,W,2,K,1,,,,,,,,,,,,,
1902,4,6,"San Lorenzo",1902/04/06,760.5,1.3,23,-4,24,16,66,SW,2,K,2,,,,,,,,,,,,,
1902,4,7,"San Lorenzo",1902/04/07,759.9,-0.6,20,-3,21,16,81,SW,1,N,1,,,,,,,,,,,,,
1902,4,8,"San Lorenzo",1902/04/08,759.6,-0.3,25,5,,,34,SW,1,K,1,,,,,,,,,,,,,
1902,4,9,"San Lorenzo",1902/04/09,760.4,0.8,22,-3,28,15,91,SW,1,K,1,,,,,,,,,,,,,
1902,4,10,"San Lorenzo",1902/04/10,760.3,-0.1,26,4,28,15,55,E,1,K,1,,,,,,,,,,,,,
1902,4,12,"San Lorenzo",1902/04/12,760,-2,18,-10,24,22,100,SE,1,N,3,,,,,,,,,,,,,
1902,4,13,"San Lorenzo",1902/04/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,14,"San Lorenzo",1902/04/14,760.6,,25,,26,14,83,E,1,S,2,,,,,,,,,,,,,
1902,4,16,"San Lorenzo",1902/04/16,760.2,-0.5,27,-4,27,15,77,E,1,S,3,,,,,,,,,,,,,
1902,4,19,"San Lorenzo",1902/04/19,761.4,-1.5,25,0,26,18,76,E,1,N,2,,,,,,,,,,,,,
1902,4,20,"San Lorenzo",1902/04/20,759,-2.4,29,4,29,18,64,NE,2,N,1,,,,,,,,,,,,,
1902,4,24,"San Lorenzo",1902/04/24,762.7,-3.7,23,2,23,13,66,E,1,K,1,,,,,,,,,,,,,
1902,4,26,"San Lorenzo",1902/04/26,763.4,0.2,25,0,26,16,76,SE,1,K,2,,,,,,,,,,,,,
1902,4,27,"San Lorenzo",1902/04/27,,,28,3,28,16,57,NE,1,K,2,,,,,,,,,,,,,
1902,4,29,"San Lorenzo",1902/04/29,765.6,,24,-1,24,14,60,E,1,S,1,,,,,,,,,,,,,
1902,5,3,"San Lorenzo",1902/05/03,755.7,-3.5,27,0,28,14,56,N,2,S,2,,,,,,,,,,,,,
1902,5,4,"San Lorenzo",1902/05/04,759.5,3.8,29,2,30,19,64,N,1,K,1,,,,,,,,,,,,,
1902,5,6,"San Lorenzo",1902/05/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,8,"San Lorenzo",1902/05/08,755.5,-2.2,31,3,29,22,53,N,2,C,1,,,,,,,,,,,,,
1902,5,16,"San Lorenzo",1902/05/16,763.5,1.2,16,-3,16,13,89,S,1,S,3,,,,,,,,,,,,,
1902,5,17,"San Lorenzo",1902/05/17,761.7,-1.8,15,-1,17,15,100,SW,1,N,3,,,,,,,,,,,,,
1902,5,18,"San Lorenzo",1902/05/18,763.9,2.2,16,1,17,14,90,S,1,N,2,,,,,,,,,,,,,
1902,5,19,"San Lorenzo",1902/05/19,763.9,0,23,7,23,10,59,N,1,C,1,,,,,,,,,,,,,
1902,5,20,"San Lorenzo",1902/05/20,761.8,-2.1,23,0,24,11,50,N,2,S,1,,,,,,,,,,,,,
1902,5,21,"San Lorenzo",1902/05/21,761.2,-0.6,25,2,26,12,91,NE,2,C,1,,,,,,,,,,,,,
1902,5,22,"San Lorenzo",1902/05/22,762.3,1.1,27,2,27,14,69,NE,1,K,2,,,,,,,,,,,,,
1902,5,23,"San Lorenzo",1902/05/23,761.4,-0.9,26,-1,,,13,N,1,K,1,,,,,,,,,,,,,
1902,5,24,"San Lorenzo",1902/05/24,759.7,-1.7,27,1,28,17,63,N,2,K,1,,,,,,,,,,,,,
1902,5,25,"San Lorenzo",1902/05/25,759.2,-0.5,28,1,29,18,57,N,2,K,1,,,,,,,,,,,,,
1902,5,26,"San Lorenzo",1902/05/26,758.3,-0.9,26,-2,27,18,69,NE,2,S,1,,,,,,,,,,,,,
1902,5,27,"San Lorenzo",1902/05/27,755.1,-3.2,29,3,29,22,64,NE,2,K,2,,,,,,,,,,,,,
1902,5,28,"San Lorenzo",1902/05/28,762.6,7.5,13,-16,15,13,88,S,2,N,3,,,,,,,,,,,,,
1902,5,29,"San Lorenzo",1902/05/29,761.5,-1.1,17,4,18,11,90,S,3,N,3,,,,,,,,,,,,,
1902,5,30,"San Lorenzo",1902/05/30,761.7,0.2,15,-2,18,8,89,E,2,N,3,,,,,,,,,,,,,
1902,5,31,"San Lorenzo",1902/05/31,761,-0.7,22,7,22,14,91,NE,1,N,2,,,,,,,,,,,,,
1902,6,1,"San Lorenzo",1902/06/01,758.4,-2.6,27,5,27,17,92,N,2,K,1,,,,,,,,,,,,,
1902,6,2,"San Lorenzo",1902/06/02,753.9,-4.5,27,0,28,17,69,N,2,K,2,,,,,,,,,,,,,
1902,6,3,"San Lorenzo",1902/06/03,754.6,0.7,21,-6,27,20,91,S,1,N,3,,,,,,,,,,,,,
1902,6,4,"San Lorenzo",1902/06/04,759.7,5.1,15,-6,17,14,68,S,2,N,3,,,,,,,,,,,,,
1902,6,5,"San Lorenzo",1902/06/05,766.1,6.4,17,2,17,8,43,N,1,S,1,,,,,,,,,,,,,
1902,6,6,"San Lorenzo",1902/06/06,762,-4.1,19,2,19,4,30,SE,1,K,1,,,,,,,,,,,,,
1902,6,7,"San Lorenzo",1902/06/07,762.1,0.1,18,-1,,,36,SW,1,S,1,,,,,,,,,,,,,
1902,6,8,"San Lorenzo",1902/06/08,765.6,3.5,18,0,18,4,44,E,1,,0,,,,,,,,,,,,,
1902,6,9,"San Lorenzo",1902/06/09,764.5,-1.1,20,2,20,6,25,NE,1,S,3,,,,,,,,,,,,,
1902,6,10,"San Lorenzo",1902/06/10,758.3,-6.2,26,-6,26,14,55,N,2,K,2,,,,,,,,,,,,,
1902,6,11,"San Lorenzo",1902/06/11,755.7,-2.6,24,-2,25,15,75,N,1,N,3,,,,,,,,,,,,,
1902,6,12,"San Lorenzo",1902/06/12,762.2,6.5,19,-5,20,16,81,SE,2,K,2,,,,,,,,,,,,,
1902,6,13,"San Lorenzo",1902/06/13,763.8,1.6,20,1,21,10,72,NE,1,N,2,,,,,,,,,,,,,
1902,6,14,"San Lorenzo",1902/06/14,763.8,1.6,20,1,21,10,72,NE,1,N,2,,,,,,,,,,,,,
1902,6,15,"San Lorenzo",1902/06/15,759.2,-3.3,28,1,29,15,63,NE,2,S,2,,,,,,,,,,,,,
1902,6,16,"San Lorenzo",1902/06/16,755.3,-3.9,28,0,28,20,44,NE,3,S,2,,,,,,,,,,,,,
1902,6,17,"San Lorenzo",1902/06/17,752.3,-3,28,0,28,24,44,N,3,S,2,,,,,,,,,,,,,
