YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"San Martin",1902/02/21,760.2,6.1,29,-8,30,19,78,W,1,K,2,,,,,,,,,,,,,
1902,2,22,"San Martin",1902/02/22,760.7,0.5,29,0,30,19,71,S,1,K,3,,,,,,,,,,,,,
1902,2,23,"San Martin",1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,"San Martin",1902/02/24,756.6,,37,,38,17,39,E,1,K,1,,,,,,,,,,,,,
1902,2,25,"San Martin",1902/02/25,754.3,-3.3,40,3,41,20,30,,0,K,2,,,,,,,,,,,,,
1902,2,26,"San Martin",1902/02/26,755.7,1.4,37,-3,39,22,53,NW,1,K,3,,,,,,,,,,,,,
1902,2,27,"San Martin",1902/02/27,752,-3.7,36,-1,37,18,52,,0,K,3,,,,,,,,,,,,,
1902,2,28,"San Martin",1902/02/28,757.8,5.8,22,-14,25,17,74,S,1,N,3,,,,,,,,,,,,,
1902,3,1,"San Martin",1902/03/01,758.1,0.3,30,8,31,15,53,E,1,K,2,,,,,,,,,,,,,
1902,3,2,"San Martin",1902/03/02,754.5,-3.6,36,6,37,16,42,E,1,C,2,,,,,,,,,,,,,
1902,3,3,"San Martin",1902/03/03,754.1,-0.4,37,1,38,19,30,E,1,K,1,,,,,,,,,,,,,
1902,3,4,"San Martin",1902/03/04,752.4,-1.7,40,3,40,19,76,E,2,K,1,,,,,,,,,,,,,
1902,3,5,"San Martin",1902/03/05,759.6,7.2,27,-13,28,20,56,S,2,N,3,,,,,,,,,,,,,
1902,3,6,"San Martin",1902/03/06,756.1,-3.5,34,7,35,20,45,E,1,K,2,,,,,,,,,,,,,
1902,3,7,"San Martin",1902/03/07,756.9,0.8,35,1,37,21,42,E,2,K,2,,,,,,,,,,,,,
1902,3,8,"San Martin",1902/03/08,758.8,1.9,34,-1,37,21,56,E,1,K,2,,,,,,,,,,,,,
1902,3,9,"San Martin",1902/03/09,758.4,-0.4,37,3,38,20,58,E,2,K,2,,,,,,,,,,,,,
1902,3,10,"San Martin",1902/03/10,757.3,-1.1,36,-1,37,21,38,E,2,K,2,,,,,,,,,,,,,
1902,3,12,"San Martin",1902/03/12,752.6,0.5,38,0,39,19,49,N,1,K,2,,,,,,,,,,,,,
1902,3,13,"San Martin",1902/03/13,758.5,5.9,32,-6,33,20,38,N,1,K,2,,,,,,,,,,,,,
1902,3,14,"San Martin",1902/03/14,760,1.5,35,3,36,16,46,E,2,K,1,,,,,,,,,,,,,
1902,3,15,"San Martin",1902/03/15,756.1,-3.9,34,-1,35,19,45,E,2,C,1,,,,,,,,,,,,,
1902,3,16,"San Martin",1902/03/16,755.2,-0.9,36,2,37,20,52,E,3,,0,,,,,,,,,,,,,
1902,3,19,"San Martin",1902/03/19,754.4,2.1,40,1,41,19,26,E,1,N,2,,,,,,,,,,,,,
1902,3,21,"San Martin",1902/03/21,757.5,-5.7,33,7,34,13,12,N,1,KS,2,,,,,,,,,,,,,
1902,3,22,"San Martin",1902/03/22,759.6,2.1,35,2,36,13,57,N,1,K,2,,,,,,,,,,,,,
1902,3,23,"San Martin",1902/03/23,758.1,-1.5,37,2,38,19,53,E,1,C,1,,,,,,,,,,,,,
1902,3,24,"San Martin",1902/03/24,755.6,-2.5,37,0,38,23,53,E,3,C,2,,,,,,,,,,,,,
1902,3,25,"San Martin",1902/03/25,754.9,-0.7,38,1,39,22,39,N,1,K,2,,,,,,,,,,,,,
1902,3,26,"San Martin",1902/03/26,761.8,6.9,21,-17,22,19,91,S,1,N,3,,,,,,,,,,,,,
1902,3,27,"San Martin",1902/03/27,760.6,-1.2,20,-1,21,14,81,S,1,N,3,,,,,,,,,,,,,
1902,3,30,"San Martin",1902/03/30,761.5,-5.4,25,2,26,12,40,E,2,K,2,,,,,,,,,,,,,
1902,3,31,"San Martin",1902/03/31,754.9,-6.6,28,3,30,16,39,E,1,K,2,,,,,,,,,,,,,
1902,4,2,"San Martin",1902/04/02,757.4,0.9,36,-1,32,17,47,E,2,K,2,,,,,,,,,,,,,
1902,4,3,"San Martin",1902/04/03,760.2,2.8,28,-2,30,16,63,E,1,K,2,,,,,,,,,,,,,
1902,4,4,"San Martin",1902/04/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,5,"San Martin",1902/04/05,762.9,,26,,26,18,62,S,1,K,1,,,,,,,,,,,,,
1902,4,6,"San Martin",1902/04/06,761.4,-1.5,26,0,29,17,55,W,1,,,,,,,,,,,,,,,
1902,4,7,"San Martin",1902/04/07,757.9,-3.5,29,3,29,18,46,E,1,K,1,,,,,,,,,,,,,
1902,4,8,"San Martin",1902/04/08,756.5,-0.8,30,-1,31,14,41,E,1,C,2,,,,,,,,,,,,,
1902,4,9,"San Martin",1902/04/09,757.1,0.6,33,3,34,14,73,E,1,K,2,,,,,,,,,,,,,
1902,4,10,"San Martin",1902/04/10,756,-1.1,30,-3,31,16,53,E,2,C,1,,,,,,,,,,,,,
1902,4,12,"San Martin",1902/04/12,757.3,4.5,27,-4,30,17,49,E,1,K,2,,,,,,,,,,,,,
1902,4,13,"San Martin",1902/04/13,757.5,0.2,30,3,31,13,47,S,1,K,2,,,,,,,,,,,,,
1902,4,14,"San Martin",1902/04/14,757.1,-0.4,33,3,33,18,44,N,1,N,2,,,,,,,,,,,,,
1902,4,16,"San Martin",1902/04/16,756,,29,-3,31,19,58,E,1,K,2,,,,,,,,,,,,,
1902,4,19,"San Martin",1902/04/19,,,32,3,33,16,93,E,1,K,1,,,,,,,,,,,,,
1902,4,20,"San Martin",1902/04/20,,,32,0,34,16,43,E,2,C,1,,,,,,,,,,,,,
1902,4,24,"San Martin",1902/04/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,26,"San Martin",1902/04/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,27,"San Martin",1902/04/27,,,32,,33,20,60,E,2,K,1,,,,,,,,,,,,,
1902,4,29,"San Martin",1902/04/29,,,31,0,32,17,48,E,2,C,2,,,,,,,,,,,,,
1902,5,3,"San Martin",1902/05/03,,,30,1,31,12,41,E,1,,0,,,,,,,,,,,,,
1902,5,4,"San Martin",1902/05/04,,,32,2,32,10,43,E,1,C,1,,,,,,,,,,,,,
1902,5,6,"San Martin",1902/05/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,8,"San Martin",1902/05/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,16,"San Martin",1902/05/16,,,20,2,23,9,47,S,1,N,2,,,,,,,,,,,,,
1902,5,17,"San Martin",1902/05/17,,,23,3,24,9,37,S,1,C,1,,,,,,,,,,,,,
1902,5,18,"San Martin",1902/05/18,,,22,-1,24,2,43,NE,1,C,1,,,,,,,,,,,,,
1902,5,19,"San Martin",1902/05/19,,,24,2,25,2,46,NE,1,,0,,,,,,,,,,,,,
1902,5,20,"San Martin",1902/05/20,,,26,2,27,4,36,S,1,C,1,,,,,,,,,,,,,
1902,5,21,"San Martin",1902/05/21,,,27,1-,28,5,43,SE,1,C,1,,,,,,,,,,,,,
1902,5,22,"San Martin",1902/05/22,,,28,1,29,7,44,S,1,C,1,,,,,,,,,,,,,
