YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"San Nicolás",1902/02/21,757.1,1.1,32,-4,33,19,49,NE,2,K,3,,,,,,,,,,,,,
1902,2,22,"San Nicolás",1902/02/22,758.1,1,28,-4,29,18,57,S,3,K,1,,,,,,,,,,,,,
1902,2,23,"San Nicolás",1902/02/23,760.9,2.8,32,4,33,18,49,S,3,,0,,,,,,,,,,,,,
1902,2,24,"San Nicolás",1902/02/24,759.4,-1.5,34,2,35,14,31,N,1,,0,,,,,,,,,,,,,
1902,2,25,"San Nicolás",1902/02/25,756.6,-2.8,36,2,37,18,38,NE,2,C,2,,,,,,,,,,,,,
1902,2,26,"San Nicolás",1902/02/26,755.7,-0.9,27,-9,27,22,63,S,4,N,3,,,,,,,,,,,,,
1902,2,27,"San Nicolás",1902/02/27,755,-0.7,29,2,29,15,46,S,3,N,2,,,,,,,,,,,,,
1902,2,28,"San Nicolás",1902/02/28,759.7,4.7,23,-6,24,16,52,S,1,N,3,,,,,,,,,,,,,
1902,3,1,"San Nicolás",1902/03/01,760.7,1,30,7,31,13,36,E,1,,0,,,,,,,,,,,,,
1902,3,2,"San Nicolás",1902/03/02,757.9,-2.8,33,2,34,19,67,N,2,,0,,,,,,,,,,,,,
1902,3,3,"San Nicolás",1902/03/03,757,-0.9,33,0,33,17,34,NE,2,C,3,,,,,,,,,,,,,
1902,3,4,"San Nicolás",1902/03/04,751.6,-2.4,36,3,37,19,33,N,2,K,1,,,,,,,,,,,,,
1902,3,5,"San Nicolás",1902/03/05,750.3,4.7,21,-12,24,19,83,SE,2,N,3,,,,,,,,,,,,,
1902,3,6,"San Nicolás",1902/03/06,758.3,-1,26,2,26,16,76,SE,1,N,3,,,,,,,,,,,,,
1902,3,7,"San Nicolás",1902/03/07,759.8,1.5,27,1,27,18,63,S,2,K,3,,,,,,,,,,,,,
1902,3,8,"San Nicolás",1902/03/08,761,1.2,26,-1,26,17,55,SE,2,KN,2,,,,,,,,,,,,,
1902,3,9,"San Nicolás",1902/03/09,759.6,-1.4,30,4,31,16,36,E,1,K,1,,,,,,,,,,,,,
1902,3,10,"San Nicolás",1902/03/10,760.1,0.5,29,-1,30,16,58,E,2,K,2,,,,,,,,,,,,,
1902,3,12,"San Nicolás",1902/03/12,754.8,-1.7,19,-3,20,17,100,SW,3,N,3,,,,,,,,,,,,,
1902,3,13,"San Nicolás",1902/03/13,757.3,2.5,26,7,26,14,55,W,3,K,1,,,,,,,,,,,,,
1902,3,14,"San Nicolás",1902/03/14,761.2,3.9,28,2,29,12,44,SW,2,,0,,,,,,,,,,,,,
1902,3,15,"San Nicolás",1902/03/15,761.1,-0.1,32,4,33,14,33,N,1,K,1,,,,,,,,,,,,,
1902,3,16,"San Nicolás",1902/03/16,758.6,-2.5,32,0,32,18,38,NE,2,C,1,,,,,,,,,,,,,
1902,3,19,"San Nicolás",1902/03/19,759.7,3.9,28,-4,28,20,33,S,2,C,2,,,,,,,,,,,,,
1902,3,21,"San Nicolás",1902/03/21,761.6,-5.1,28,5,29,12,44,N,2,,0,,,,,,,,,,,,,
1902,3,22,"San Nicolás",1902/03/22,761,-0.6,34,6,35,17,31,,0,,0,,,,,,,,,,,,,
1902,3,23,"San Nicolás",1902/03/23,761.5,0.5,35,1,36,17,42,N,1,C,1,,,,,,,,,,,,,
1902,3,24,"San Nicolás",1902/03/24,750.6,-1.9,36,1,37,19,29,N,1,,0,,,,,,,,,,,,,
1902,3,25,"San Nicolás",1902/03/25,757.5,-2.1,36,0,37,20,42,N,2,K,2,,,,,,,,,,,,,
1902,3,26,"San Nicolás",1902/03/26,763.9,6.4,18,-18,18,16,90,S,2,N,3,,,,,,,,,,,,,
1902,3,27,"San Nicolás",1902/03/27,761.5,-2.4,20,2,21,13,91,S,2,N,3,,,,,,,,,,,,,
1902,3,30,"San Nicolás",1902/03/30,761.8,-5.6,24,4,25,13,67,S,1,K,2,,,,,,,,,,,,,
1902,3,31,"San Nicolás",1902/03/31,756.5,-5.3,26,2,27,15,48,S,1,K,2,,,,,,,,,,,,,
1902,4,2,"San Nicolás",1902/04/02,760,3.9,28,3,29,12,39,NE,3,,0,,,,,,,,,,,,,
1902,4,3,"San Nicolás",1902/04/03,762.8,2.8,27,-1,28,19,49,E,2,C,1,,,,,,,,,,,,,
1902,4,4,"San Nicolás",1902/04/04,759.3,-3.5,28,1,29,15,51,E,2,K,2,,,,,,,,,,,,,
1902,4,5,"San Nicolás",1902/04/05,759.1,-0.2,23,-5,25,17,83,W,2,K,3,,,,,,,,,,,,,
1902,4,6,"San Nicolás",1902/04/06,761.1,2,24,1,25,17,60,S,2,K,1,,,,,,,,,,,,,
1902,4,7,"San Nicolás",1902/04/07,760.2,-0.9,25,1,25,11,61,SE,2,N,3,,,,,,,,,,,,,
1902,4,8,"San Nicolás",1902/04/08,759.3,-0.9,20,-5,23,11,81,SE,1,N,3,,,,,,,,,,,,,
1902,4,9,"San Nicolás",1902/04/09,759,-0.3,27,7,28,17,49,N,2,K,2,,,,,,,,,,,,,
1902,4,10,"San Nicolás",1902/04/10,760.6,1.6,18,-9,18,11,62,S,2,K,2,,,,,,,,,,,,,
1902,4,12,"San Nicolás",1902/04/12,759,3.8,21,-6,22,14,82,SE,1,K,1,,,,,,,,,,,,,
1902,4,13,"San Nicolás",1902/04/13,761,2,23,2,27,10,74,SE,1,K,2,,,,,,,,,,,,,
1902,4,14,"San Nicolás",1902/04/14,759.6,-1.4,27,4,27,14,36,NE,2,K,1,,,,,,,,,,,,,
1902,4,16,"San Nicolás",1902/04/16,760.8,0.8,21,-8,21,12,91,E,2,N,3,,,,,,,,,,,,,
1902,4,19,"San Nicolás",1902/04/19,760.5,-1.7,27,5,28,15,69,N,2,K,1,,,,,,,,,,,,,
1902,4,20,"San Nicolás",1902/04/20,756.8,-3.7,29,2,30,18,52,N,1,K,1,,,,,,,,,,,,,
1902,4,24,"San Nicolás",1902/04/24,762,-4.2,25,4,25,12,54,NE,2,,0,,,,,,,,,,,,,
1902,4,26,"San Nicolás",1902/04/26,764.6,2,27,1,28,15,69,N,1,K,2,,,,,,,,,,,,,
1902,4,27,"San Nicolás",1902/04/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,29,"San Nicolás",1902/04/29,763.8,-0.9,26,2,27,15,69,NE,1,,0,,,,,,,,,,,,,
1902,5,3,"San Nicolás",1902/05/03,753.7,-3.9,26,0,27,17,69,E,2,K,3,,,,,,,,,,,,,
1902,5,4,"San Nicolás",1902/05/04,760.6,6.9,24,-2,27,14,39,SE,3,C,3,,,,,,,,,,,,,
1902,5,6,"San Nicolás",1902/05/06,761.5,-1.4,21,1,22,17,91,SE,2,N,3,,,,,,,,,,,,,
1902,5,8,"San Nicolás",1902/05/08,755.5,-2,19,-1,19,18,100,E,1,N,3,,,,,,,,,,,,,
1902,5,16,"San Nicolás",1902/05/16,767.1,0.7,20,-1,21,9,91,,0,C,1,,,,,,,,,,,,,
1902,5,17,"San Nicolás",1902/05/17,762.4,-5.3,21,1,22,7,57,,0,,0,,,,,,,,,,,,,
1902,5,18,"San Nicolás",1902/05/18,760.3,-2.1,20,-1,22,10,72,N,2,C,1,,,,,,,,,,,,,
1902,5,19,"San Nicolás",1902/05/19,759.7,-0.6,22,2,23,10,66,N,1,,0,,,,,,,,,,,,,
1902,5,20,"San Nicolás",1902/05/20,760.1,0.4,24,2,24,13,67,N,1,C,1,,,,,,,,,,,,,
1902,5,21,"San Nicolás",1902/05/21,759.3,-0.8,25,1,26,13,61,NE,1,C,2,,,,,,,,,,,,,
1902,5,22,"San Nicolás",1902/05/22,759.7,0.4,26,1,27,16,62,N,1,,0,,,,,,,,,,,,,
1902,5,23,"San Nicolás",1902/05/23,758,-1,25,-1,26,17,61,N,1,C,2,,,,,,,,,,,,,
1902,5,24,"San Nicolás",1902/05/24,759.7,1,26,1,27,17,62,N,2,C,1,,,,,,,,,,,,,
1902,5,25,"San Nicolás",1902/05/25,755.1,-4.6,27,1,27,17,84,N,1,,0,,,,,,,,,,,,,
1902,5,26,"San Nicolás",1902/05/26,755.6,0.5,23,-4,26,18,83,NW,2,K,3,,,,,,,,,,,,,
1902,5,27,"San Nicolás",1902/05/27,754.1,-1.5,16,-7,17,13,89,W,2,N,3,,,,,,,,,,,,,
1902,5,28,"San Nicolás",1902/05/28,764.8,10.7,14,-2,15,7,57,,0,K,3,,,,,,,,,,,,,
1902,5,29,"San Nicolás",1902/05/29,762.8,-2,17,3,18,6,70,,0,,0,,,,,,,,,,,,,
1902,5,30,"San Nicolás",1902/05/30,761.9,-0.9,14,-3,15,4,78,E,1,N,3,,,,,,,,,,,,,
1902,5,31,"San Nicolás",1902/05/31,759.9,-2,21,7,22,10,73,N,1,C,2,,,,,,,,,,,,,
1902,6,1,"San Nicolás",1902/06/01,755.2,-4.7,22,1,24,13,66,W,2,N,3,,,,,,,,,,,,,
1902,6,2,"San Nicolás",1902/06/02,750,-5.2,21,-1,24,15,91,NE,2,N,3,,,,,,,,,,,,,
1902,6,3,"San Nicolás",1902/06/03,759.2,9.2,14,-7,15,8,47,NE,2,N,3,,,,,,,,,,,,,
1902,6,4,"San Nicolás",1902/06/04,762,2.8,10,-4,11,7,86,S,1,N,3,,,,,,,,,,,,,
1902,6,5,"San Nicolás",1902/06/05,,,13,3,25,2,66,N,2,,0,,,,,,,,,,,,,
1902,6,6,"San Nicolás",1902/06/06,761.4,,16,3,16,2,89,,0,C,2,,,,,,,,,,,,,
1902,6,7,"San Nicolás",1902/06/07,762.1,0.7,14,-2,17,5,28,SW,1,,0,,,,,,,,,,,,,
1902,6,8,"San Nicolás",1902/06/08,764.3,2.2,15,1,15,-1,39,NE,1,C,1,,,,,,,,,,,,,
1902,6,9,"San Nicolás",1902/06/09,765.5,1.2,14,-1,15,7,67,E,1,C,3,,,,,,,,,,,,,
1902,6,10,"San Nicolás",1902/06/10,756.8,-8.7,17,3,20,3,70,N,1,N,3,,,,,,,,,,,,,
1902,6,11,"San Nicolás",1902/06/11,756.9,0.1,17,0,18,14,70,NE,1,C,3,,,,,,,,,,,,,
1902,6,12,"San Nicolás",1902/06/12,761.6,4.7,18,1,19,3,62,E,1,C,3,,,,,,,,,,,,,
1902,6,13,"San Nicolás",1902/06/13,763.4,1.8,19,1,20,8,63,N,1,C,2,,,,,,,,,,,,,
1902,6,14,"San Nicolás",1902/06/14,763.4,1.8,19,1,20,8,63,N,1,C,2,,,,,,,,,,,,,
1902,6,15,"San Nicolás",1902/06/15,755.3,-7,28,8,29,16,63,N,3,C,2,,,,,,,,,,,,,
1902,6,16,"San Nicolás",1902/06/16,753.2,-2.1,27,-1,27,18,69,NE,1,C,2,,,,,,,,,,,,,
1902,6,17,"San Nicolás",1902/06/17,750.1,-3.1,28,1,28,18,51,N,2,C,1,,,,,,,,,,,,,
1902,6,18,"San Nicolás",1902/06/18,756.4,6.3,13,-15,14,11,77,S,2,N,3,,,,,,,,,,,,,
1902,6,19,"San Nicolás",1902/06/19,762.3,5.9,15,2,16,6,78,SW,1,N,2,,,,,,,,,,,,,
1902,6,20,"San Nicolás",1902/06/20,766.5,4.2,13,-2,13,3,66,SE,1,N,3,,,,,,,,,,,,,
1902,6,21,"San Nicolás",1902/06/21,767,0.5,13,0,14,6,66,E,1,K,1,,,,,,,,,,,,,
1902,6,22,"San Nicolás",1902/06/22,767,0,13,0,15,7,88,E,1,K,1,,,,,,,,,,,,,
1902,6,23,"San Nicolás",1902/06/23,767.9,0.9,16,3,17,5,79,,0,C,1,,,,,,,,,,,,,
1902,6,24,"San Nicolás",1902/06/24,766.4,-1.5,14,-2,14,10,89,E,2,N,3,,,,,,,,,,,,,
1902,6,25,"San Nicolás",1902/06/25,761.7,-4.7,18,4,18,10,80,E,2,N,3,,,,,,,,,,,,,
1902,6,26,"San Nicolás",1902/06/26,760.3,-1.4,21,3,21,18,82,E,2,N,3,,,,,,,,,,,,,
1902,6,27,"San Nicolás",1902/06/27,760,-0.3,26,5,26,18,69,N,1,K,2,,,,,,,,,,,,,
1902,6,28,"San Nicolás",1902/06/28,763.7,5.7,16,-10,16,15,89,S,2,N,3,,,,,,,,,,,,,
1902,6,29,"San Nicolás",1902/06/29,763.3,-2.4,20,4,21,13,72,E,2,C,1,,,,,,,,,,,,,
1902,6,30,"San Nicolás",1902/06/30,761.4,-1.9,17,-3,18,11,80,W,2,N,3,,,,,,,,,,,,,
1902,7,1,"San Nicolás",1902/07/01,760.2,-1.2,21,4,22,8,73,N,1,N,3,,,,,,,,,,,,,
1902,7,2,"San Nicolás",1902/07/02,764.4,4.2,12,-9,12,9,76,S,3,N,3,,,,,,,,,,,,,
1902,7,4,"San Nicolás",1902/07/04,768.6,-2,12,-1,13,1,76,S,1,,0,,,,,,,,,,,,,
1902,7,5,"San Nicolás",1902/07/05,767,-1.6,15,3,15,5,58,N,1,C,2,,,,,,,,,,,,,
1902,7,6,"San Nicolás",1902/07/06,767.5,0.5,15,0,16,3,58,NE,2,K,3,,,,,,,,,,,,,
