YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"Santa Maria",1902/02/21,,,24,-1,24,19,46,,,K,2,,,,,,,,,,,,,
1902,2,22,"Santa Maria",1902/02/22,,,20,-4,22,18,64,N,3,,,,,,,,,,,,,,,
1902,2,23,"Santa Maria",1902/02/23,,,20,0,20,16,81,,,N,3,,,,,,,,,,,,,
1902,2,24,"Santa Maria",1902/02/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,25,"Santa Maria",1902/02/25,,,22,,25,17,74,,,N,3,,,,,,,,,,,,,
1902,2,26,"Santa Maria",1902/02/26,,,23,1,23,16,52,,,N,3,,,,,,,,,,,,,
1902,2,27,"Santa Maria",1902/02/27,,,24,1,24,15,60,,,N,2,,,,,,,,,,,,,
1902,2,28,"Santa Maria",1902/02/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,1,"Santa Maria",1902/03/01,,,23,,24,17,44,,,N,2,,,,,,,,,,,,,
1902,3,2,"Santa Maria",1902/03/02,,,25,2,25,17,34,,,C,1,,,,,,,,,,,,,
1902,3,3,"Santa Maria",1902/03/03,,,26,1,26,16,24,,,K,1,,,,,,,,,,,,,
1902,3,4,"Santa Maria",1902/03/04,,,26,0,30,15,30,,,N,2,,,,,,,,,,,,,
1902,3,5,"Santa Maria",1902/03/05,,,27,1,28,17,31,,,K,2,,,,,,,,,,,,,
1902,3,6,"Santa Maria",1902/03/06,,,27,0,26,17,56,,,K,1,,,,,,,,,,,,,
1902,3,7,"Santa Maria",1902/03/07,,,26,-1,26,19,42,,,N,2,,,,,,,,,,,,,
1902,3,8,"Santa Maria",1902/03/08,,,26,0,26,17,42,,,K,2,,,,,,,,,,,,,
1902,3,9,"Santa Maria",1902/03/09,,,26,0,26,18,48,,,K,1,,,,,,,,,,,,,
1902,3,10,"Santa Maria",1902/03/10,,,26,0,26,17,30,,,S,1,,,,,,,,,,,,,
1902,3,12,"Santa Maria",1902/03/12,,,27,1,27,16,31,,,K,1,,,,,,,,,,,,,
1902,3,13,"Santa Maria",1902/03/13,,,27,0,27,20,43,,,N,2,,,,,,,,,,,,,
1902,3,14,"Santa Maria",1902/03/14,,,25,-2,26,14,28,,,C,1,,,,,,,,,,,,,
1902,3,15,"Santa Maria",1902/03/15,,,25,0,25,15,34,,,K,1,,,,,,,,,,,,,
1902,3,16,"Santa Maria",1902/03/16,,,26,1,26,14,30,,,C,1,,,,,,,,,,,,,
1902,3,19,"Santa Maria",1902/03/19,,,25,0,25,20,34,,,K,2,,,,,,,,,,,,,
1902,3,21,"Santa Maria",1902/03/21,,,23,-1,24,15,37,,,K,1,,,,,,,,,,,,,
1902,3,22,"Santa Maria",1902/03/22,,,25,2,25,17,34,,,N,2,,,,,,,,,,,,,
1902,3,23,"Santa Maria",1902/03/23,,,23,-2,24,14,37,,,N,2,,,,,,,,,,,,,
1902,3,24,"Santa Maria",1902/03/24,,,23,0,23,13,31,,,K,1,,,,,,,,,,,,,
1902,3,25,"Santa Maria",1902/03/25,,,22,-1,23,14,23,,,N,2,,,,,,,,,,,,,
1902,3,26,"Santa Maria",1902/03/26,,,21,-1,23,15,57,,,N,3,,,,,,,,,,,,,
1902,3,27,"Santa Maria",1902/03/27,,,22,1,22,16,50,,,N,2,,,,,,,,,,,,,
1902,3,30,"Santa Maria",1902/03/30,,,21,2,21,15,41,,,N,1,,,,,,,,,,,,,
1902,3,31,"Santa Maria",1902/03/31,,,20,-1,20,14,40,,,N,3,,,,,,,,,,,,,
1902,4,2,"Santa Maria",1902/04/02,,,22,0,21,16,36,,,C,1,,,,,,,,,,,,,
1902,4,3,"Santa Maria",1902/04/03,,,22,0,22,16,29,,,C,1,,,,,,,,,,,,,
1902,4,4,"Santa Maria",1902/04/04,,,23,1,22,13,37,,,C,1,,,,,,,,,,,,,
1902,4,5,"Santa Maria",1902/04/05,,,23,0,23,15,25,,,K,1,,,,,,,,,,,,,
1902,4,6,"Santa Maria",1902/04/06,,,23,0,23,14,31,,,C,1,,,,,,,,,,,,,
1902,4,7,"Santa Maria",1902/04/07,,,22,-1,23,13,43,,,C,1,,,,,,,,,,,,,
1902,4,8,"Santa Maria",1902/04/08,,,22,0,22,14,36,,,S,1,,,,,,,,,,,,,
