YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"Sierra Grande",1902/02/21,757.5,-0.4,26,3,36,9,18,N,2,,,,,,,,,,,,,,,
1902,2,22,"Sierra Grande",1902/02/22,757.7,0.2,24,-2,28,10,20,SE,1,,,,,,,,,,,,,,,
1902,2,23,"Sierra Grande",1902/02/23,754.1,-3.6,31,7,32,10,22,S,2,,,,,,,,,,,,,,,
1902,2,24,"Sierra Grande",1902/02/24,747.7,-6.4,36,5,36,19,,NE,2,,,,,,,,,,,,,,,
1902,2,25,"Sierra Grande",1902/02/25,755.5,7.8,20,-16,26,8,35,NW,2,,,,,,,,,,,,,,,
1902,2,26,"Sierra Grande",1902/02/26,750,-5.5,23,3,25,5,18,SW,1,,,,,,,,,,,,,,,
1902,2,27,"Sierra Grande",1902/02/27,752.3,2.3,19,-4,24,7,46,SE,1,,,,,,,,,,,,,,,
1902,2,28,"Sierra Grande",1902/02/28,755.4,3.1,19,0,21,6,72,SE,2,,,,,,,,,,,,,,,
1902,3,1,"Sierra Grande",1902/03/01,757.6,2.2,20,1,23,5,11,SW,1,,,,,,,,,,,,,,,
1902,3,2,"Sierra Grande",1902/03/02,753.4,-4.2,23,3,23,4,37,N,1,,,,,,,,,,,,,,,
1902,3,3,"Sierra Grande",1902/03/03,752.5,-0.9,25,2,25,9,22,NW,2,,,,,,,,,,,,,,,
1902,3,4,"Sierra Grande",1902/03/04,755.1,2.6,20,-5,25,8,47,SW,3,,,,,,,,,,,,,,,
1902,3,5,"Sierra Grande",1902/03/05,760.9,5.8,19,-1,25,3,23,W,1,,1,,,,,,,,,,,,,
1902,3,6,"Sierra Grande",1902/03/06,757.3,-3.6,24,5,25,8,60,SE,1,,,,,,,,,,,,,,,
1902,3,7,"Sierra Grande",1902/03/07,761.6,4.3,16,-8,19,6,41,NE,2,,,,,,,,,,,,,,,
1902,3,8,"Sierra Grande",1902/03/08,760.5,-1.1,22,6,22,6,66,NE,2,,,,,,,,,,,,,,,
1902,3,9,"Sierra Grande",1902/03/09,765.8,5.3,12,-10,17,4,65,SW,1,,,,,,,,,,,,,,,
1902,3,10,"Sierra Grande",1902/03/10,756.4,-9.4,17,5,18,4,26,NW,2,,,,,,,,,,,,,,,
1902,3,12,"Sierra Grande",1902/03/12,756.1,,14,1,18,4,89,E,1,,,,,,,,,,,,,,,
1902,3,13,"Sierra Grande",1902/03/13,753.1,-3,21,7,21,0,49,S,1,,,,,,,,,,,,,,,
1902,3,14,"Sierra Grande",1902/03/14,757.4,4.3,21,0,22,8,34,S,1,,,,,,,,,,,,,,,
1902,3,15,"Sierra Grande",1902/03/15,754,-3.4,22,1,25,9,36,N,3,,,,,,,,,,,,,,,
1902,3,16,"Sierra Grande",1902/03/16,753,-1,26,4,27,10,30,W,2,,,,,,,,,,,,,,,
1902,3,19,"Sierra Grande",1902/03/19,760,11.6,18,-3,23,7,28,SW,1,,,,,,,,,,,,,,,
1902,3,21,"Sierra Grande",1902/03/21,,,28,7,30,8,33,,0,S,2,,,,,,,,,,,,,
1902,3,22,"Sierra Grande",1902/03/22,,,28,0,30,16,27,S,2,K,2,,,,,,,,,,,,,
1902,3,23,"Sierra Grande",1902/03/23,753.4,,27,-1,30,9,26,NE,2,C,1,,,,,,,,,,,,,
1902,3,24,"Sierra Grande",1902/03/24,753.7,0.3,28,1,29,14,22,S,2,C,2,,,,,,,,,,,,,
1902,3,25,"Sierra Grande",1902/03/25,761.5,7.8,18,-10,21,12,53,NE,2,C,1,,,,,,,,,,,,,
1902,3,26,"Sierra Grande",1902/03/26,757,5.5,16,-2,18,9,59," NE",1,K,1,,,,,,,,,,,,,
1902,3,27,"Sierra Grande",1902/03/27,763.7,-3.3,21,5,23,6,49,NW,1,K,2,,,,,,,,,,,,,
1902,3,30,"Sierra Grande",1902/03/30,753,-9.2,26,2,27,9,55,NW,3,,0,,,,,,,,,,,,,
1902,3,31,"Sierra Grande",1902/03/31,,,27,1,31,14,26,NW,1,C,2,,,,,,,,,,,,,
1902,4,2,"Sierra Grande",1902/04/02,755.3,,21,-2,25,8,65,NW,1,S,1,,,,,,,,,,,,,
1902,4,3,"Sierra Grande",1902/04/03,764.2,8.9,21,0,23,7,20,NW,1,S,2,,,,,,,,,,,,,
1902,4,4,"Sierra Grande",1902/04/04,756.1,-8.1,24,3,25,10,67,NW,2,C,1,,,,,,,,,,,,,
1902,4,5,"Sierra Grande",1902/04/05,762.6,6.5,18,-6,25,10,62,N,2,C,2,,,,,,,,,,,,,
1902,4,6,"Sierra Grande",1902/04/06,757.3,-5.3,24,6,26,8,39,SW,3,K,1,,,,,,,,,,,,,
1902,4,7,"Sierra Grande",1902/04/07,752,-5.3,26,2,27,12,36,W,3,S,2,,,,,,,,,,,,,
1902,4,8,"Sierra Grande",1902/04/08,757.2,5.2,14,-12,27,11,78,N,1,N,1,,,,,,,,,,,,,
1902,4,9,"Sierra Grande",1902/04/09,755.8,-1.4,11,-3,15,7,75,SW,4,N,3,,,,,,,,,,,,,
1902,4,10,"Sierra Grande",1902/04/10,757,1.2,18,7,19,7,36,NW,3,C,1,,,,,,,,,,,,,
1902,4,12,"Sierra Grande",1902/04/12,747.7,-3.7,18,-4,23,11,44,SW,2,S,2,,,,,,,,,,,,,
1902,4,13,"Sierra Grande",1902/04/13,752.3,4.6,19,1,24,7,54,W,3,S,1,,,,,,,,,,,,,
1902,4,14,"Sierra Grande",1902/04/14,748.2,-4.1,23,4,24,8,37,NW,3,C,2,,,,,,,,,,,,,
1902,4,16,"Sierra Grande",1902/04/16,755.8,,20,3,20,8,5,SE,1,K,2,,,,,,,,,,,,,
1902,4,19,"Sierra Grande",1902/04/19,755.4,-6,18,3,21,12,44,SW,1,N,1,,,,,,,,,,,,,
1902,4,20,"Sierra Grande",1902/04/20,747.4,-3,20,2,25,13,47,N,1,N,2,,,,,,,,,,,,,
1902,4,24,"Sierra Grande",1902/04/24,750.3,-2.2,24,-3,34,11,33,NW,3,C,2,,,,,,,,,,,,,
1902,4,26,"Sierra Grande",1902/04/26,762.3,-1.5,12,-1,17,8,43,SE,2,K,3,,,,,,,,,,,,,
1902,4,27,"Sierra Grande",1902/04/27,758.4,-3.9,15,3,15,11,89,NW,1,N,3,,,,,,,,,,,,,
1902,4,29,"Sierra Grande",1902/04/29,,,20,3,21,12,40,,0,C,1,,,,,,,,,,,,,
1902,5,3,"Sierra Grande",1902/05/03,746.6,-2.4,18,-3,22,11,53,SW,2,S,2,,,,,,,,,,,,,
1902,5,4,"Sierra Grande",1902/05/04,761.2,14.6,13,-5,19,7,66,,0,K,3,,,,,,,,,,,,,
1902,5,6,"Sierra Grande",1902/05/06,761.8,-1.9,10,-3,13,9,100,N,1,N,3,,,,,,,,,,,,,
1902,5,8,"Sierra Grande",1902/05/08,757.6,0.7,13,0,14,8,66,SW,1,K,2,,,,,,,,,,,,,
1902,5,16,"Sierra Grande",1902/05/16,754,-7,12,1,13,7,65,W,3,N,3,,,,,,,,,,,,,
1902,5,17,"Sierra Grande",1902/05/17,753,-1,12,0,14,3,88,,0,N,3,,,,,,,,,,,,,
1902,5,18,"Sierra Grande",1902/05/18,755.3,2.3,14,2,14,6,47,W,1,C,1,,,,,,,,,,,,,
1902,5,19,"Sierra Grande",1902/05/19,749.3,-6,18,4,18,9,53,W,1,K,2,,,,,,,,,,,,,
1902,5,20,"Sierra Grande",1902/05/20,751.4,2.1,19,1,21,10,54,,0,S,2,,,,,,,,,,,,,
