YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"Sta. CRUZ-Mazaredo",1902/02/21,750.4,-3.6,18,-2,21,8,80,NW,2,,0,,,,,,,,,,,,,
1902,2,22,"Sta. CRUZ-Mazaredo",1902/02/22,755.8,1.8,22,4,23,11,43,SW,2,,0,,,,,,,,,,,,,
1902,2,23,"Sta. CRUZ-Mazaredo",1902/02/23,749,-6.8,28,6,28,9,33,NW,2,C,1,,,,,,,,,,,,,
1902,2,24,"Sta. CRUZ-Mazaredo",1902/02/24,745.7,-5.3,24,-4,27,,46,NW,3,K,2,,,,,,,,,,,,,
1902,2,25,"Sta. CRUZ-Mazaredo",1902/02/25,748.7,5,16,-8,24,6,69,SW,3,C,1,,,,,,,,,,,,,
1902,2,26,"Sta. CRUZ-Mazaredo",1902/02/26,746.6,-2.1,19,3,19,4,23,SW,2,C,1,,,,,,,,,,,,,
1902,2,27,"Sta. CRUZ-Mazaredo",1902/02/27,746.4,-0.2,17,-2,18,8,80,SW,2,C,2,,,,,,,,,,,,,
1902,2,28,"Sta. CRUZ-Mazaredo",1902/02/28,751,4.6,14,-3,18,-5,31,SW,2,K,1,,,,,,,,,,,,,
1902,3,1,"Sta. CRUZ-Mazaredo",1902/03/01,758,7,15,1,16,3,68,SW,1,,0,,,,,,,,,,,,,
1902,3,2,"Sta. CRUZ-Mazaredo",1902/03/02,753.2,-4.8,12,-3,16,7,76,NW,2,N,3,,,,,,,,,,,,,
1902,3,3,"Sta. CRUZ-Mazaredo",1902/03/03,757.2,-6,18,6,21,9,44,NW,2,C,1,,,,,,,,,,,,,
1902,3,4,"Sta. CRUZ-Mazaredo",1902/03/04,750.5,3.3,11,-7,14,7,41,SW,2,CK,2,,,,,,,,,,,,,
1902,3,5,"Sta. CRUZ-Mazaredo",1902/03/05,755.7,5.2,15,4,17,4,63,NW,1,,0,,,,,,,,,,,,,
1902,3,6,"Sta. CRUZ-Mazaredo",1902/03/06,759.4,3.7,14,-1,17,7,57,NW,2,CK,2,,,,,,,,,,,,,
1902,3,7,"Sta. CRUZ-Mazaredo",1902/03/07,764,4.6,14,0,16,7,47,E,2,KC,3,,,,,,,,,,,,,
1902,3,8,"Sta. CRUZ-Mazaredo",1902/03/08,766.8,2.8,12,-2,12,5,54,SE,1,KC,2,,,,,,,,,,,,,
1902,3,9,"Sta. CRUZ-Mazaredo",1902/03/09,761.8,-1.2,15,3,17,3,48,W,1,,0,,,,,,,,,,,,,
1902,3,10,"Sta. CRUZ-Mazaredo",1902/03/10,757.6,-4.2,16,1,19,,41,E,2,CK,2,,,,,,,,,,,,,
1902,3,12,"Sta. CRUZ-Mazaredo",1902/03/12,756.4,-5.7,10,-2,14,8,100,N,2,N,2,,,,,,,,,,,,,
1902,3,13,"Sta. CRUZ-Mazaredo",1902/03/13,751.9,-4.5,17,7,18,9,34,SW,2,KC,2,,,,,,,,,,,,,
1902,3,14,"Sta. CRUZ-Mazaredo",1902/03/14,751.9,0,13,-4,16,2,77,W,1,N,2,,,,,,,,,,,,,
1902,3,15,"Sta. CRUZ-Mazaredo",1902/03/15,748.1,-3.8,23,10,24,7,25,SW,2,C,1,,,,,,,,,,,,,
1902,3,16,"Sta. CRUZ-Mazaredo",1902/03/16,748.1,0,23,0,24,10,18,SW,2,C,1,,,,,,,,,,,,,
1902,3,19,"Sta. CRUZ-Mazaredo",1902/03/19,759.1,17.5,14,-5,19,7,37,SW,2,C,1,,,,,,,,,,,,,
1902,3,21,"Sta. CRUZ-Mazaredo",1902/03/21,748.1,-6,23,10,25,12,25,SW,1,S,2,,,,,,,,,,,,,
1902,3,22,"Sta. CRUZ-Mazaredo",1902/03/22,752.7,4.6,20,-3,22,9,32,W,2,,0,,,,,,,,,,,,,
1902,3,23,"Sta. CRUZ-Mazaredo",1902/03/23,749.7,-3,25,5,27,10,47,W,2,,0,,,,,,,,,,,,,
