YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Tinogasta,1902/02/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,22,Tinogasta,1902/02/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,23,Tinogasta,1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,Tinogasta,1902/02/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,25,Tinogasta,1902/02/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,26,Tinogasta,1902/02/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,27,Tinogasta,1902/02/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,28,Tinogasta,1902/02/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,1,Tinogasta,1902/03/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,2,Tinogasta,1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,Tinogasta,1902/03/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,4,Tinogasta,1902/03/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,5,Tinogasta,1902/03/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,6,Tinogasta,1902/03/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,7,Tinogasta,1902/03/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,8,Tinogasta,1902/03/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,9,Tinogasta,1902/03/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,10,Tinogasta,1902/03/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,12,Tinogasta,1902/03/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,13,Tinogasta,1902/03/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,14,Tinogasta,1902/03/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,15,Tinogasta,1902/03/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,16,Tinogasta,1902/03/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,19,Tinogasta,1902/03/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,21,Tinogasta,1902/03/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,22,Tinogasta,1902/03/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,23,Tinogasta,1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,Tinogasta,1902/03/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,25,Tinogasta,1902/03/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,26,Tinogasta,1902/03/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,27,Tinogasta,1902/03/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,30,Tinogasta,1902/03/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,31,Tinogasta,1902/03/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,2,Tinogasta,1902/04/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,3,Tinogasta,1902/04/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,4,Tinogasta,1902/04/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,5,Tinogasta,1902/04/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,6,Tinogasta,1902/04/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,7,Tinogasta,1902/04/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,8,Tinogasta,1902/04/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,9,Tinogasta,1902/04/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,10,Tinogasta,1902/04/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,12,Tinogasta,1902/04/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,13,Tinogasta,1902/04/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,14,Tinogasta,1902/04/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,16,Tinogasta,1902/04/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,19,Tinogasta,1902/04/19,757.6,-3.3,32,2,32,12,28,E,1,K,1,,,,,,,,,,,,,
1902,4,20,Tinogasta,1902/04/20,756.3,-1.3,31,-1,31,12,27,,0,,0,,,,,,,,,,,,,
1902,4,24,Tinogasta,1902/04/24,755.2,-7.4,29,3,30,6,40,,0,C,1,,,,,,,,,,,,,
1902,4,26,Tinogasta,1902/04/26,764.4,3.9,24,-3,25,10,53,,0,K,2,,,,,,,,,,,,,
1902,4,27,Tinogasta,1902/04/27,762.2,-2.2,27,3,28,7,,SE,1,C,2,,,,,,,,,,,,,
1902,4,29,Tinogasta,1902/04/29,761.3,2.2,29,2,29,8,46,E,1,C,2,,,,,,,,,,,,,
1902,5,3,Tinogasta,1902/05/03,754.6,0.3,27,-5,28,12,20,SE,1,C,1,,,,,,,,,,,,,
1902,5,4,Tinogasta,1902/05/04,756,1.4,31,4,,6,1,,0,,0,,,,,,,,,,,,,
1902,5,6,Tinogasta,1902/05/06,759.1,-3.5,28,1,28,7,33,S,1,C,1,,,,,,,,,,,,,
1902,5,8,Tinogasta,1902/05/08,756.6,1.7,28,-2,30,6,39,E,1,K,1,,,,,,,,,,,,,
1902,5,16,Tinogasta,1902/05/16,766.2,1,6,-3,17,8,50,,0,N,2,,,,,,,,,,,,,
1902,5,17,Tinogasta,1902/05/17,763.1,-3.1,21,5,22,0,27,,0,,0,,,,,,,,,,,,,
1902,5,18,Tinogasta,1902/05/18,761.2,-1.9,26,5,26,0,48,,0,,0,,,,,,,,,,,,,
1902,5,19,Tinogasta,1902/05/19,760.5,-0.7,27,1,28,-2,15,,0,,0,,,,,,,,,,,,,
1902,5,20,Tinogasta,1902/05/20,760,-0.5,28,1,29,-1,17,,0,,0,,,,,,,,,,,,,
1902,5,21,Tinogasta,1902/05/21,758,-2,27,1,27,0,20,E,1,,0,,,,,,,,,,,,,
1902,5,22,Tinogasta,1902/05/22,760,2,28,1,28,1,22,NE,1,,0,,,,,,,,,,,,,
1902,5,23,Tinogasta,1902/05/23,759.1,-0.9,30,2,31,0,11,,0,,0,,,,,,,,,,,,,
1902,5,24,Tinogasta,1902/05/24,755.2,-3.9,32,2,33,-1,11,,0,C,2,,,,,,,,,,,,,
1902,5,25,Tinogasta,1902/05/25,755.1,-0.1,27,0,32,5,20,E,,,0,,,,,,,,,,,,,
1902,5,26,Tinogasta,1902/05/26,755.6,0.5,27,0,33,8,26,E,1,S,2,,,,,,,,,,,,,
1902,5,27,Tinogasta,1902/05/27,754.4,-1.2,24,-3,29,4,39,SE,1,K,1,,,,,,,,,,,,,
1902,5,28,Tinogasta,1902/05/28,761.4,7,20,-4,20,8,47,E,1,C,1,,,,,,,,,,,,,
1902,5,29,Tinogasta,1902/05/29,763.4,2,18,-2,18,-1,44,SE,1,K,1,,,,,,,,,,,,,
1902,5,30,Tinogasta,1902/05/30,757.7,-5.7,21,3,22,-2,41,,0,K,1,,,,,,,,,,,,,
1902,5,31,Tinogasta,1902/05/31,758.5,0.8,26,5,26,-1,30,E,1,,0,,,,,,,,,,,,,
1902,6,1,Tinogasta,1902/06/01,755.9,-2.6,28,2,31,1,33,S,1,,0,,,,,,,,,,,,,
1902,6,2,Tinogasta,1902/06/02,751.5,-4.4,31,3,32,0,9,E,1,C,1,,,,,,,,,,,,,
1902,6,3,Tinogasta,1902/06/03,757.2,5.7,21,-10,23,13,41,SE,1,,0,,,,,,,,,,,,,
1902,6,4,Tinogasta,1902/06/04,763.7,6.5,17,-4,18,9,26,SE,1,K,1,,,,,,,,,,,,,
1902,6,5,Tinogasta,1902/06/05,765.3,1.6,16,-1,18,-3,32,E,1,C,2,,,,,,,,,,,,,
1902,6,6,Tinogasta,1902/06/06,762.5,-2.8,16,0,17,-5,32,E,1,K,2,,,,,,,,,,,,,
1902,6,7,Tinogasta,1902/06/07,766.1,3.6,12,-4,19,-2,76,NE,1,,0,,,,,,,,,,,,,
1902,6,8,Tinogasta,1902/06/08,760.8,-5.3,20,8,21,-3,25,,0,C,2,,,,,,,,,,,,,
1902,6,9,Tinogasta,1902/06/09,764.1,3.3,18,,19,-2,36,SE,1,C,3,,,,,,,,,,,,,
1902,6,10,Tinogasta,1902/06/10,752.8,-12.3,29,11,30,-2,9,NW,3,K,1,,,,,,,,,,,,,
1902,6,11,Tinogasta,1902/06/11,755.6,2.8,24,-5,27,5,14,E,1,S,2,,,,,,,,,,,,,
1902,6,12,Tinogasta,1902/06/12,760.7,5.1,22,-2,22,0,29,NE,1,S,1,,,,,,,,,,,,,
1902,6,13,Tinogasta,1902/06/13,761.1,0.4,21,-1,21,-1,27,E,1,S,2,,,,,,,,,,,,,
1902,6,14,Tinogasta,1902/06/14,761.1,0.4,21,-1,21,-1,27,E,1,S,2,,,,,,,,,,,,,
1902,6,15,Tinogasta,1902/06/15,,,16,-9,21,-5,24,N,1,C,3,,,,,,,,,,,,,
1902,6,16,Tinogasta,1902/06/16,754.5,,27,11,28,-1,10,,0,S,1,,,,,,,,,,,,,
1902,6,17,Tinogasta,1902/06/17,753.3,-1.2,32,5,32,4,7,NW,3,K,1,,,,,,,,,,,,,
1902,6,18,Tinogasta,1902/06/18,758.9,5.6,19,-13,20,1,54,,0,,0,,,,,,,,,,,,,
1902,6,19,Tinogasta,1902/06/19,761.9,3,18,-1,19,-2,44,SE,1,S,1,,,,,,,,,,,,,
1902,6,20,Tinogasta,1902/06/20,765.2,3.3,16,-2,18,1,50,,0,K,1,,,,,,,,,,,,,
1902,6,21,Tinogasta,1902/06/21,761.9,-3.3,17,1,17,-2,34,E,1,C,3,,,,,,,,,,,,,
1902,6,22,Tinogasta,1902/06/22,768.5,6.6,11,-6,12,-3,32,E,1,K,3,,,,,,,,,,,,,
1902,6,23,Tinogasta,1902/06/23,766.9,-1.6,15,4,17,-2,39,E,1,,0,,,,,,,,,,,,,
1902,6,24,Tinogasta,1902/06/24,764.2,-2.7,19,4,20,-4,23,,0,,0,,,,,,,,,,,,,
1902,6,25,Tinogasta,1902/06/25,759.3,-4.9,22,3,22,-4,22,E,1,K,1,,,,,,,,,,,,,
1902,6,26,Tinogasta,1902/06/26,758.4,-0.9,21,-1,21,-4,41,,0,K,1,,,,,,,,,,,,,
1902,6,27,Tinogasta,1902/06/27,761,2.6,20,-1,21,4,47,SE,1,K,3,,,,,,,,,,,,,
1902,6,28,Tinogasta,1902/06/28,772.9,11.9,10,-10,13,10,86,,0,N,3,,,,,,,,,,,,,
1902,6,29,Tinogasta,1902/06/29,762.4,-10.5,13,3,17,3,77,,0,K,2,,,,,,,,,,,,,
1902,6,30,Tinogasta,1902/06/30,765.8,3.4,13,0,14,6,66,NE,1,C,2,,,,,,,,,,,,,
1902,7,1,Tinogasta,1902/07/01,763,-2.8,17,4,18,-2,52,NE,1,K,1,,,,,,,,,,,,,
1902,7,2,Tinogasta,1902/07/02,773.9,10.9,5,-12,6,5,84,SE,1,N,3,,,,,,,,,,,,,
1902,7,4,Tinogasta,1902/07/04,764.6,-9.8,16,4,17,4,32,,0,C,3,,,,,,,,,,,,,
1902,7,5,Tinogasta,1902/07/05,764.7,0.1,18,2,19,-4,28,,0,C,2,,,,,,,,,,,,,
1902,7,6,Tinogasta,1902/07/06,769.9,5.2,15,-3,18,-4,48,,0,,0,,,,,,,,,,,,,
1902,7,7,Tinogasta,1902/07/07,761.1,-8.8,17,2,19,-2,34,SE,1,C,2,,,,,,,,,,,,,
1902,7,8,Tinogasta,1902/07/08,749.9,-11.2,21,4,28,5,34,NW,3,K,1,,,,,,,,,,,,,
1902,7,9,Tinogasta,1902/07/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,10,Tinogasta,1902/07/10,753.9,,23,,24,7,12,NW,3,S,2,,,,,,,,,,,,,
1902,7,11,Tinogasta,1902/07/11,759.4,5.5,23,0,,7,31,E,1,K,1,,,,,,,,,,,,,
1902,7,12,Tinogasta,1902/07/12,764.8,5.4,17,-6,18,0,43,,0,C,2,,,,,,,,,,,,,
1902,7,13,Tinogasta,1902/07/13,764.3,-0.5,16,-1,18,-4,41,,0,C,1,,,,,,,,,,,,,
1902,7,14,Tinogasta,1902/07/14,758.6,-5.7,20,4,20,-4,32,,0,S,1,,,,,,,,,,,,,
1902,7,15,Tinogasta,1902/07/15,,,25,5,26,-2,16,S,1,K,1,,,,,,,,,,,,,
1902,7,16,Tinogasta,1902/07/16,760.9,,14,-11,14,-2,47,E,1,C,2,,,,,,,,,,,,,
1902,7,17,Tinogasta,1902/07/17,768.1,7.2,10,-4,10,4,50,E,1,K,3,,,,,,,,,,,,,
1902,7,18,Tinogasta,1902/07/18,768.2,0.1,12,2,13,4,54,N,1,,0,,,,,,,,,,,,,
1902,7,19,Tinogasta,1902/07/19,766.7,-1.5,13,1,13,-2,35,SW,1,K,1,,,,,,,,,,,,,
1902,7,20,Tinogasta,1902/07/20,771.8,5.1,11,-2,13,3,30,S,1,C,1,,,,,,,,,,,,,
1902,7,21,Tinogasta,1902/07/21,771,-0.8,15,4,16,-3,30,NW,1,,0,,,,,,,,,,,,,
1902,7,23,Tinogasta,1902/07/23,756.2,-3.2,21,0,22,-3,14,SE,1,,0,,,,,,,,,,,,,
1902,7,24,Tinogasta,1902/07/24,757.5,1.3,24,3,30,6,26,E,1,S,1,,,,,,,,,,,,,
1902,7,25,Tinogasta,1902/07/25,750.1,-7.4,32,8,34,-1,7,,0,,0,,,,,,,,,,,,,
1902,7,26,Tinogasta,1902/07/26,749,-1.1,32,0,33,6,7,NW,3,,0,,,,,,,,,,,,,
1902,7,27,Tinogasta,1902/07/27,,,14,-18,18,3,47,SE,3,K,3,,,,,,,,,,,,,
1902,7,28,Tinogasta,1902/07/28,779.8,,4,-10,5,1,83,E,1,N,3,,,,,,,,,,,,,
1902,7,29,Tinogasta,1902/07/29,772.4,-7.4,12,8,12,5,43,NE,1,S,1,,,,,,,,,,,,,
1902,7,30,Tinogasta,1902/07/30,761.2,-11.2,19,7,20,6,38,N,1,,0,,,,,,,,,,,,,
1902,7,31,Tinogasta,1902/07/31,757.2,-4,20,1,21,-6,32,E,1,K,1,,,,,,,,,,,,,
