YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Trancas,1902/02/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,22,Trancas,1902/02/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,23,Trancas,1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,Trancas,1902/02/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,25,Trancas,1902/02/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,26,Trancas,1902/02/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,27,Trancas,1902/02/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,28,Trancas,1902/02/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,1,Trancas,1902/03/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,2,Trancas,1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,Trancas,1902/03/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,4,Trancas,1902/03/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,5,Trancas,1902/03/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,6,Trancas,1902/03/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,7,Trancas,1902/03/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,8,Trancas,1902/03/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,9,Trancas,1902/03/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,10,Trancas,1902/03/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,12,Trancas,1902/03/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,13,Trancas,1902/03/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,14,Trancas,1902/03/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,15,Trancas,1902/03/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,16,Trancas,1902/03/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,19,Trancas,1902/03/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,21,Trancas,1902/03/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,22,Trancas,1902/03/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,23,Trancas,1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,Trancas,1902/03/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,25,Trancas,1902/03/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,26,Trancas,1902/03/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,27,Trancas,1902/03/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,30,Trancas,1902/03/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,31,Trancas,1902/03/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,2,Trancas,1902/04/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,3,Trancas,1902/04/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,4,Trancas,1902/04/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,5,Trancas,1902/04/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,6,Trancas,1902/04/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,7,Trancas,1902/04/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,8,Trancas,1902/04/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,9,Trancas,1902/04/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,10,Trancas,1902/04/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,12,Trancas,1902/04/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,13,Trancas,1902/04/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,14,Trancas,1902/04/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,16,Trancas,1902/04/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,19,Trancas,1902/04/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,20,Trancas,1902/04/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,24,Trancas,1902/04/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,26,Trancas,1902/04/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,27,Trancas,1902/04/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,29,Trancas,1902/04/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,3,Trancas,1902/05/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,4,Trancas,1902/05/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,6,Trancas,1902/05/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,8,Trancas,1902/05/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,16,Trancas,1902/05/16,,,18,-1,20,11,44,S,2,SK,3,,,,,,,,,,,,,
1902,5,17,Trancas,1902/05/17,,,23,5,24,12,25,,0,,0,,,,,,,,,,,,,
1902,5,18,Trancas,1902/05/18,,,,,28,,,NE,2,,0,,,,,,,,,,,,,
1902,5,19,Trancas,1902/05/19,,,27,,28,19,20,NE,1,,0,,,,,,,,,,,,,
1902,5,20,Trancas,1902/05/20,,,28,1,28,17,,NW,1,,0,,,,,,,,,,,,,
1902,5,21,Trancas,1902/05/21,,,29,1,29,18,40,NE,1,SK,1,,,,,,,,,,,,,
1902,5,22,Trancas,1902/05/22,,,29,2,30,7,24,SW,1,K,1,,,,,,,,,,,,,
1902,5,23,Trancas,1902/05/23,,,30,1,30,16,21,NE,1,,0,,,,,,,,,,,,,
1902,5,24,Trancas,1902/05/24,,,29,-1,29,5,29,NE,2,,0,,,,,,,,,,,,,
1902,5,25,Trancas,1902/05/25,,,30,-2,30,5,30,NE,1,,0,,,,,,,,,,,,,
1902,5,26,Trancas,1902/05/26,,,32,2,32,5,28,N,1,,0,,,,,,,,,,,,,
1902,5,27,Trancas,1902/05/27,,,29,-3,30,5,40,NE,1,S,1,,,,,,,,,,,,,
1902,5,28,Trancas,1902/05/28,,,15,-14,15,8,39,S,1,C,3,,,,,,,,,,,,,
1902,5,29,Trancas,1902/05/29,,,16,1,16,8,41,S,1,CS,2,,,,,,,,,,,,,
1902,5,30,Trancas,1902/05/30,,,18,2,19,4,44,NE,2,S,2,,,,,,,,,,,,,
1902,5,31,Trancas,1902/05/31,,,,,,,,,,,0,,,,,,,,,,,,,
1902,6,1,Trancas,1902/06/01,,,27,,28,1,37,NE,1,,0,,,,,,,,,,,,,
1902,6,2,Trancas,1902/06/02,,,34,7,34,2,14,N,1,,0,,,,,,,,,,,,,
1902,6,3,Trancas,1902/06/03,,,16,-18,16,3,69,SW,2,CS,2,,,,,,,,,,,,,
1902,6,4,Trancas,1902/06/04,,,12,-4,14,9,54,S,2,C,3,,,,,,,,,,,,,
1902,6,5,Trancas,1902/06/05,,,10,7,20,-3,38,W,1,C,1,,,,,,,,,,,,,
1902,6,6,Trancas,1902/06/06,,,20,1,20,-4,40,NW,1,S,1,,,,,,,,,,,,,
1902,6,7,Trancas,1902/06/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,8,Trancas,1902/06/08,,,20,,21,-1,47,NE,2,,0,,,,,,,,,,,,,
1902,6,9,Trancas,1902/06/09,,,20,0,21,1,47,E,1,S,1,,,,,,,,,,,,,
1902,6,10,Trancas,1902/06/10,,,24,4,25,1,46,,0,SK,1,,,,,,,,,,,,,
1902,6,11,Trancas,1902/06/11,,,27,3,27,2,15,S,1,S,1,,,,,,,,,,,,,
