YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"Villa Maria",1902/02/21,755.7,1.6,34,-2,34,19,45,S,1,K,2,,,,,,,,,,,,,
1902,2,22,"Villa Maria",1902/02/22,757.6,1.9,29,-5,29,18,71,SE,1,K,2,,,,,,,,,,,,,
1902,2,23,"Villa Maria",1902/02/23,759.6,2,33,4,33,17,55,S,1,K,1,,,,,,,,,,,,,
1902,2,24,"Villa Maria",1902/02/24,757.8,-1.8,35,2,36,16,37,N,1,,0,,,,,,,,,,,,,
1902,2,25,"Villa Maria",1902/02/25,753.3,-4.5,35,0,36,13,42,N,1,K,2,,,,,,,,,,,,,
1902,2,26,"Villa Maria",1902/02/26,756.7,3.4,25,-10,29,18,54,S,3,KN,3,,,,,,,,,,,,,
1902,2,27,"Villa Maria",1902/02/27,754.4,-1.3,28,3,29,14,57,E,1,N,2,,,,,,,,,,,,,
1902,2,28,"Villa Maria",1902/02/28,758.5,4.1,21,-7,21,17,73,S,1,SK,3,,,,,,,,,,,,,
1902,3,1,"Villa Maria",1902/03/01,760.9,2.4,25,4,26,14,68,N,1,K,2,,,,,,,,,,,,,
1902,3,2,"Villa Maria",1902/03/02,755.3,-5.6,32,7,32,14,43,N,2,K,1,,,,,,,,,,,,,
1902,3,3,"Villa Maria",1902/03/03,754.9,-0.4,31,-1,31,15,42,N,2,K,1,,,,,,,,,,,,,
1902,3,4,"Villa Maria",1902/03/04,752.7,-2.2,36,5,36,14,42,N,2,K,1,,,,,,,,,,,,,
1902,3,5,"Villa Maria",1902/03/05,759.1,6.4,22,-14,22,15,91,S,1,N,3,,,,,,,,,,,,,
1902,3,6,"Villa Maria",1902/03/06,758.3,-0.8,25,3,25,16,76,NE,1,K,2,,,,,,,,,,,,,
1902,3,7,"Villa Maria",1902/03/07,,,,,,,,,,,,,,,,,,,,,,,,
