YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"Villa Mercedes",1902/02/21,757.6,3.6,28,-4,28,18,57,,0,KC,2,,,,,,,,,,,,,
1902,2,22,"Villa Mercedes",1902/02/22,759.8,2.2,27,-1,29,19,69,,0,KN,2,,,,,,,,,,,,,
1902,2,23,"Villa Mercedes",1902/02/23,759.8,0,32,5,33,20,36,NW,1,K,1,,,,,,,,,,,,,
1902,2,24,"Villa Mercedes",1902/02/24,756,-3.8,34,2,34,17,31,N,1,,0,,,,,,,,,,,,,
1902,2,25,"Villa Mercedes",1902/02/25,754.1,-1.9,33,-1,34,21,34,S,1,CK,1,,,,,,,,,,,,,
1902,2,26,"Villa Mercedes",1902/02/26,760,5.9,20,-13,20,16,64,SW,1,NK,2,,,,,,,,,,,,,
1902,2,27,"Villa Mercedes",1902/02/27,759.4,-0.6,16,-4,16,14,69,NW,1,N,3,,,,,,,,,,,,,
1902,2,28,"Villa Mercedes",1902/02/28,757.9,-1.5,24,8,23,14,,NE,1,K,1,,,,,,,,,,,,,
1902,3,1,"Villa Mercedes",1902/03/01,757.2,-0.7,30,6,30,15,47,N,2,KN,2,,,,,,,,,,,,,
1902,3,2,"Villa Mercedes",1902/03/02,754.7,-2.5,29,-2,29,19,53,W,1,NK,2,,,,,,,,,,,,,
1902,3,3,"Villa Mercedes",1902/03/03,753.7,-1,29,0,29,17,52,NE,1,CS,2,,,,,,,,,,,,,
1902,3,4,"Villa Mercedes",1902/03/04,755.3,1.6,30,1,30,25,59,NW,2,K,1,,,,,,,,,,,,,
1902,3,5,"Villa Mercedes",1902/03/05,759.5,4.2,24,-6,,,39,NE,2,KC,3,,,,,,,,,,,,,
1902,3,6,"Villa Mercedes",1902/03/06,757.1,-2.4,29,5,30,18,52,W,1,NK,2,,,,,,,,,,,,,
1902,3,7,"Villa Mercedes",1902/03/07,758.9,1.8,25,-6,23,17,83,NW,1,KS,2,,,,,,,,,,,,,
1902,3,8,"Villa Mercedes",1902/03/08,759.8,0.9,25,2,26,18,68,NE,1,KS,2,,,,,,,,,,,,,
1902,3,9,"Villa Mercedes",1902/03/09,759,-0.8,27,2,28,16,63,SW,1,KN,2,,,,,,,,,,,,,
1902,3,10,"Villa Mercedes",1902/03/10,757.7,-1.3,24,-3,24,18,83,NE,2,SK,2,,,,,,,,,,,,,
1902,3,12,"Villa Mercedes",1902/03/12,755.9,-1.1,24,6,24,16,67,SW,1,NK,2,,,,,,,,,,,,,
1902,3,13,"Villa Mercedes",1902/03/13,758.7,2.8,25,1,26,15,54,NW,1,K,1,,,,,,,,,,,,,
1902,3,14,"Villa Mercedes",1902/03/14,760.6,1.9,27,2,28,14,56,SE,1,K,1,,,,,,,,,,,,,
1902,3,15,"Villa Mercedes",1902/03/15,757,-3.6,30,3,31,16,41,NW,1,K,1,,,,,,,,,,,,,
1902,3,16,"Villa Mercedes",1902/03/16,754.7,-2.3,31,1,31,19,32,NW,2,,0,,,,,,,,,,,,,
1902,3,19,"Villa Mercedes",1902/03/19,760.9,7.1,23,-10,24,17,37,E,2,K,1,,,,,,,,,,,,,
1902,3,21,"Villa Mercedes",1902/03/21,757.7,-5.4,30,7,30,20,41,NW,2,,0,,,,,,,,,,,,,
1902,3,22,"Villa Mercedes",1902/03/22,757.6,-0.1,34,4,34,20,31,NW,2,,0,,,,,,,,,,,,,
1902,3,23,"Villa Mercedes",1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,"Villa Mercedes",1902/03/24,754.5,-2.5,34,0,34,23,31,NW,2,K,1,,,,,,,,,,,,,
1902,3,25,"Villa Mercedes",1902/03/25,755,0.5,29,-5,30,21,52,SE,1,N,2,,,,,,,,,,,,,
1902,3,26,"Villa Mercedes",1902/03/26,767.2,12.2,13,-16,13,11,88,SE,1,N,3,,,,,,,,,,,,,
1902,3,27,"Villa Mercedes",1902/03/27,762.8,-4.4,15,2,15,11,89,SE,1,N,3,,,,,,,,,,,,,
1902,3,30,"Villa Mercedes",1902/03/30,760.2,-6,21,2,22,9,65,NW,1,KS,2,,,,,,,,,,,,,
1902,3,31,"Villa Mercedes",1902/03/31,753.3,-6.9,23,2,23,16,52,NW,2,SK,2,,,,,,,,,,,,,
1902,4,2,"Villa Mercedes",1902/04/02,758.5,1.5,24,2,24,10,67,SE,1,K,2,,,,,,,,,,,,,
1902,4,3,"Villa Mercedes",1902/04/03,762.5,4,19,-5,19,17,90,NW,1,N,3,,,,,,,,,,,,,
1902,4,4,"Villa Mercedes",1902/04/04,759.5,-3,22,3,23,14,58,W,1,KN,2,,,,,,,,,,,,,
1902,4,5,"Villa Mercedes",1902/04/05,762.9,3.4,23,1,23,10,59,,0,K,2,,,,,,,,,,,,,
1902,4,6,"Villa Mercedes",1902/04/06,761.8,-1.1,23,0,23,10,59,NW,1,K,1,,,,,,,,,,,,,
1902,4,7,"Villa Mercedes",1902/04/07,757.5,-4.3,27,4,28,9,49,W,1,K,1,,,,,,,,,,,,,
1902,4,8,"Villa Mercedes",1902/04/08,757.7,0.2,26,-1,27,12,48,NW,1,CK,2,,,,,,,,,,,,,
1902,4,9,"Villa Mercedes",1902/04/09,760.8,3.1,20,-6,20,13,47,SW,1,SK,2,,,,,,,,,,,,,
