YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Villaguay,1902/02/21,755.4,0.1,35,-1,35,17,42,S,1,K,2,,,,,,,,,,,,,
1902,2,22,Villaguay,1902/02/22,757.3,1.9,34,-1,34,17,31,SW,2,K,1,,,,,,,,,,,,,
1902,2,23,Villaguay,1902/02/23,759.6,-2.3,33,-1,34,18,39,S,2,,,,,,,,,,,,,,,
1902,2,24,Villaguay,1902/02/24,758.7,-0.9,36,3,36,11,29,E,2,,,,,,,,,,,,,,,
1902,2,25,Villaguay,1902/02/25,757.5,-1.2,36,0,37,15,25,N,3,C,1,,,,,,,,,,,,,
1902,2,26,Villaguay,1902/02/26,753.3,-4.2,39,3,39,17,25,N,1,K,2,,,,,,,,,,,,,
1902,2,27,Villaguay,1902/02/27,755,1.7,31,-8,31,14,48,SE,2,S,1,,,,,,,,,,,,,
1902,2,28,Villaguay,1902/02/28,758.6,3.6,24,-7,,,33,S,2,N,3,,,,,,,,,,,,,
1902,3,1,Villaguay,1902/03/01,760,1.4,31,7,39,14,32,E,3,C,1,,,,,,,,,,,,,
1902,3,2,Villaguay,1902/03/02,757.9,-2.1,33,2,34,12,25,NE,3,,,,,,,,,,,,,,,
1902,3,3,Villaguay,1902/03/03,757.7,-0.2,37,4,37,14,30,N,1,,,,,,,,,,,,,,,
1902,3,4,Villaguay,1902/03/04,754.2,-3.5,39,2,40,19,41,NW,3,K,2,,,,,,,,,,,,,
1902,3,5,Villaguay,1902/03/05,757.9,3.7,29,-10,30,20,46,E,3,C,2,,,,,,,,,,,,,
1902,3,6,Villaguay,1902/03/06,756.1,-1.8,34,5,36,15,40,S,1,K,1,,,,,,,,,,,,,
1902,3,7,Villaguay,1902/03/07,757.8,1.7,30,-4,30,18,65,S,2,C,2,,,,,,,,,,,,,
1902,3,8,Villaguay,1902/03/08,760,2.2,28,-2,29,18,44,SE,3,C,2,,,,,,,,,,,,,
1902,3,9,Villaguay,1902/03/09,759.9,-10.1,33,5,34,17,30,NE,2,K,1,,,,,,,,,,,,,
1902,3,10,Villaguay,1902/03/10,759.7,-0.2,30,-3,36,,65,E,1,S,1,,,,,,,,,,,,,
