'As-digitised',           'SEF_ID',            'Offset'
'Cabo Alarcon',           'DWR_Cabo_Alarcon',    0 
'Concepcion-MISSIONES',   'DWR_Concep.-Mis.',    0 
'Concordia',              'DWR_Concordia',       0
'FORMOSA - Formosa',      'DWR_Formosa_Arg.',    0
'Junin',                  'DWR_Junin',           0
'Recreo',                 'DWR_Recreo',          0
'Rio Cuarto',             'DWR_Rio_Cuarto',      0
'Rio Quartro',            'DWR_Rio_Quartro',     0
'San Antonio',            'DWR_San_Antonio',     0
'Tinogasta',              'DWR_Tinogasta',       0
'Uruguay',                'DWR_Uruguay',         0
'V. Casilda',             'DWR_V._Casilda',      0
'Ytaybate',               'DWR_Ytaybate',        0
